,predictions,target
0,1.0,1
1,1.0,1
2,1.0,0
3,1.0,1
4,0.0,0
5,0.0,1
6,1.0,1
7,1.0,1
8,1.0,1
9,1.0,1
10,0.0,1
11,0.0,0
12,0.0,1
13,1.0,1
14,1.0,1
15,1.0,1
16,1.0,1
17,1.0,1
18,0.0,0
19,1.0,1
20,0.0,0
21,1.0,1
22,1.0,1
23,1.0,1
24,0.0,0
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,0.0,0
31,1.0,1
32,1.0,1
33,1.0,0
34,1.0,1
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,0.0,0
40,1.0,1
41,0.0,0
42,0.0,0
43,1.0,1
44,0.0,0
45,1.0,1
46,0.0,0
47,0.0,0
48,0.0,0
49,1.0,0
50,0.0,0
51,0.0,0
52,1.0,1
53,0.0,1
54,1.0,1
55,0.0,0
56,1.0,1
57,1.0,1
58,1.0,0
59,1.0,1
60,1.0,1
61,0.0,0
62,1.0,1
63,0.0,0
64,1.0,0
65,0.0,0
66,0.0,0
67,0.0,0
68,1.0,1
69,1.0,1
70,0.0,0
71,1.0,1
72,0.0,0
73,1.0,1
74,0.0,1
75,0.0,1
76,1.0,1
77,1.0,1
78,0.0,0
79,1.0,1
80,0.0,0
81,0.0,0
82,1.0,1
83,0.0,0
84,1.0,1
85,0.0,1
86,1.0,1
87,0.0,0
88,0.0,0
89,1.0,1
90,0.0,0
91,0.0,0
92,1.0,0
93,0.0,0
94,1.0,1
95,0.0,0
96,0.0,1
97,0.0,0
98,1.0,1
99,0.0,0
100,0.0,0
101,0.0,0
102,0.0,0
103,1.0,1
104,0.0,0
105,0.0,1
106,1.0,1
107,1.0,1
108,1.0,1
109,1.0,0
110,1.0,1
111,1.0,0
112,1.0,1
113,0.0,0
114,1.0,1
115,1.0,1
116,0.0,0
117,0.0,0
118,0.0,0
119,0.0,0
120,0.0,0
121,1.0,1
122,1.0,1
123,1.0,0
124,1.0,1
125,0.0,0
126,0.0,0
127,1.0,1
128,1.0,1
129,1.0,1
130,0.0,0
131,1.0,1
132,0.0,0
133,1.0,1
134,0.0,0
135,0.0,0
136,0.0,0
137,1.0,1
138,0.0,0
139,1.0,1
140,1.0,1
141,1.0,1
142,0.0,0
143,1.0,1
144,1.0,0
145,1.0,1
146,1.0,1
147,0.0,0
148,0.0,1
149,0.0,0
150,1.0,1
151,0.0,0
152,1.0,1
153,0.0,0
154,0.0,0
155,0.0,0
156,0.0,0
157,1.0,1
158,1.0,1
159,0.0,0
160,1.0,1
161,0.0,0
162,0.0,0
163,0.0,0
164,0.0,0
165,1.0,1
166,1.0,1
167,1.0,1
168,1.0,1
169,0.0,0
170,0.0,0
171,0.0,0
172,0.0,0
173,0.0,0
174,1.0,0
175,0.0,0
176,1.0,1
177,0.0,0
178,1.0,0
179,0.0,0
180,0.0,0
181,1.0,1
182,1.0,1
183,1.0,1
184,0.0,1
185,1.0,1
186,1.0,1
187,0.0,0
188,0.0,0
