,predictions,target
0,0.0,0
1,1.0,1
2,2.0,0
3,2.0,0
4,1.0,1
5,0.0,0
6,2.0,0
7,0.0,0
8,2.0,2
9,0.0,0
10,1.0,1
11,2.0,2
12,2.0,0
13,2.0,2
14,1.0,1
15,1.0,1
16,0.0,0
17,2.0,2
18,1.0,0
19,2.0,2
20,2.0,2
21,2.0,2
22,1.0,1
23,0.0,0
24,2.0,0
25,0.0,0
26,2.0,2
27,2.0,2
28,1.0,1
29,0.0,0
30,2.0,2
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,1
35,2.0,2
36,0.0,0
37,1.0,2
38,2.0,2
39,2.0,2
40,1.0,0
41,2.0,2
42,2.0,2
43,1.0,1
44,1.0,1
45,2.0,2
46,2.0,2
47,2.0,2
48,1.0,1
49,2.0,2
50,2.0,0
51,1.0,1
52,2.0,2
53,0.0,0
54,2.0,2
55,2.0,2
56,1.0,1
57,2.0,2
58,2.0,2
59,0.0,0
60,0.0,0
61,0.0,0
62,2.0,2
63,1.0,1
64,1.0,1
65,0.0,0
66,2.0,2
67,2.0,0
68,2.0,2
69,2.0,2
70,2.0,2
71,1.0,1
72,0.0,0
73,0.0,1
74,1.0,1
75,2.0,2
76,2.0,0
77,1.0,1
78,0.0,0
79,1.0,1
80,1.0,1
81,0.0,0
82,0.0,0
83,2.0,2
84,0.0,0
85,0.0,0
86,2.0,0
87,2.0,0
88,2.0,2
89,1.0,1
90,1.0,1
91,1.0,1
92,2.0,2
93,2.0,2
94,2.0,0
95,1.0,1
96,2.0,0
97,0.0,0
98,1.0,1
99,2.0,0
100,0.0,0
101,0.0,0
102,2.0,0
103,0.0,0
104,2.0,0
105,0.0,0
106,2.0,2
107,0.0,0
108,1.0,1
109,0.0,0
110,1.0,0
111,1.0,0
112,1.0,1
113,0.0,0
114,1.0,1
115,1.0,1
116,0.0,0
117,1.0,1
118,1.0,0
119,1.0,1
120,1.0,1
121,1.0,1
122,1.0,1
123,0.0,0
124,0.0,0
125,2.0,2
126,2.0,0
127,2.0,2
128,2.0,2
129,0.0,0
130,1.0,0
131,1.0,0
132,1.0,1
133,1.0,1
134,1.0,1
135,2.0,0
136,1.0,1
137,2.0,2
138,2.0,2
139,0.0,0
140,2.0,0
141,1.0,1
142,0.0,0
143,2.0,2
144,0.0,0
145,2.0,2
146,1.0,1
147,0.0,0
148,2.0,2
149,0.0,0
150,1.0,1
151,0.0,0
152,2.0,2
153,0.0,0
154,2.0,2
155,2.0,2
156,0.0,2
157,2.0,2
158,2.0,2
159,1.0,1
160,2.0,2
161,2.0,0
162,2.0,2
163,1.0,1
164,1.0,1
165,2.0,2
166,2.0,2
167,2.0,2
168,0.0,0
169,1.0,1
170,1.0,1
171,1.0,0
172,2.0,2
173,0.0,0
174,1.0,1
175,2.0,2
176,2.0,2
177,1.0,0
178,2.0,0
179,2.0,2
180,0.0,0
181,0.0,0
182,2.0,1
183,2.0,2
184,2.0,2
185,2.0,2
186,2.0,2
187,1.0,1
188,1.0,1
189,0.0,0
190,0.0,0
191,1.0,2
192,2.0,2
193,0.0,0
194,0.0,0
195,0.0,0
196,2.0,2
197,1.0,1
198,1.0,1
199,1.0,1
200,0.0,1
201,1.0,1
202,2.0,2
203,2.0,2
204,1.0,1
205,1.0,1
206,0.0,0
207,1.0,1
208,2.0,2
209,0.0,0
210,1.0,1
211,0.0,0
212,0.0,0
213,2.0,2
214,2.0,2
215,1.0,1
216,0.0,0
217,1.0,1
218,1.0,1
219,2.0,2
220,2.0,2
221,0.0,0
222,2.0,2
223,2.0,0
224,1.0,1
225,0.0,0
226,1.0,1
227,1.0,0
228,2.0,2
229,1.0,1
230,0.0,0
231,0.0,0
232,0.0,1
233,2.0,2
234,1.0,2
235,0.0,0
236,0.0,2
237,0.0,0
238,2.0,2
239,2.0,2
240,1.0,1
241,2.0,0
242,0.0,0
243,0.0,0
244,2.0,2
245,1.0,1
246,2.0,2
247,0.0,2
248,1.0,1
249,2.0,2
250,1.0,1
251,2.0,2
252,1.0,1
253,2.0,2
254,0.0,0
255,0.0,0
256,2.0,2
257,0.0,0
258,0.0,0
259,0.0,0
260,2.0,2
261,0.0,0
262,2.0,2
263,1.0,1
264,2.0,2
265,2.0,2
266,0.0,0
267,2.0,2
268,1.0,1
269,1.0,1
270,2.0,2
271,1.0,1
272,1.0,1
273,0.0,0
274,2.0,2
275,2.0,2
276,1.0,1
277,0.0,0
278,0.0,0
279,2.0,2
280,2.0,2
281,0.0,0
282,1.0,1
283,0.0,0
284,2.0,2
285,2.0,2
286,2.0,2
287,0.0,1
288,0.0,0
289,1.0,1
290,2.0,2
291,2.0,0
292,0.0,0
293,0.0,0
294,1.0,1
295,1.0,1
296,0.0,1
297,1.0,1
298,2.0,0
299,1.0,1
300,0.0,1
301,1.0,1
302,1.0,1
303,2.0,2
304,2.0,2
305,2.0,0
306,1.0,1
307,1.0,1
308,1.0,1
309,1.0,1
310,2.0,2
311,2.0,2
312,0.0,0
313,2.0,2
314,0.0,1
315,0.0,0
316,1.0,1
317,0.0,0
318,1.0,1
319,2.0,2
320,1.0,1
321,1.0,1
322,1.0,1
323,0.0,0
324,0.0,0
325,0.0,0
326,2.0,2
327,0.0,0
328,2.0,2
329,0.0,0
330,0.0,0
331,2.0,2
332,2.0,2
333,1.0,0
334,0.0,1
335,2.0,2
336,2.0,2
337,1.0,0
338,0.0,0
339,2.0,2
340,0.0,0
341,2.0,2
342,1.0,1
343,1.0,1
344,0.0,0
345,1.0,1
346,1.0,1
347,1.0,1
348,1.0,1
349,1.0,1
350,2.0,2
351,2.0,2
352,2.0,2
353,2.0,1
354,2.0,2
355,1.0,1
356,2.0,2
357,1.0,1
358,1.0,1
359,2.0,2
360,1.0,1
361,2.0,2
362,1.0,1
363,1.0,1
364,2.0,2
365,2.0,0
366,0.0,1
367,0.0,0
368,1.0,0
369,1.0,1
370,0.0,0
371,1.0,1
372,1.0,1
373,0.0,0
374,2.0,2
375,1.0,1
376,2.0,1
377,2.0,2
378,0.0,0
379,2.0,2
380,1.0,1
381,2.0,2
382,0.0,0
383,1.0,2
384,0.0,0
385,1.0,1
386,2.0,2
387,0.0,0
388,0.0,1
389,0.0,0
390,2.0,2
391,2.0,2
392,2.0,0
393,2.0,0
394,2.0,0
395,2.0,2
396,2.0,2
397,0.0,0
398,0.0,0
399,0.0,2
400,1.0,1
401,2.0,0
402,0.0,0
403,2.0,2
404,1.0,1
405,2.0,2
406,2.0,2
407,1.0,0
408,0.0,0
409,0.0,0
410,0.0,0
411,1.0,1
412,0.0,0
413,0.0,0
414,2.0,2
415,0.0,0
416,0.0,2
417,2.0,2
418,1.0,1
419,0.0,2
420,1.0,1
421,0.0,0
422,2.0,2
423,1.0,1
424,1.0,1
425,2.0,2
426,0.0,0
427,2.0,1
428,1.0,1
429,2.0,2
430,1.0,1
431,2.0,2
432,0.0,2
433,0.0,0
434,2.0,2
435,1.0,0
436,0.0,0
437,2.0,0
438,0.0,1
439,1.0,1
440,0.0,0
441,1.0,1
442,2.0,2
443,0.0,0
444,2.0,2
445,2.0,2
446,0.0,0
447,1.0,1
448,1.0,1
449,0.0,0
450,1.0,1
451,2.0,0
452,2.0,2
453,0.0,1
454,2.0,2
455,0.0,0
456,2.0,2
457,0.0,0
458,2.0,2
459,1.0,0
460,1.0,1
461,1.0,1
462,0.0,0
463,2.0,2
464,0.0,0
465,2.0,2
466,2.0,2
467,0.0,0
468,1.0,1
469,0.0,0
470,0.0,0
471,0.0,0
472,1.0,0
473,0.0,0
474,2.0,2
475,0.0,0
476,0.0,0
477,0.0,0
478,1.0,1
479,0.0,0
480,2.0,2
481,2.0,2
482,0.0,0
483,0.0,0
484,0.0,2
485,0.0,2
486,1.0,1
487,1.0,0
488,1.0,1
489,1.0,1
490,2.0,2
491,0.0,0
492,0.0,0
493,0.0,0
494,1.0,1
495,1.0,1
496,0.0,0
497,1.0,1
498,2.0,0
499,0.0,0
500,0.0,1
501,1.0,1
502,2.0,0
503,0.0,0
504,2.0,2
505,0.0,0
506,1.0,1
507,2.0,2
508,0.0,2
509,1.0,1
510,2.0,2
511,0.0,2
512,1.0,1
513,1.0,1
514,0.0,0
515,0.0,0
516,2.0,0
517,1.0,1
518,0.0,0
519,1.0,1
520,0.0,0
521,1.0,1
