,predictions,target
0,1.0,1
1,1.0,1
2,0.0,0
3,0.0,1
4,0.0,0
5,1.0,1
6,0.0,0
7,1.0,1
8,0.0,0
9,0.0,0
10,0.0,0
11,0.0,0
12,1.0,1
13,1.0,1
14,0.0,0
15,1.0,1
16,0.0,0
17,0.0,0
18,0.0,0
19,0.0,0
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,1.0,0
30,0.0,0
31,1.0,1
32,0.0,0
33,1.0,0
34,0.0,0
35,0.0,0
36,1.0,1
37,1.0,1
38,1.0,1
39,0.0,1
40,1.0,1
41,1.0,1
42,0.0,0
43,0.0,0
44,1.0,1
45,1.0,1
46,1.0,1
47,0.0,0
48,1.0,0
49,1.0,1
50,1.0,1
51,0.0,1
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,0
56,1.0,1
57,0.0,0
58,0.0,0
59,0.0,0
60,1.0,1
61,1.0,1
62,1.0,1
63,0.0,1
64,1.0,1
65,1.0,1
66,0.0,0
67,1.0,1
68,1.0,0
69,0.0,0
70,0.0,0
71,0.0,0
72,1.0,1
73,0.0,0
74,1.0,1
75,1.0,1
76,1.0,1
77,1.0,1
78,0.0,0
79,0.0,0
80,1.0,1
81,1.0,1
82,0.0,0
83,1.0,1
84,0.0,0
85,0.0,0
86,0.0,0
87,1.0,0
88,1.0,1
89,0.0,0
90,1.0,1
91,1.0,1
92,0.0,0
93,1.0,1
94,0.0,0
95,0.0,0
96,0.0,0
97,0.0,0
98,1.0,0
99,1.0,1
100,0.0,1
101,0.0,0
102,1.0,1
103,1.0,1
104,0.0,0
105,0.0,0
106,1.0,1
107,1.0,1
108,0.0,0
109,0.0,0
110,0.0,0
111,1.0,1
112,1.0,1
113,1.0,1
114,1.0,1
115,1.0,1
116,0.0,0
117,1.0,1
118,0.0,0
119,0.0,0
120,0.0,0
121,0.0,0
122,1.0,1
123,1.0,1
124,1.0,1
125,0.0,0
126,1.0,0
127,0.0,0
128,1.0,1
129,0.0,0
130,1.0,0
131,1.0,0
132,1.0,1
133,0.0,0
134,1.0,1
135,0.0,0
136,1.0,1
137,1.0,1
138,0.0,0
139,1.0,1
140,0.0,0
141,0.0,0
142,0.0,0
143,1.0,1
144,1.0,1
145,0.0,0
146,1.0,1
147,0.0,0
148,1.0,1
149,0.0,1
150,0.0,0
151,0.0,0
152,0.0,0
153,1.0,1
154,1.0,1
155,1.0,1
156,0.0,0
157,1.0,1
158,1.0,1
159,0.0,0
160,1.0,1
161,0.0,0
162,1.0,1
163,0.0,0
164,0.0,0
165,0.0,0
166,0.0,0
167,0.0,1
168,0.0,0
169,0.0,0
170,1.0,1
171,0.0,0
172,0.0,0
173,1.0,0
174,1.0,1
175,1.0,1
176,1.0,1
177,0.0,0
178,1.0,1
179,1.0,1
180,1.0,1
181,0.0,0
182,0.0,0
183,1.0,0
184,0.0,0
185,1.0,1
186,1.0,1
187,1.0,1
188,0.0,0
