,predictions,target
0,1.0,1
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,0
5,1.0,1
6,1.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,0
11,1.0,1
12,0.0,0
13,1.0,1
14,1.0,1
15,0.0,0
16,1.0,1
17,1.0,1
18,0.0,0
19,1.0,0
20,0.0,0
21,1.0,1
22,0.0,0
23,0.0,1
24,1.0,1
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,0.0,0
31,0.0,0
32,1.0,1
33,1.0,1
34,1.0,1
35,1.0,0
36,1.0,1
37,0.0,0
38,1.0,1
39,0.0,0
40,0.0,0
41,0.0,0
42,0.0,0
43,0.0,0
44,1.0,1
45,1.0,1
46,1.0,1
47,1.0,1
48,0.0,0
49,1.0,1
50,1.0,1
51,0.0,0
52,1.0,1
53,1.0,1
54,1.0,1
55,0.0,0
56,1.0,0
57,1.0,1
58,0.0,0
59,0.0,0
60,0.0,1
61,0.0,0
62,1.0,1
63,1.0,0
64,1.0,1
65,0.0,0
66,0.0,0
67,1.0,1
68,1.0,0
69,1.0,1
70,1.0,1
71,1.0,1
72,0.0,1
73,1.0,0
74,0.0,0
75,0.0,0
76,1.0,1
77,1.0,0
78,0.0,0
79,1.0,1
80,1.0,1
81,1.0,1
82,1.0,1
83,0.0,0
84,0.0,0
85,1.0,0
86,1.0,1
87,1.0,0
88,1.0,1
89,0.0,1
90,0.0,0
91,1.0,0
92,1.0,1
93,1.0,1
94,0.0,1
95,1.0,0
96,1.0,1
97,1.0,1
98,0.0,0
99,1.0,0
100,1.0,1
101,0.0,0
102,0.0,0
103,0.0,0
104,0.0,0
105,1.0,0
106,1.0,0
107,0.0,0
108,1.0,1
109,0.0,0
110,0.0,0
111,0.0,0
112,0.0,0
113,0.0,0
114,1.0,0
115,1.0,1
116,0.0,0
117,1.0,1
118,1.0,0
119,1.0,1
120,1.0,1
121,1.0,1
122,1.0,1
123,0.0,0
124,1.0,1
125,0.0,0
126,1.0,1
127,1.0,0
128,1.0,1
129,1.0,1
130,1.0,1
131,1.0,1
132,0.0,1
133,0.0,0
134,0.0,0
135,1.0,1
136,1.0,0
137,1.0,1
138,0.0,1
139,1.0,0
140,1.0,1
141,0.0,1
142,1.0,1
143,0.0,0
144,0.0,0
145,1.0,1
146,0.0,0
147,0.0,1
148,0.0,0
149,1.0,1
150,0.0,0
151,0.0,0
152,0.0,0
153,1.0,1
154,1.0,1
155,0.0,0
156,0.0,0
157,1.0,1
158,0.0,0
159,1.0,0
160,0.0,0
161,1.0,1
162,0.0,1
163,0.0,0
164,0.0,0
165,0.0,0
166,1.0,1
167,1.0,1
168,1.0,0
169,0.0,0
170,0.0,0
171,0.0,0
172,1.0,0
173,0.0,0
174,0.0,1
175,0.0,0
176,0.0,0
177,0.0,0
178,1.0,1
179,1.0,0
180,1.0,1
181,0.0,0
182,1.0,1
183,1.0,1
184,1.0,1
185,1.0,1
186,0.0,0
187,1.0,1
188,0.0,0
