,predictions,target
0,2.0,2
1,1.0,1
2,0.0,0
3,2.0,2
4,2.0,2
5,0.0,0
6,1.0,1
7,0.0,0
8,2.0,2
9,0.0,0
10,2.0,2
11,2.0,2
12,0.0,2
13,2.0,2
14,1.0,1
15,2.0,2
16,0.0,0
17,2.0,2
18,1.0,1
19,1.0,1
20,2.0,2
21,2.0,2
22,2.0,2
23,0.0,0
24,1.0,1
25,1.0,1
26,1.0,0
27,2.0,2
28,0.0,0
29,0.0,1
30,0.0,2
31,0.0,2
32,0.0,0
33,1.0,1
34,0.0,0
35,2.0,2
36,0.0,0
37,0.0,0
38,1.0,1
39,2.0,2
40,2.0,2
41,2.0,2
42,2.0,2
43,1.0,1
44,0.0,0
45,0.0,0
46,2.0,2
47,2.0,2
48,0.0,0
49,0.0,0
50,0.0,0
51,2.0,2
52,1.0,1
53,1.0,1
54,1.0,1
55,0.0,1
56,1.0,1
57,2.0,2
58,2.0,2
59,1.0,1
60,1.0,1
61,0.0,0
62,2.0,0
63,1.0,1
64,2.0,2
65,0.0,0
66,1.0,1
67,0.0,0
68,0.0,0
69,2.0,2
70,2.0,2
71,1.0,1
72,1.0,1
73,1.0,1
74,2.0,2
75,2.0,2
76,0.0,0
77,2.0,2
78,2.0,0
79,1.0,1
80,0.0,0
81,1.0,1
82,1.0,0
83,2.0,2
84,1.0,1
85,0.0,0
86,0.0,0
87,0.0,1
88,2.0,2
89,1.0,2
90,0.0,0
91,1.0,1
92,0.0,2
93,0.0,0
94,2.0,2
95,2.0,2
96,1.0,1
97,0.0,0
98,0.0,0
99,0.0,0
100,2.0,2
101,2.0,2
102,0.0,2
103,1.0,1
104,2.0,2
105,1.0,1
106,2.0,2
107,1.0,1
108,2.0,2
109,0.0,0
110,0.0,0
111,2.0,2
112,0.0,0
113,0.0,0
114,0.0,0
115,2.0,2
116,0.0,0
117,2.0,2
118,1.0,1
119,2.0,2
120,2.0,2
121,2.0,2
122,0.0,0
123,2.0,2
124,1.0,1
125,1.0,1
126,2.0,2
127,1.0,1
128,1.0,1
129,0.0,0
130,2.0,2
131,1.0,1
132,0.0,0
133,0.0,0
134,2.0,2
135,2.0,2
136,0.0,0
137,1.0,1
138,0.0,0
139,2.0,2
140,2.0,2
141,2.0,2
142,1.0,1
143,0.0,0
144,1.0,1
145,2.0,2
146,0.0,0
147,0.0,0
148,0.0,0
149,2.0,2
150,1.0,1
151,1.0,1
152,0.0,1
153,1.0,1
154,2.0,0
155,1.0,1
156,0.0,1
157,1.0,1
158,1.0,1
159,2.0,2
160,2.0,0
161,1.0,1
162,1.0,1
163,1.0,1
164,1.0,1
165,2.0,2
166,2.0,2
167,0.0,0
168,2.0,2
169,0.0,1
170,0.0,0
171,1.0,1
172,0.0,0
173,1.0,1
174,2.0,2
175,1.0,1
176,1.0,1
177,1.0,1
178,2.0,2
179,0.0,0
180,0.0,0
181,0.0,0
182,2.0,2
183,0.0,0
184,2.0,2
185,0.0,0
186,0.0,0
187,2.0,2
188,1.0,0
189,0.0,1
190,2.0,2
191,2.0,2
192,1.0,0
193,0.0,0
194,2.0,2
195,0.0,0
196,2.0,2
197,1.0,1
198,1.0,1
199,0.0,0
200,1.0,1
201,1.0,1
202,1.0,1
203,1.0,1
204,1.0,1
205,2.0,2
206,2.0,2
207,2.0,2
208,2.0,2
209,1.0,1
210,2.0,2
211,1.0,1
212,2.0,2
213,1.0,1
214,1.0,1
215,2.0,2
216,1.0,1
217,1.0,1
218,1.0,1
219,2.0,2
220,0.0,0
221,0.0,1
222,0.0,0
223,1.0,0
224,1.0,1
225,0.0,0
226,1.0,1
227,1.0,1
228,0.0,0
229,2.0,2
230,1.0,1
231,2.0,1
232,2.0,2
233,0.0,0
234,2.0,2
235,1.0,1
236,0.0,0
237,2.0,2
238,0.0,0
239,0.0,2
240,0.0,0
241,1.0,1
242,2.0,2
243,0.0,0
244,0.0,1
245,0.0,0
246,2.0,2
247,2.0,0
248,2.0,0
249,2.0,0
250,2.0,2
251,0.0,2
252,0.0,0
253,0.0,0
254,0.0,2
255,1.0,1
256,0.0,0
257,0.0,0
258,2.0,2
259,1.0,1
260,2.0,2
261,2.0,2
262,1.0,0
263,0.0,0
264,0.0,0
265,1.0,1
266,0.0,0
267,1.0,1
268,0.0,0
269,0.0,0
270,2.0,2
271,0.0,0
272,0.0,2
273,2.0,2
274,1.0,1
275,1.0,1
276,0.0,0
277,2.0,2
278,1.0,1
279,1.0,1
280,2.0,2
281,1.0,0
282,1.0,1
283,1.0,1
284,2.0,2
285,1.0,1
286,2.0,2
287,0.0,2
288,0.0,0
289,2.0,2
290,1.0,0
291,0.0,0
292,2.0,0
293,0.0,1
294,1.0,1
295,1.0,1
296,0.0,0
297,1.0,1
298,2.0,2
299,1.0,0
300,2.0,2
301,2.0,2
302,0.0,0
303,1.0,1
304,0.0,0
305,1.0,1
306,2.0,0
307,2.0,2
308,1.0,1
309,2.0,2
310,0.0,0
311,2.0,2
312,0.0,0
313,2.0,2
314,1.0,0
315,1.0,1
316,1.0,1
317,0.0,0
318,2.0,2
319,0.0,0
320,2.0,2
321,2.0,2
322,0.0,0
323,1.0,1
324,0.0,1
325,0.0,0
326,0.0,0
327,0.0,0
328,1.0,0
329,1.0,0
330,2.0,2
331,0.0,0
332,0.0,0
333,1.0,1
334,0.0,0
335,2.0,2
336,2.0,2
337,0.0,0
338,0.0,0
339,2.0,2
340,0.0,2
341,1.0,1
342,0.0,0
343,1.0,1
344,1.0,1
345,2.0,2
346,1.0,0
347,0.0,0
348,1.0,0
349,1.0,1
350,1.0,1
351,0.0,0
352,1.0,1
353,1.0,1
354,2.0,0
355,0.0,0
356,1.0,1
357,1.0,1
358,0.0,0
359,0.0,0
360,2.0,2
361,0.0,0
362,2.0,2
363,0.0,2
364,1.0,1
365,0.0,2
366,0.0,2
367,1.0,1
368,1.0,1
369,0.0,0
370,0.0,0
371,2.0,0
372,1.0,1
373,0.0,0
374,1.0,1
375,0.0,0
376,1.0,1
377,0.0,0
378,0.0,1
379,2.0,2
380,0.0,0
381,0.0,0
382,2.0,2
383,0.0,1
384,0.0,0
385,2.0,2
386,2.0,2
387,1.0,1
388,2.0,2
389,1.0,1
390,1.0,1
391,0.0,0
392,2.0,0
393,0.0,0
394,1.0,0
395,2.0,2
396,0.0,0
397,1.0,1
398,1.0,1
399,0.0,0
400,2.0,0
401,0.0,0
402,1.0,1
403,1.0,1
404,0.0,1
405,0.0,0
406,1.0,1
407,1.0,1
408,0.0,1
409,2.0,2
410,2.0,2
411,2.0,0
412,0.0,0
413,1.0,0
414,2.0,2
415,1.0,1
416,1.0,1
417,1.0,1
418,1.0,0
419,1.0,1
420,0.0,0
421,2.0,2
422,2.0,0
423,2.0,2
424,1.0,1
425,1.0,1
426,2.0,2
427,1.0,1
428,2.0,2
429,0.0,1
430,1.0,1
431,1.0,1
432,0.0,0
433,1.0,0
434,1.0,1
435,2.0,2
436,1.0,1
437,2.0,2
438,2.0,2
439,0.0,1
440,1.0,1
441,1.0,1
442,1.0,2
443,2.0,2
444,1.0,1
445,0.0,2
446,2.0,2
447,0.0,0
448,2.0,2
449,2.0,2
450,1.0,1
451,1.0,1
452,2.0,2
453,1.0,0
454,1.0,1
455,0.0,0
456,0.0,2
457,0.0,2
458,2.0,2
459,1.0,1
460,1.0,1
461,1.0,1
462,1.0,1
463,2.0,2
464,0.0,1
465,0.0,0
466,1.0,1
467,1.0,1
468,0.0,0
469,0.0,0
470,2.0,0
471,2.0,2
472,0.0,0
473,1.0,1
474,0.0,0
475,2.0,2
476,1.0,1
477,0.0,0
478,2.0,2
479,1.0,1
480,1.0,1
481,1.0,1
482,2.0,0
483,1.0,1
484,0.0,0
485,2.0,2
486,1.0,1
487,1.0,1
488,0.0,0
489,0.0,0
490,2.0,2
491,2.0,2
492,1.0,1
493,0.0,0
494,2.0,2
495,1.0,1
496,1.0,1
497,2.0,0
498,1.0,1
499,2.0,2
500,1.0,1
501,1.0,0
502,1.0,1
503,1.0,0
504,1.0,1
505,1.0,1
506,2.0,0
507,1.0,1
508,1.0,0
509,0.0,0
510,2.0,0
511,0.0,2
512,0.0,0
513,2.0,2
514,0.0,0
515,0.0,0
516,2.0,2
517,0.0,0
518,2.0,2
519,1.0,1
520,0.0,0
521,2.0,2
522,2.0,2
523,2.0,2
524,0.0,0
525,2.0,2
526,1.0,1
527,2.0,2
528,1.0,1
529,2.0,2
530,1.0,1
531,1.0,1
532,2.0,2
533,0.0,0
534,1.0,1
535,2.0,2
536,2.0,2
537,1.0,1
538,0.0,0
539,2.0,0
540,0.0,2
541,0.0,0
542,2.0,2
543,1.0,1
544,2.0,2
545,1.0,1
546,2.0,2
547,1.0,0
548,2.0,2
549,0.0,0
550,2.0,2
551,1.0,0
552,2.0,2
553,0.0,0
554,2.0,2
555,2.0,2
556,0.0,0
557,0.0,2
558,0.0,0
559,1.0,0
560,2.0,2
561,1.0,1
562,0.0,0
563,1.0,1
564,1.0,1
565,2.0,2
566,0.0,2
567,0.0,0
568,2.0,2
569,1.0,1
570,1.0,0
571,1.0,1
572,2.0,2
573,1.0,1
574,2.0,2
575,0.0,0
576,0.0,0
577,0.0,0
578,0.0,0
579,2.0,2
580,1.0,0
581,0.0,0
582,1.0,1
583,2.0,2
584,1.0,0
585,1.0,1
586,2.0,2
587,1.0,1
588,1.0,1
589,1.0,1
590,2.0,2
591,2.0,2
592,2.0,2
593,2.0,2
594,0.0,0
595,1.0,1
596,0.0,0
597,1.0,1
598,2.0,2
599,1.0,1
600,0.0,0
601,2.0,2
