,predictions,target
0,0.0,1
1,0.0,0
2,0.0,1
3,0.0,1
4,0.0,1
5,0.0,1
6,0.0,0
7,0.0,0
8,0.0,1
9,0.0,0
10,0.0,0
11,0.0,1
12,0.0,0
13,0.0,0
14,0.0,0
15,0.0,1
16,0.0,0
17,0.0,0
18,0.0,1
19,0.0,1
20,0.0,0
21,0.0,1
22,0.0,0
23,0.0,1
24,0.0,1
25,0.0,1
26,0.0,1
27,0.0,1
28,0.0,0
29,0.0,1
30,0.0,0
31,0.0,1
32,0.0,1
33,0.0,0
34,0.0,1
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,0.0,0
40,0.0,1
41,0.0,0
42,0.0,1
43,0.0,0
44,0.0,0
45,0.0,0
46,0.0,0
47,0.0,0
48,0.0,0
49,0.0,0
50,0.0,1
51,0.0,0
52,0.0,1
53,0.0,1
54,0.0,1
55,0.0,0
56,0.0,0
57,0.0,1
58,0.0,1
59,0.0,1
60,0.0,1
61,0.0,1
62,0.0,1
63,0.0,0
64,0.0,1
65,0.0,1
66,0.0,1
67,0.0,0
68,0.0,1
69,0.0,0
70,0.0,0
71,0.0,1
72,0.0,0
73,0.0,1
74,0.0,0
75,0.0,1
76,0.0,1
77,0.0,0
78,0.0,1
79,0.0,1
80,0.0,1
81,0.0,0
82,0.0,0
83,0.0,1
84,0.0,0
85,0.0,1
86,0.0,0
87,0.0,1
88,0.0,1
89,0.0,1
90,0.0,0
91,0.0,0
92,0.0,0
93,0.0,0
94,0.0,0
95,0.0,1
96,0.0,0
97,0.0,1
98,0.0,1
99,0.0,0
100,0.0,1
101,0.0,0
102,1.0,1
103,1.0,0
104,1.0,1
105,1.0,0
106,1.0,0
107,1.0,0
108,1.0,1
109,1.0,0
110,1.0,1
111,1.0,0
112,1.0,0
113,1.0,0
114,1.0,1
115,1.0,0
116,1.0,0
117,1.0,1
118,1.0,0
119,1.0,0
120,1.0,1
121,1.0,0
122,1.0,0
123,1.0,0
124,1.0,1
125,1.0,1
126,1.0,0
127,1.0,0
128,1.0,0
129,1.0,0
130,1.0,0
131,1.0,0
132,1.0,0
133,1.0,1
134,1.0,0
135,1.0,1
136,1.0,1
137,1.0,1
138,1.0,0
139,1.0,1
140,1.0,0
141,1.0,1
142,1.0,0
143,1.0,1
144,1.0,1
145,1.0,1
146,1.0,0
147,1.0,0
148,1.0,0
149,1.0,1
150,1.0,0
151,1.0,0
152,1.0,0
153,0.0,0
154,0.0,1
155,0.0,1
156,0.0,1
157,0.0,1
158,0.0,1
159,0.0,0
160,0.0,0
161,0.0,0
162,0.0,1
163,0.0,1
164,0.0,1
165,0.0,1
166,0.0,0
167,0.0,0
168,0.0,0
169,0.0,0
170,0.0,1
171,0.0,0
172,0.0,1
173,0.0,1
174,0.0,1
175,0.0,0
176,0.0,0
177,0.0,0
178,0.0,1
179,0.0,0
180,0.0,0
181,0.0,1
182,0.0,0
183,0.0,0
