,predictions,target
0,1.0,1
1,1.0,0
2,1.0,0
3,1.0,1
4,1.0,0
5,1.0,1
6,1.0,0
7,1.0,1
8,1.0,1
9,1.0,0
10,1.0,1
11,1.0,0
12,1.0,1
13,1.0,0
14,1.0,0
15,1.0,1
16,1.0,0
17,1.0,0
18,1.0,1
19,1.0,0
20,1.0,0
21,1.0,1
22,1.0,0
23,1.0,1
24,1.0,0
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,0
29,1.0,0
30,1.0,1
31,1.0,0
32,1.0,0
33,1.0,1
34,1.0,0
35,1.0,0
36,1.0,1
37,1.0,0
38,1.0,0
39,1.0,0
40,1.0,0
41,1.0,1
42,1.0,0
43,1.0,0
44,1.0,0
45,1.0,0
46,1.0,0
47,1.0,0
48,1.0,1
49,1.0,1
50,1.0,1
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,1
56,0.0,1
57,0.0,0
58,0.0,0
59,0.0,0
60,0.0,1
61,0.0,1
62,0.0,0
63,0.0,1
64,0.0,0
65,0.0,1
66,0.0,0
67,0.0,1
68,0.0,1
69,0.0,1
70,0.0,0
71,0.0,1
72,0.0,0
73,0.0,1
74,0.0,0
75,0.0,1
76,0.0,0
77,0.0,0
78,0.0,0
79,0.0,1
80,0.0,1
81,0.0,1
82,0.0,0
83,0.0,0
84,0.0,1
85,0.0,0
86,0.0,0
87,0.0,0
88,0.0,1
89,0.0,1
90,0.0,1
91,0.0,1
92,0.0,0
93,0.0,1
94,0.0,1
95,0.0,1
96,0.0,1
97,0.0,1
98,0.0,0
99,0.0,0
100,0.0,0
101,0.0,0
102,1.0,1
103,1.0,0
104,1.0,0
105,1.0,1
106,1.0,0
107,1.0,1
108,1.0,0
109,1.0,0
110,1.0,0
111,1.0,1
112,1.0,1
113,1.0,1
114,1.0,0
115,1.0,0
116,1.0,1
117,1.0,1
118,1.0,0
119,1.0,1
120,1.0,1
121,1.0,0
122,1.0,1
123,1.0,1
124,1.0,1
125,1.0,1
126,1.0,1
127,1.0,0
128,1.0,0
129,1.0,1
130,1.0,0
131,1.0,1
132,1.0,0
133,1.0,0
134,1.0,0
135,1.0,1
136,1.0,1
137,1.0,1
138,1.0,1
139,1.0,1
140,1.0,0
141,1.0,0
142,1.0,0
143,1.0,0
144,1.0,0
145,1.0,0
146,1.0,1
147,1.0,0
148,1.0,1
149,1.0,0
150,1.0,0
151,1.0,0
152,1.0,1
153,1.0,1
154,1.0,0
155,1.0,1
156,1.0,1
157,1.0,0
158,1.0,0
159,1.0,1
160,1.0,1
161,1.0,1
162,1.0,0
163,1.0,1
164,1.0,1
165,1.0,1
166,1.0,0
167,1.0,1
168,1.0,1
169,1.0,0
170,1.0,0
171,1.0,1
172,1.0,0
173,1.0,1
174,1.0,0
175,1.0,0
176,1.0,1
177,1.0,0
178,1.0,1
179,1.0,1
180,1.0,1
181,1.0,1
182,1.0,1
183,1.0,0
184,1.0,1
185,1.0,0
186,1.0,0
187,1.0,1
188,1.0,1
189,1.0,1
190,1.0,0
191,1.0,1
192,1.0,1
193,1.0,0
194,1.0,1
195,1.0,0
196,1.0,0
197,1.0,1
198,1.0,0
199,1.0,0
200,1.0,0
201,1.0,0
202,1.0,0
203,1.0,0
204,0.0,1
205,0.0,0
206,0.0,0
207,0.0,0
208,0.0,1
209,0.0,0
210,0.0,0
211,0.0,1
212,0.0,1
213,0.0,0
214,0.0,0
215,0.0,0
216,0.0,0
217,0.0,1
218,0.0,1
219,0.0,0
220,0.0,0
221,0.0,1
222,0.0,0
223,0.0,0
224,0.0,0
225,0.0,0
226,0.0,1
227,0.0,1
228,0.0,1
229,0.0,0
230,0.0,0
231,0.0,0
232,0.0,1
233,0.0,0
234,0.0,0
235,0.0,0
236,0.0,1
237,0.0,1
238,0.0,1
239,0.0,1
240,0.0,0
241,0.0,0
242,0.0,1
243,0.0,0
244,0.0,1
245,0.0,0
246,0.0,0
247,0.0,1
248,0.0,1
249,0.0,0
250,0.0,1
251,0.0,0
252,0.0,0
253,0.0,1
254,0.0,0
255,1.0,1
256,1.0,0
257,1.0,1
258,1.0,1
259,1.0,1
260,1.0,0
261,1.0,1
262,1.0,1
263,1.0,0
264,1.0,0
265,1.0,1
266,1.0,1
267,1.0,0
268,1.0,0
269,1.0,0
270,1.0,1
271,1.0,1
272,1.0,0
273,1.0,1
274,1.0,0
275,1.0,1
276,1.0,1
277,1.0,1
278,1.0,0
279,1.0,1
280,1.0,1
281,1.0,1
282,1.0,1
283,1.0,1
284,1.0,1
285,1.0,0
286,1.0,0
287,1.0,1
288,1.0,1
289,1.0,1
290,1.0,0
291,1.0,1
292,1.0,0
293,1.0,0
294,1.0,1
295,1.0,0
296,1.0,0
297,1.0,0
298,1.0,0
299,1.0,0
300,1.0,1
301,1.0,1
302,1.0,0
303,1.0,0
304,1.0,0
305,1.0,0
306,1.0,1
307,1.0,0
308,1.0,1
309,1.0,1
310,1.0,1
311,1.0,1
312,1.0,0
313,1.0,1
314,1.0,0
315,1.0,1
316,1.0,1
317,1.0,1
318,1.0,0
319,1.0,0
320,1.0,0
321,1.0,0
322,1.0,0
323,1.0,1
324,1.0,1
325,1.0,0
326,1.0,0
327,1.0,1
328,1.0,0
329,1.0,0
330,1.0,0
331,1.0,1
332,1.0,1
333,1.0,1
334,1.0,1
335,1.0,0
336,1.0,0
337,1.0,1
338,1.0,0
339,1.0,1
340,1.0,0
341,1.0,1
342,1.0,0
343,1.0,0
344,1.0,1
345,1.0,0
346,1.0,1
347,1.0,0
348,1.0,0
349,1.0,1
350,1.0,1
351,1.0,0
352,1.0,0
353,1.0,0
354,1.0,1
355,1.0,1
356,1.0,1
357,0.0,0
358,0.0,0
359,0.0,1
360,0.0,0
361,0.0,0
362,0.0,0
363,0.0,1
364,0.0,0
365,0.0,1
366,0.0,1
367,0.0,0
368,0.0,1
369,0.0,1
370,0.0,0
371,0.0,1
372,0.0,0
373,0.0,1
374,0.0,0
375,0.0,1
376,0.0,0
377,0.0,1
378,0.0,1
379,0.0,0
380,0.0,1
381,0.0,0
382,0.0,1
383,0.0,0
384,0.0,0
385,0.0,0
386,0.0,1
387,0.0,0
388,0.0,0
389,0.0,0
390,0.0,1
391,0.0,1
392,0.0,1
393,0.0,1
394,0.0,1
395,0.0,0
396,0.0,1
397,0.0,0
398,0.0,1
399,0.0,0
400,0.0,0
401,0.0,1
402,0.0,1
403,0.0,1
404,0.0,1
405,0.0,1
406,0.0,1
407,0.0,1
408,1.0,0
409,1.0,1
410,1.0,0
411,1.0,1
412,1.0,0
413,1.0,0
414,1.0,0
415,1.0,1
416,1.0,1
417,1.0,1
418,1.0,1
419,1.0,1
420,1.0,0
421,1.0,1
422,1.0,1
423,1.0,1
424,1.0,0
425,1.0,0
426,1.0,0
427,1.0,0
428,1.0,0
429,1.0,0
430,1.0,0
431,1.0,0
432,1.0,0
433,1.0,0
434,1.0,1
435,1.0,1
436,1.0,0
437,1.0,1
438,1.0,1
439,1.0,0
440,1.0,1
441,1.0,0
442,1.0,0
443,1.0,0
444,1.0,1
445,1.0,0
446,1.0,0
447,1.0,0
448,1.0,1
449,1.0,0
450,1.0,0
451,1.0,0
452,1.0,1
453,1.0,1
454,1.0,1
455,1.0,0
456,1.0,1
457,1.0,0
458,1.0,0
459,0.0,0
460,0.0,0
461,0.0,1
462,0.0,0
463,0.0,1
464,0.0,0
465,0.0,1
466,0.0,0
467,0.0,0
468,0.0,1
469,0.0,0
470,0.0,1
471,0.0,1
472,0.0,1
473,0.0,0
474,0.0,0
475,0.0,0
476,0.0,1
477,0.0,1
478,0.0,1
479,0.0,1
480,0.0,0
481,0.0,1
482,0.0,1
483,0.0,1
484,0.0,0
485,0.0,0
486,0.0,0
487,0.0,0
488,0.0,0
489,0.0,0
490,0.0,1
491,0.0,0
492,0.0,0
493,0.0,0
494,0.0,1
495,0.0,1
496,0.0,1
497,0.0,0
498,0.0,0
499,0.0,1
500,0.0,1
501,0.0,1
502,0.0,0
503,0.0,0
504,0.0,0
505,0.0,0
506,0.0,0
507,0.0,0
508,0.0,0
509,0.0,0
510,1.0,0
511,1.0,0
512,1.0,0
513,1.0,1
514,1.0,0
515,1.0,1
516,1.0,0
517,1.0,1
518,1.0,0
519,1.0,1
520,1.0,0
521,1.0,0
522,1.0,0
523,1.0,1
524,1.0,0
525,1.0,0
526,1.0,1
527,1.0,0
528,1.0,0
529,1.0,0
530,1.0,1
531,1.0,0
532,1.0,0
533,1.0,1
534,1.0,1
535,1.0,0
536,1.0,0
537,1.0,0
538,1.0,0
539,1.0,1
540,1.0,0
541,1.0,1
542,1.0,1
543,1.0,0
544,1.0,0
545,1.0,1
546,1.0,1
547,1.0,0
548,1.0,1
549,1.0,0
550,1.0,0
551,1.0,0
552,1.0,0
553,1.0,0
554,1.0,0
555,1.0,0
556,1.0,0
557,1.0,1
558,1.0,1
559,1.0,1
560,1.0,0
561,0.0,0
562,0.0,1
563,0.0,0
564,0.0,0
565,0.0,1
566,0.0,1
567,0.0,1
568,0.0,1
569,0.0,1
570,0.0,1
571,0.0,0
572,0.0,1
573,0.0,0
574,0.0,1
575,0.0,1
576,0.0,1
577,0.0,1
578,0.0,1
579,0.0,0
580,0.0,1
581,0.0,0
582,0.0,1
583,0.0,1
584,0.0,0
585,0.0,1
586,0.0,0
587,0.0,1
588,0.0,1
589,0.0,0
590,0.0,1
591,0.0,0
592,0.0,1
593,0.0,0
594,0.0,0
595,0.0,0
596,0.0,0
597,0.0,1
598,0.0,1
599,0.0,0
600,0.0,0
601,0.0,0
602,0.0,0
603,0.0,1
604,0.0,1
605,0.0,0
606,0.0,1
607,0.0,0
608,0.0,0
609,0.0,1
610,0.0,1
611,0.0,0
612,0.0,0
613,0.0,1
614,0.0,1
615,0.0,0
616,0.0,1
617,0.0,1
618,0.0,1
619,0.0,1
620,0.0,0
621,0.0,0
622,0.0,0
623,0.0,1
624,0.0,0
625,0.0,1
626,0.0,1
627,0.0,0
628,0.0,0
629,0.0,1
630,0.0,0
631,0.0,0
632,0.0,1
633,0.0,1
634,0.0,0
635,0.0,0
636,0.0,1
637,0.0,0
638,0.0,1
639,0.0,1
640,0.0,1
641,0.0,0
642,0.0,0
643,0.0,1
644,0.0,1
645,0.0,1
646,0.0,0
647,0.0,1
648,0.0,1
649,0.0,1
650,0.0,0
651,0.0,0
652,0.0,0
653,0.0,0
654,0.0,0
655,0.0,0
656,0.0,1
657,0.0,1
658,0.0,0
659,0.0,0
660,0.0,0
661,0.0,0
662,0.0,1
663,1.0,1
664,1.0,1
665,1.0,0
666,1.0,1
667,1.0,1
668,1.0,0
669,1.0,0
670,1.0,0
671,1.0,1
672,1.0,0
673,1.0,0
674,1.0,0
675,1.0,0
676,1.0,1
677,1.0,0
678,1.0,0
679,1.0,1
680,1.0,0
681,1.0,0
682,1.0,0
683,1.0,0
684,1.0,1
685,1.0,1
686,1.0,1
687,1.0,1
688,1.0,1
689,1.0,1
690,1.0,0
691,1.0,0
692,1.0,0
693,1.0,0
694,1.0,0
695,1.0,1
696,1.0,1
697,1.0,1
698,1.0,0
699,1.0,1
700,1.0,0
701,1.0,1
702,1.0,1
703,1.0,1
704,1.0,1
705,1.0,1
706,1.0,0
707,1.0,1
708,1.0,1
709,1.0,1
710,1.0,1
711,1.0,1
712,1.0,1
713,1.0,0
714,0.0,0
715,0.0,0
716,0.0,1
717,0.0,1
718,0.0,1
719,0.0,1
720,0.0,1
721,0.0,1
722,0.0,1
723,0.0,1
724,0.0,0
725,0.0,0
726,0.0,1
727,0.0,1
728,0.0,1
729,0.0,1
730,0.0,0
731,0.0,1
732,0.0,0
733,0.0,1
734,0.0,1
735,0.0,0
736,0.0,0
737,0.0,1
738,0.0,0
739,0.0,0
740,0.0,0
741,0.0,1
742,0.0,0
743,0.0,1
744,0.0,1
745,0.0,0
746,0.0,0
747,0.0,1
748,0.0,1
749,0.0,1
750,0.0,1
751,0.0,1
752,0.0,1
753,0.0,0
754,0.0,0
755,0.0,0
756,0.0,1
757,0.0,0
758,0.0,0
759,0.0,1
760,0.0,1
761,0.0,1
762,0.0,1
763,0.0,1
764,0.0,0
765,1.0,1
766,1.0,0
767,1.0,0
768,1.0,0
769,1.0,1
770,1.0,1
771,1.0,0
772,1.0,0
773,1.0,1
774,1.0,1
775,1.0,0
776,1.0,1
777,1.0,0
778,1.0,1
779,1.0,1
780,1.0,0
781,1.0,1
782,1.0,1
783,1.0,1
784,1.0,0
785,1.0,0
786,1.0,0
787,1.0,1
788,1.0,0
789,1.0,1
790,1.0,0
791,1.0,1
792,1.0,1
793,1.0,0
794,1.0,1
795,1.0,0
796,1.0,0
797,1.0,0
798,1.0,0
799,1.0,0
800,1.0,1
801,1.0,1
802,1.0,0
803,1.0,1
804,1.0,1
805,1.0,1
806,1.0,1
807,1.0,1
808,1.0,1
809,1.0,0
810,1.0,0
811,1.0,0
812,1.0,1
813,1.0,1
814,1.0,1
815,1.0,1
816,1.0,1
817,1.0,0
818,1.0,1
819,1.0,1
820,1.0,1
821,1.0,1
822,1.0,1
823,1.0,1
824,1.0,1
825,1.0,1
826,1.0,0
827,1.0,1
828,1.0,0
829,1.0,0
830,1.0,0
831,1.0,0
832,1.0,1
833,1.0,1
834,1.0,1
835,1.0,1
836,1.0,1
837,1.0,1
838,1.0,1
839,1.0,1
840,1.0,0
841,1.0,0
842,1.0,1
843,1.0,0
844,1.0,0
845,1.0,1
846,1.0,0
847,1.0,0
