,predictions,target
0,1.0,1
1,1.0,0
2,1.0,0
3,1.0,0
4,1.0,1
5,1.0,0
6,1.0,1
7,1.0,1
8,1.0,0
9,1.0,0
10,1.0,0
11,1.0,0
12,1.0,0
13,1.0,1
14,1.0,0
15,1.0,1
16,1.0,0
17,1.0,0
18,1.0,0
19,1.0,1
20,1.0,1
21,1.0,0
22,1.0,1
23,1.0,0
24,1.0,1
25,1.0,1
26,1.0,0
27,1.0,1
28,1.0,1
29,1.0,1
30,1.0,1
31,1.0,1
32,1.0,1
33,1.0,0
34,1.0,1
35,1.0,1
36,1.0,1
37,1.0,0
38,1.0,1
39,1.0,0
40,1.0,1
41,1.0,0
42,1.0,0
43,1.0,0
44,1.0,1
45,1.0,1
46,1.0,1
47,1.0,0
48,1.0,1
49,1.0,1
50,1.0,1
51,0.0,1
52,0.0,1
53,0.0,0
54,0.0,0
55,0.0,1
56,0.0,1
57,0.0,1
58,0.0,0
59,0.0,0
60,0.0,1
61,0.0,0
62,0.0,1
63,0.0,0
64,0.0,1
65,0.0,0
66,0.0,1
67,0.0,0
68,0.0,0
69,0.0,1
70,0.0,1
71,0.0,0
72,0.0,1
73,0.0,0
74,0.0,0
75,0.0,0
76,0.0,1
77,0.0,1
78,0.0,0
79,0.0,1
80,0.0,1
81,0.0,0
82,0.0,0
83,0.0,1
84,0.0,0
85,0.0,1
86,0.0,0
87,0.0,0
88,0.0,1
89,0.0,0
90,0.0,1
91,0.0,1
92,0.0,1
93,0.0,1
94,0.0,0
95,0.0,0
96,0.0,0
97,0.0,1
98,0.0,1
99,0.0,1
100,0.0,1
101,0.0,1
102,0.0,0
103,0.0,0
104,0.0,0
105,0.0,1
106,0.0,1
107,0.0,0
108,0.0,0
109,0.0,1
110,0.0,0
111,0.0,0
112,0.0,1
113,0.0,0
114,0.0,0
115,0.0,0
116,0.0,1
117,0.0,0
118,0.0,0
119,0.0,0
120,0.0,0
121,0.0,1
122,0.0,1
123,0.0,0
124,0.0,1
125,0.0,0
126,0.0,0
127,0.0,0
128,0.0,0
129,0.0,1
130,0.0,0
131,0.0,0
132,0.0,0
133,0.0,1
134,0.0,0
135,0.0,0
136,0.0,1
137,0.0,1
138,0.0,0
139,0.0,0
140,0.0,0
141,0.0,0
142,0.0,1
143,0.0,0
144,0.0,0
145,0.0,0
146,0.0,0
147,0.0,1
148,0.0,0
149,0.0,0
150,0.0,0
151,0.0,0
152,0.0,1
153,0.0,1
154,0.0,1
155,0.0,0
156,0.0,1
157,0.0,1
158,0.0,0
159,0.0,1
160,0.0,1
161,0.0,0
162,0.0,1
163,0.0,1
164,0.0,0
165,0.0,1
166,0.0,0
167,0.0,1
168,0.0,0
169,0.0,1
170,0.0,1
171,0.0,1
172,0.0,1
173,0.0,0
174,0.0,1
175,0.0,0
176,0.0,0
177,0.0,0
178,0.0,1
179,0.0,0
180,0.0,0
181,0.0,0
182,0.0,0
183,0.0,1
184,0.0,1
185,0.0,0
186,0.0,0
187,0.0,1
188,0.0,0
189,0.0,0
190,0.0,1
191,0.0,0
192,0.0,0
193,0.0,0
194,0.0,0
195,0.0,0
196,0.0,0
197,0.0,0
198,0.0,0
199,0.0,0
200,0.0,1
201,0.0,1
202,0.0,0
203,0.0,1
204,1.0,1
205,1.0,0
206,1.0,0
207,1.0,1
208,1.0,1
209,1.0,1
210,1.0,1
211,1.0,1
212,1.0,0
213,1.0,0
214,1.0,0
215,1.0,0
216,1.0,0
217,1.0,1
218,1.0,0
219,1.0,1
220,1.0,1
221,1.0,0
222,1.0,1
223,1.0,1
224,1.0,0
225,1.0,0
226,1.0,0
227,1.0,0
228,1.0,1
229,1.0,1
230,1.0,0
231,1.0,0
232,1.0,1
233,1.0,1
234,1.0,1
235,1.0,0
236,1.0,0
237,1.0,1
238,1.0,1
239,1.0,0
240,1.0,1
241,1.0,0
242,1.0,1
243,1.0,1
244,1.0,0
245,1.0,1
246,1.0,0
247,1.0,0
248,1.0,0
249,1.0,0
250,1.0,0
251,1.0,0
252,1.0,1
253,1.0,0
254,1.0,0
255,0.0,0
256,0.0,1
257,0.0,0
258,0.0,1
259,0.0,1
260,0.0,0
261,0.0,1
262,0.0,1
263,0.0,1
264,0.0,0
265,0.0,1
266,0.0,0
267,0.0,0
268,0.0,1
269,0.0,1
270,0.0,1
271,0.0,0
272,0.0,0
273,0.0,1
274,0.0,0
275,0.0,0
276,0.0,1
277,0.0,0
278,0.0,1
279,0.0,1
280,0.0,0
281,0.0,0
282,0.0,1
283,0.0,1
284,0.0,0
285,0.0,0
286,0.0,0
287,0.0,0
288,0.0,1
289,0.0,1
290,0.0,1
291,0.0,1
292,0.0,1
293,0.0,1
294,0.0,1
295,0.0,0
296,0.0,1
297,0.0,1
298,0.0,1
299,0.0,0
300,0.0,0
301,0.0,0
302,0.0,0
303,0.0,0
304,0.0,1
305,0.0,0
306,1.0,1
307,0.0,0
308,0.0,0
309,1.0,0
310,1.0,1
311,0.0,1
312,0.0,1
313,0.0,0
314,1.0,0
315,0.0,0
316,1.0,1
317,0.0,0
318,1.0,1
319,1.0,0
320,0.0,1
321,0.0,0
322,1.0,0
323,0.0,0
324,1.0,1
325,1.0,1
326,1.0,1
327,1.0,1
328,0.0,0
329,1.0,0
330,1.0,1
331,0.0,1
332,0.0,1
333,1.0,1
334,1.0,1
335,0.0,0
336,1.0,1
337,0.0,1
338,1.0,0
339,0.0,0
340,1.0,1
341,0.0,0
342,1.0,1
343,1.0,1
344,0.0,0
345,0.0,0
346,1.0,0
347,1.0,1
348,1.0,1
349,0.0,0
350,0.0,0
351,0.0,0
352,1.0,0
353,1.0,0
354,0.0,0
355,1.0,0
356,1.0,1
357,1.0,1
358,0.0,0
359,1.0,0
360,1.0,1
361,1.0,1
362,0.0,1
363,1.0,1
364,0.0,0
365,0.0,0
366,1.0,1
367,0.0,0
368,1.0,0
369,0.0,0
370,1.0,0
371,0.0,0
372,0.0,0
373,1.0,0
374,0.0,0
375,1.0,1
376,0.0,1
377,1.0,1
378,1.0,1
379,1.0,1
380,0.0,0
381,0.0,0
382,0.0,0
383,1.0,1
384,0.0,0
385,1.0,0
386,1.0,1
387,1.0,1
388,0.0,0
389,1.0,1
390,1.0,0
391,0.0,0
392,1.0,1
393,0.0,0
394,0.0,0
395,0.0,0
396,0.0,0
397,0.0,0
398,1.0,1
399,1.0,1
400,0.0,0
401,1.0,1
402,1.0,1
403,0.0,0
404,1.0,1
405,1.0,1
406,1.0,1
407,0.0,0
408,0.0,1
409,1.0,1
410,0.0,0
411,1.0,1
412,1.0,1
413,1.0,1
414,1.0,0
415,0.0,0
416,1.0,1
417,0.0,1
418,1.0,1
419,0.0,0
420,0.0,0
421,0.0,0
422,1.0,1
423,0.0,0
424,0.0,1
425,1.0,1
426,0.0,1
427,1.0,1
428,0.0,0
429,0.0,0
430,1.0,1
431,1.0,1
432,1.0,1
433,0.0,0
434,1.0,1
435,1.0,0
436,0.0,0
437,0.0,0
438,0.0,0
439,1.0,1
440,0.0,0
441,1.0,1
442,1.0,1
443,1.0,0
444,1.0,1
445,0.0,0
446,0.0,0
447,0.0,0
448,0.0,1
449,0.0,0
450,0.0,1
451,1.0,1
452,0.0,1
453,1.0,1
454,1.0,1
455,0.0,0
456,0.0,0
457,1.0,1
458,1.0,0
459,1.0,0
460,0.0,1
461,1.0,1
462,0.0,0
463,1.0,1
464,1.0,0
465,0.0,0
466,0.0,0
467,1.0,1
468,0.0,0
469,0.0,0
470,0.0,0
471,0.0,1
472,1.0,1
473,0.0,0
474,0.0,0
475,1.0,1
476,1.0,1
477,0.0,0
478,1.0,1
479,0.0,0
480,0.0,0
481,1.0,0
482,0.0,0
483,0.0,0
484,1.0,0
485,1.0,1
486,0.0,0
487,0.0,0
488,1.0,1
489,0.0,0
490,0.0,0
491,0.0,0
492,1.0,1
493,0.0,0
494,1.0,1
495,1.0,1
496,0.0,1
497,1.0,1
498,0.0,0
499,0.0,0
500,0.0,0
501,1.0,0
502,1.0,1
503,0.0,0
504,0.0,0
505,1.0,1
506,0.0,0
507,0.0,1
508,1.0,1
509,1.0,0
510,1.0,1
511,1.0,1
512,1.0,1
513,0.0,0
514,0.0,0
515,1.0,0
516,0.0,0
517,1.0,1
518,0.0,0
519,1.0,1
520,0.0,0
521,0.0,0
522,1.0,1
523,0.0,0
524,1.0,1
525,0.0,0
526,0.0,1
527,1.0,0
528,0.0,0
529,1.0,1
530,1.0,1
531,0.0,0
532,0.0,0
533,1.0,1
534,0.0,0
535,0.0,0
536,0.0,0
537,0.0,0
538,0.0,0
539,1.0,1
540,1.0,1
541,0.0,0
542,0.0,0
543,1.0,0
544,0.0,0
545,1.0,0
546,0.0,0
547,1.0,1
548,0.0,0
549,1.0,1
550,0.0,0
551,1.0,1
552,1.0,0
553,1.0,1
554,1.0,1
555,1.0,0
556,0.0,0
557,1.0,1
558,0.0,1
559,1.0,1
560,1.0,1
561,1.0,1
562,1.0,1
563,0.0,0
564,1.0,0
565,1.0,0
566,1.0,1
567,1.0,1
568,1.0,1
569,1.0,1
570,1.0,1
571,0.0,1
572,1.0,1
573,0.0,0
574,0.0,0
575,0.0,0
576,1.0,0
577,0.0,0
578,1.0,1
579,1.0,1
580,1.0,1
581,1.0,1
582,1.0,0
583,0.0,1
584,1.0,1
585,1.0,0
586,0.0,0
587,1.0,1
588,0.0,0
589,1.0,1
590,1.0,1
591,1.0,0
592,1.0,1
593,1.0,1
594,1.0,1
595,1.0,1
596,1.0,1
597,1.0,1
598,1.0,1
599,1.0,1
600,1.0,1
601,1.0,1
602,0.0,0
603,1.0,1
604,1.0,1
605,1.0,1
606,1.0,1
607,1.0,1
608,1.0,1
609,0.0,0
610,1.0,0
611,1.0,1
612,1.0,1
613,1.0,0
614,1.0,1
615,0.0,0
616,0.0,0
617,0.0,0
618,0.0,0
619,0.0,0
620,0.0,0
621,0.0,0
622,1.0,0
623,0.0,0
624,0.0,0
625,0.0,0
626,0.0,1
627,0.0,0
628,0.0,0
629,1.0,1
630,1.0,0
631,0.0,0
632,0.0,1
633,0.0,0
634,0.0,1
635,1.0,0
636,0.0,0
637,0.0,0
638,0.0,0
639,0.0,0
640,0.0,0
641,0.0,0
642,0.0,0
643,0.0,0
644,1.0,1
645,1.0,1
646,1.0,1
647,1.0,0
648,1.0,1
649,1.0,1
650,1.0,1
651,0.0,1
652,1.0,1
653,0.0,0
654,0.0,0
655,0.0,0
656,1.0,1
657,1.0,1
658,1.0,0
659,1.0,1
660,1.0,0
661,0.0,0
662,0.0,0
663,1.0,1
664,1.0,1
665,0.0,0
666,0.0,1
667,1.0,1
668,0.0,0
669,0.0,0
670,1.0,1
671,1.0,0
672,1.0,1
673,1.0,1
674,0.0,0
675,0.0,0
676,0.0,0
677,1.0,1
678,1.0,0
679,0.0,1
680,1.0,0
681,1.0,1
682,0.0,0
683,1.0,1
684,1.0,0
685,1.0,0
686,1.0,1
687,0.0,1
688,0.0,0
689,0.0,0
690,0.0,0
691,1.0,1
692,1.0,1
693,0.0,0
694,0.0,0
695,0.0,0
696,1.0,1
697,1.0,1
698,0.0,0
699,1.0,1
700,0.0,0
701,0.0,0
702,0.0,1
703,0.0,1
704,0.0,0
705,0.0,0
706,1.0,1
707,0.0,0
708,1.0,1
709,0.0,1
710,0.0,0
711,0.0,1
712,1.0,0
713,0.0,1
714,1.0,1
715,1.0,0
716,0.0,0
717,1.0,0
718,1.0,0
719,1.0,0
720,1.0,1
721,1.0,0
722,1.0,1
723,0.0,0
724,1.0,1
725,0.0,0
726,0.0,0
727,1.0,1
728,1.0,1
729,1.0,1
730,0.0,0
731,1.0,1
732,1.0,1
733,1.0,1
734,0.0,0
735,1.0,1
736,0.0,1
737,0.0,0
738,0.0,0
739,1.0,1
740,0.0,0
741,0.0,0
742,0.0,0
743,1.0,1
744,1.0,1
745,0.0,0
746,0.0,0
747,1.0,0
748,1.0,0
749,0.0,1
750,1.0,1
751,1.0,1
752,1.0,1
753,1.0,1
754,0.0,0
755,1.0,1
756,0.0,0
757,0.0,0
758,1.0,1
759,1.0,1
760,1.0,1
761,0.0,0
762,0.0,0
763,0.0,0
764,1.0,1
765,1.0,1
766,1.0,1
767,1.0,1
768,1.0,1
769,1.0,1
770,0.0,1
771,0.0,0
772,1.0,1
773,0.0,0
774,1.0,1
775,1.0,1
776,1.0,1
777,0.0,0
778,1.0,1
779,1.0,1
780,1.0,0
781,0.0,0
782,1.0,1
783,1.0,1
784,1.0,1
785,1.0,1
786,0.0,0
787,1.0,1
788,1.0,0
789,0.0,0
790,0.0,0
791,0.0,0
792,1.0,1
793,1.0,0
794,1.0,1
795,0.0,0
796,0.0,0
797,1.0,1
798,0.0,0
799,0.0,0
800,1.0,0
801,0.0,0
802,1.0,1
803,1.0,1
804,0.0,0
805,0.0,0
806,1.0,1
807,1.0,0
808,1.0,1
809,1.0,1
810,0.0,0
811,1.0,1
812,1.0,1
813,1.0,0
814,1.0,1
815,1.0,1
816,0.0,1
817,1.0,1
818,0.0,0
819,1.0,1
820,1.0,1
821,1.0,1
822,0.0,0
823,1.0,0
824,1.0,1
825,0.0,0
826,0.0,0
827,0.0,0
828,1.0,1
829,1.0,1
830,1.0,1
831,0.0,0
832,0.0,0
833,0.0,0
834,0.0,0
835,0.0,0
836,1.0,1
837,1.0,0
838,0.0,1
839,0.0,0
840,0.0,0
841,1.0,1
842,1.0,1
843,1.0,1
844,0.0,1
845,0.0,1
846,0.0,1
847,1.0,0
