,predictions,target
0,0.0,1
1,0.0,1
2,0.0,1
3,0.0,0
4,0.0,0
5,0.0,1
6,0.0,1
7,0.0,1
8,0.0,1
9,0.0,0
10,0.0,1
11,0.0,1
12,0.0,0
13,0.0,0
14,0.0,0
15,0.0,0
16,0.0,0
17,0.0,1
18,0.0,0
19,0.0,1
20,0.0,0
21,0.0,1
22,0.0,1
23,0.0,0
24,0.0,1
25,0.0,0
26,0.0,1
27,0.0,1
28,0.0,0
29,0.0,0
30,0.0,1
31,0.0,0
32,0.0,1
33,0.0,1
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,0.0,0
40,0.0,1
41,0.0,0
42,0.0,0
43,0.0,0
44,0.0,0
45,0.0,0
46,0.0,0
47,0.0,0
48,0.0,1
49,0.0,1
50,0.0,1
51,1.0,1
52,1.0,1
53,1.0,1
54,1.0,0
55,1.0,0
56,1.0,0
57,1.0,1
58,1.0,0
59,1.0,0
60,1.0,0
61,1.0,1
62,1.0,0
63,1.0,0
64,1.0,1
65,1.0,1
66,1.0,0
67,1.0,1
68,1.0,1
69,1.0,0
70,1.0,0
71,1.0,0
72,1.0,0
73,1.0,0
74,1.0,0
75,1.0,0
76,1.0,1
77,1.0,1
78,1.0,0
79,1.0,0
80,1.0,0
81,1.0,1
82,1.0,1
83,1.0,0
84,1.0,0
85,1.0,1
86,1.0,1
87,1.0,1
88,1.0,0
89,1.0,1
90,1.0,0
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,0
95,1.0,1
96,1.0,0
97,1.0,1
98,1.0,1
99,1.0,1
100,1.0,0
101,1.0,1
102,1.0,0
103,1.0,0
104,1.0,0
105,1.0,0
106,1.0,0
107,1.0,1
108,1.0,1
109,1.0,1
110,1.0,0
111,1.0,1
112,1.0,0
113,1.0,0
114,1.0,1
115,1.0,0
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,0
122,1.0,0
123,1.0,0
124,1.0,1
125,1.0,0
126,1.0,1
127,1.0,0
128,1.0,1
129,1.0,1
130,1.0,1
131,1.0,1
132,1.0,1
133,1.0,0
134,1.0,0
135,1.0,0
136,1.0,0
137,1.0,0
138,1.0,1
139,1.0,1
140,1.0,0
141,1.0,1
142,1.0,1
143,1.0,0
144,1.0,1
145,1.0,0
146,1.0,0
147,1.0,0
148,1.0,1
149,1.0,0
150,1.0,0
151,1.0,0
152,1.0,0
153,0.0,0
154,0.0,1
155,0.0,1
156,0.0,0
157,0.0,1
158,0.0,1
159,0.0,0
160,0.0,0
161,0.0,1
162,0.0,0
163,0.0,1
164,0.0,1
165,0.0,0
166,0.0,0
167,0.0,0
168,0.0,0
169,0.0,1
170,0.0,1
171,0.0,0
172,0.0,1
173,0.0,1
174,0.0,1
175,0.0,1
176,0.0,0
177,0.0,1
178,0.0,1
179,0.0,1
180,0.0,0
181,0.0,1
182,0.0,1
183,0.0,1
184,0.0,0
185,0.0,1
186,0.0,0
187,0.0,0
188,0.0,0
189,0.0,0
190,0.0,0
191,0.0,0
192,0.0,0
193,0.0,1
194,0.0,1
195,0.0,1
196,0.0,1
197,0.0,0
