,predictions,target
0,1.0,1
1,1.0,2
2,1.0,2
3,1.0,0
4,1.0,2
5,1.0,1
6,1.0,1
7,1.0,1
8,1.0,2
9,1.0,1
10,1.0,2
11,1.0,1
12,1.0,2
13,1.0,2
14,1.0,1
15,1.0,0
16,1.0,0
17,1.0,0
18,1.0,2
19,1.0,0
20,1.0,2
21,1.0,1
22,1.0,2
23,1.0,1
24,1.0,1
25,1.0,1
26,1.0,0
27,1.0,2
28,1.0,1
29,1.0,0
30,1.0,0
31,1.0,2
32,1.0,1
33,1.0,0
34,1.0,0
35,1.0,1
36,1.0,0
37,1.0,2
38,1.0,1
39,1.0,1
40,1.0,1
41,1.0,0
42,1.0,1
43,1.0,1
44,1.0,2
45,1.0,1
46,1.0,1
47,1.0,0
48,1.0,1
49,1.0,1
50,1.0,0
51,0.0,1
52,0.0,1
53,0.0,2
54,0.0,2
55,0.0,0
56,0.0,2
57,0.0,2
58,0.0,0
59,0.0,1
60,0.0,1
61,0.0,0
62,0.0,0
63,0.0,2
64,0.0,2
65,0.0,1
66,0.0,0
67,0.0,0
68,0.0,2
69,0.0,0
70,0.0,0
71,0.0,1
72,0.0,1
73,0.0,0
74,0.0,0
75,0.0,1
76,0.0,1
77,0.0,0
78,0.0,2
79,0.0,2
80,0.0,2
81,0.0,0
82,0.0,2
83,0.0,1
84,0.0,1
85,0.0,1
86,0.0,1
87,0.0,1
88,0.0,0
89,0.0,2
90,0.0,0
91,0.0,2
92,0.0,1
93,0.0,2
94,0.0,2
95,0.0,0
96,0.0,1
97,0.0,2
98,0.0,2
99,0.0,2
100,0.0,2
101,0.0,0
102,1.0,2
103,1.0,0
104,1.0,0
105,1.0,1
106,1.0,0
107,1.0,2
108,1.0,1
109,1.0,1
110,1.0,2
111,1.0,0
112,1.0,2
113,1.0,0
114,1.0,0
115,1.0,1
116,1.0,2
117,1.0,0
118,1.0,0
119,1.0,1
120,1.0,0
121,1.0,0
122,1.0,0
123,1.0,1
124,1.0,1
125,1.0,1
126,1.0,2
127,1.0,2
128,1.0,1
129,1.0,0
130,1.0,0
131,1.0,0
132,1.0,0
133,1.0,1
134,1.0,1
135,1.0,2
136,1.0,1
137,1.0,0
138,1.0,0
139,1.0,0
140,1.0,1
141,1.0,0
142,1.0,2
143,1.0,1
144,1.0,2
145,1.0,0
146,1.0,1
147,1.0,0
148,1.0,1
149,1.0,0
150,1.0,0
151,1.0,2
152,1.0,1
153,2.0,2
154,2.0,1
155,2.0,2
156,2.0,2
157,2.0,0
158,2.0,0
159,2.0,2
160,2.0,1
161,2.0,2
162,2.0,0
163,2.0,2
164,2.0,2
165,2.0,0
166,2.0,2
167,2.0,2
168,2.0,0
169,2.0,0
170,2.0,0
171,2.0,1
172,2.0,0
173,2.0,1
174,2.0,1
175,2.0,0
176,2.0,2
177,2.0,1
178,2.0,2
179,2.0,2
180,2.0,1
181,2.0,1
182,2.0,2
183,2.0,1
184,2.0,1
185,2.0,2
186,2.0,2
187,2.0,0
188,2.0,2
189,2.0,0
190,2.0,1
191,2.0,0
192,2.0,0
193,2.0,0
194,2.0,0
195,2.0,1
196,2.0,0
197,2.0,2
198,2.0,1
199,2.0,1
200,2.0,2
201,2.0,0
202,2.0,1
203,2.0,0
204,0.0,1
205,0.0,1
206,0.0,2
207,0.0,1
208,0.0,1
209,0.0,0
210,0.0,2
211,0.0,0
212,0.0,2
213,0.0,2
214,0.0,2
215,0.0,2
216,0.0,0
217,0.0,1
218,0.0,1
219,0.0,2
220,0.0,2
221,0.0,2
222,0.0,0
223,0.0,0
224,0.0,2
225,0.0,2
226,0.0,1
227,0.0,1
228,0.0,2
229,0.0,0
230,0.0,0
231,0.0,2
232,0.0,2
233,0.0,1
234,0.0,1
235,0.0,2
236,0.0,1
237,0.0,0
238,0.0,0
239,0.0,2
240,0.0,1
241,0.0,0
242,0.0,2
243,0.0,0
244,0.0,2
245,0.0,1
246,0.0,2
247,0.0,1
248,0.0,0
249,0.0,2
250,0.0,0
251,0.0,0
252,0.0,1
253,0.0,2
254,0.0,2
255,0.0,2
256,0.0,1
257,0.0,2
258,0.0,0
259,0.0,1
260,0.0,2
261,0.0,2
262,0.0,1
263,0.0,0
264,0.0,2
265,0.0,0
266,0.0,2
267,0.0,2
268,0.0,1
269,0.0,0
270,0.0,0
271,0.0,0
272,0.0,0
273,0.0,1
274,0.0,1
275,0.0,2
276,0.0,0
277,0.0,0
278,0.0,1
279,0.0,2
280,0.0,0
281,0.0,0
282,0.0,2
283,0.0,0
284,0.0,1
285,0.0,0
286,0.0,1
287,0.0,1
288,0.0,0
289,0.0,0
290,0.0,1
291,0.0,2
292,0.0,2
293,0.0,2
294,0.0,0
295,0.0,0
296,0.0,2
297,0.0,0
298,0.0,0
299,0.0,2
300,0.0,0
301,0.0,1
302,0.0,2
303,0.0,1
304,0.0,1
305,0.0,2
306,1.0,1
307,1.0,1
308,1.0,1
309,1.0,1
310,2.0,2
311,0.0,2
312,2.0,2
313,0.0,0
314,2.0,2
315,1.0,1
316,0.0,0
317,2.0,2
318,1.0,1
319,1.0,1
320,1.0,1
321,1.0,1
322,0.0,0
323,0.0,2
324,2.0,0
325,2.0,0
326,0.0,0
