,predictions,target
0,1.0,1
1,0.0,1
2,0.0,1
3,0.0,1
4,0.0,1
5,0.0,1
6,0.0,1
7,0.0,1
8,0.0,0
9,0.0,1
10,0.0,1
11,0.0,0
12,0.0,1
13,0.0,0
14,0.0,1
15,0.0,0
16,0.0,0
17,0.0,1
18,0.0,1
19,0.0,1
20,0.0,1
21,0.0,0
22,0.0,0
23,0.0,0
24,1.0,1
25,0.0,0
26,0.0,1
27,0.0,1
28,0.0,0
29,0.0,0
30,1.0,1
31,1.0,1
32,0.0,0
33,0.0,1
34,0.0,0
35,1.0,0
36,1.0,1
37,1.0,0
38,0.0,0
39,1.0,1
40,0.0,1
41,0.0,0
42,1.0,1
43,0.0,0
44,1.0,1
45,1.0,1
46,0.0,1
47,0.0,0
48,0.0,0
49,0.0,0
50,1.0,1
51,0.0,0
52,0.0,0
53,1.0,1
54,0.0,0
55,0.0,0
56,0.0,0
57,1.0,1
58,0.0,0
59,0.0,0
60,1.0,1
61,1.0,1
62,1.0,1
63,1.0,1
64,1.0,1
65,0.0,0
66,0.0,0
67,0.0,0
68,0.0,0
69,0.0,0
70,1.0,1
71,0.0,0
72,1.0,0
73,0.0,0
74,1.0,1
75,1.0,1
76,0.0,0
77,0.0,0
78,1.0,0
79,0.0,0
80,0.0,0
81,1.0,1
82,0.0,0
83,1.0,1
84,1.0,1
85,0.0,1
86,1.0,1
87,0.0,1
88,0.0,1
89,0.0,1
90,0.0,1
91,0.0,0
92,0.0,1
93,0.0,1
94,0.0,0
95,0.0,0
96,0.0,1
97,1.0,0
98,0.0,0
99,0.0,1
100,0.0,1
101,0.0,1
102,0.0,0
103,0.0,1
104,0.0,1
105,0.0,1
106,0.0,1
107,0.0,0
108,0.0,0
109,0.0,0
110,0.0,0
111,1.0,1
112,0.0,1
113,0.0,1
114,1.0,1
115,0.0,0
116,0.0,1
117,0.0,1
118,0.0,0
119,1.0,0
120,0.0,1
121,0.0,0
122,0.0,1
123,1.0,0
124,1.0,1
125,0.0,1
126,0.0,1
127,1.0,0
128,0.0,1
129,0.0,1
130,1.0,1
131,0.0,0
132,0.0,0
133,0.0,1
134,1.0,1
135,1.0,0
136,0.0,1
137,0.0,0
138,0.0,0
139,0.0,0
140,0.0,1
141,1.0,0
142,0.0,1
143,0.0,1
144,0.0,1
145,0.0,1
146,0.0,1
147,0.0,0
148,0.0,1
149,0.0,1
150,0.0,0
151,1.0,1
152,0.0,0
153,0.0,1
154,0.0,1
155,0.0,0
156,0.0,0
157,0.0,1
158,0.0,0
159,0.0,0
160,0.0,0
161,1.0,1
162,0.0,1
163,0.0,1
164,0.0,1
165,0.0,1
166,0.0,1
167,0.0,1
168,0.0,0
169,0.0,0
170,1.0,1
171,1.0,1
172,0.0,1
173,0.0,1
174,0.0,0
175,1.0,0
176,0.0,0
177,1.0,0
178,0.0,1
179,1.0,1
180,0.0,1
181,0.0,0
182,0.0,0
183,0.0,0
184,0.0,0
185,0.0,0
186,1.0,0
187,0.0,0
188,1.0,0
189,1.0,1
190,1.0,1
191,1.0,1
192,1.0,1
193,0.0,0
194,1.0,1
195,1.0,0
196,1.0,1
197,1.0,1
198,1.0,0
199,1.0,1
200,0.0,0
201,0.0,0
202,0.0,1
203,0.0,0
204,1.0,1
205,0.0,1
206,1.0,1
207,1.0,0
208,1.0,0
209,0.0,1
210,0.0,0
211,0.0,0
212,0.0,0
213,0.0,0
214,1.0,1
215,0.0,0
216,1.0,1
217,0.0,0
218,0.0,0
219,0.0,0
220,1.0,0
221,0.0,0
222,0.0,0
223,0.0,1
224,1.0,1
225,0.0,0
226,0.0,0
227,0.0,0
228,1.0,1
229,1.0,1
230,0.0,0
231,1.0,0
232,1.0,1
233,1.0,1
234,1.0,1
235,1.0,1
236,0.0,0
237,1.0,1
238,0.0,1
239,0.0,1
240,0.0,1
241,0.0,0
