,predictions,target
0,1.0,0
1,1.0,0
2,1.0,1
3,1.0,0
4,1.0,1
5,1.0,1
6,1.0,1
7,0.0,0
8,1.0,1
9,0.0,0
10,1.0,0
11,1.0,1
12,1.0,0
13,0.0,0
14,1.0,1
15,1.0,1
16,1.0,0
17,1.0,0
18,0.0,0
19,1.0,0
20,1.0,1
21,1.0,1
22,1.0,0
23,1.0,0
24,1.0,0
25,1.0,0
26,1.0,1
27,0.0,0
28,0.0,0
29,1.0,1
30,0.0,0
31,1.0,1
32,1.0,1
33,0.0,0
34,1.0,1
35,1.0,1
36,1.0,1
37,0.0,0
38,1.0,1
39,1.0,1
40,1.0,1
41,0.0,0
42,1.0,1
43,0.0,0
44,1.0,1
45,1.0,0
46,1.0,1
47,1.0,0
48,1.0,0
49,0.0,0
50,1.0,0
51,1.0,0
52,1.0,1
53,1.0,1
54,1.0,0
55,1.0,0
56,1.0,0
57,1.0,0
58,1.0,0
59,1.0,0
60,0.0,0
61,1.0,0
62,0.0,0
63,1.0,0
64,1.0,1
65,1.0,0
66,0.0,0
67,0.0,0
68,0.0,0
69,1.0,1
70,1.0,1
71,1.0,1
72,1.0,1
73,1.0,0
74,1.0,1
75,1.0,1
76,0.0,0
77,1.0,1
78,1.0,1
79,0.0,0
80,1.0,0
81,1.0,1
82,1.0,0
83,1.0,1
84,1.0,0
85,1.0,1
86,1.0,0
87,1.0,1
88,1.0,0
89,1.0,0
90,1.0,1
91,1.0,1
92,0.0,0
93,1.0,1
94,1.0,1
95,0.0,0
96,1.0,0
97,1.0,1
98,1.0,0
99,0.0,0
100,1.0,0
101,0.0,0
102,1.0,1
103,1.0,0
104,0.0,0
105,1.0,1
106,0.0,1
107,1.0,1
108,1.0,0
109,1.0,0
110,1.0,0
111,0.0,1
112,1.0,0
113,1.0,1
114,1.0,1
115,1.0,0
116,1.0,0
117,1.0,1
118,1.0,1
119,1.0,0
120,1.0,1
121,1.0,1
122,1.0,1
123,1.0,1
124,1.0,1
125,1.0,0
126,1.0,1
127,1.0,1
128,1.0,1
129,1.0,1
130,1.0,1
131,1.0,0
132,1.0,0
133,1.0,1
134,1.0,1
135,1.0,1
136,0.0,0
137,1.0,1
138,1.0,0
139,1.0,0
140,1.0,0
141,1.0,1
142,0.0,0
143,1.0,1
144,1.0,0
145,1.0,1
146,1.0,1
147,1.0,0
148,1.0,0
149,1.0,0
150,1.0,1
151,1.0,0
152,1.0,0
153,1.0,1
154,0.0,0
155,1.0,0
156,1.0,1
157,1.0,0
158,1.0,0
159,0.0,1
160,1.0,0
161,0.0,0
162,1.0,1
163,1.0,0
164,1.0,0
165,0.0,0
166,1.0,1
167,1.0,1
168,1.0,1
169,1.0,0
170,1.0,1
171,1.0,0
172,0.0,0
173,1.0,1
174,1.0,1
175,1.0,1
176,0.0,1
177,0.0,0
178,1.0,1
179,1.0,1
180,1.0,0
181,0.0,0
182,1.0,1
183,1.0,0
184,0.0,0
185,0.0,0
186,1.0,0
187,1.0,0
188,1.0,1
189,1.0,0
190,1.0,0
191,1.0,0
192,1.0,1
193,1.0,1
194,1.0,1
195,1.0,1
196,1.0,1
197,1.0,1
198,1.0,0
199,0.0,0
200,1.0,0
201,1.0,1
202,1.0,1
203,1.0,1
204,0.0,1
205,1.0,1
206,1.0,1
207,1.0,1
208,1.0,1
209,1.0,1
210,1.0,0
211,1.0,0
212,1.0,0
213,0.0,0
214,0.0,0
215,1.0,1
216,1.0,1
217,1.0,1
218,0.0,1
219,1.0,0
220,1.0,1
221,0.0,0
222,1.0,0
223,0.0,0
224,1.0,1
225,1.0,1
226,0.0,0
227,1.0,1
228,0.0,0
229,1.0,1
230,1.0,1
231,0.0,1
232,0.0,0
233,0.0,0
234,1.0,0
235,1.0,1
236,1.0,1
237,1.0,1
238,1.0,1
239,1.0,1
240,1.0,0
241,1.0,1
242,1.0,1
243,0.0,0
244,1.0,0
245,1.0,0
246,1.0,1
247,0.0,1
248,0.0,1
249,0.0,1
250,0.0,1
251,1.0,0
252,1.0,1
253,0.0,0
254,1.0,1
255,1.0,1
256,1.0,1
257,1.0,1
258,1.0,1
259,1.0,1
260,0.0,0
261,1.0,1
262,0.0,0
263,1.0,1
264,0.0,0
265,1.0,1
266,1.0,1
267,0.0,0
268,1.0,1
269,1.0,1
270,0.0,1
271,1.0,1
272,0.0,0
273,1.0,1
274,0.0,0
275,0.0,0
276,1.0,1
277,0.0,1
278,1.0,1
279,1.0,1
280,1.0,1
281,1.0,1
282,0.0,0
283,1.0,1
284,0.0,1
285,1.0,1
286,1.0,1
287,1.0,1
288,0.0,1
289,0.0,1
290,0.0,1
291,0.0,1
292,1.0,1
293,0.0,1
294,1.0,1
295,0.0,0
296,0.0,0
297,1.0,0
298,0.0,0
299,0.0,0
300,1.0,1
301,0.0,1
302,1.0,0
303,1.0,1
304,1.0,0
305,1.0,1
306,0.0,0
307,1.0,1
308,1.0,1
309,1.0,0
310,0.0,1
311,0.0,0
312,0.0,1
313,1.0,0
314,0.0,1
315,1.0,1
316,1.0,0
317,0.0,0
318,1.0,1
319,0.0,1
320,0.0,1
321,1.0,0
322,0.0,1
323,0.0,0
324,1.0,1
325,0.0,0
326,0.0,0
327,0.0,1
328,1.0,1
329,0.0,0
330,1.0,1
331,0.0,1
332,0.0,0
333,1.0,0
334,1.0,0
335,0.0,1
336,0.0,1
337,0.0,1
338,0.0,1
339,0.0,0
340,1.0,1
341,1.0,0
342,0.0,1
343,0.0,1
344,0.0,0
345,1.0,1
346,0.0,1
347,0.0,1
348,0.0,0
349,0.0,1
350,0.0,1
351,0.0,0
352,0.0,0
353,1.0,0
354,0.0,0
355,1.0,1
356,1.0,1
357,0.0,0
358,0.0,0
359,1.0,1
360,1.0,0
361,1.0,0
362,1.0,1
363,1.0,1
364,0.0,1
365,1.0,1
366,1.0,0
367,0.0,0
368,0.0,0
369,0.0,0
370,0.0,0
371,0.0,0
372,1.0,1
373,0.0,1
374,1.0,0
375,1.0,0
376,1.0,1
377,0.0,0
378,1.0,0
379,0.0,0
380,0.0,0
381,0.0,1
382,0.0,0
383,1.0,0
384,0.0,0
385,0.0,0
386,1.0,0
387,1.0,1
388,0.0,1
389,0.0,0
390,1.0,1
391,1.0,1
392,1.0,1
393,1.0,0
394,0.0,1
395,0.0,0
396,1.0,1
397,0.0,1
398,0.0,0
399,1.0,1
400,0.0,0
401,0.0,0
402,0.0,1
403,0.0,0
404,0.0,1
405,0.0,0
406,0.0,0
407,0.0,1
408,1.0,1
409,1.0,0
410,1.0,0
411,0.0,0
412,1.0,0
413,1.0,0
414,1.0,1
415,0.0,1
