,predictions,target
0,0.0,1
1,0.0,0
2,1.0,0
3,1.0,1
4,0.0,1
5,0.0,0
6,0.0,1
7,1.0,1
8,0.0,1
9,0.0,1
10,0.0,0
11,0.0,0
12,1.0,1
13,0.0,0
14,1.0,1
15,0.0,1
16,0.0,1
17,0.0,0
18,1.0,1
19,0.0,1
20,1.0,1
21,1.0,1
22,0.0,1
23,0.0,1
24,1.0,1
25,0.0,0
26,0.0,1
27,1.0,1
28,0.0,0
29,0.0,0
30,1.0,1
31,1.0,0
32,0.0,0
33,1.0,0
34,1.0,0
35,0.0,0
36,0.0,0
37,0.0,1
38,0.0,0
39,0.0,1
40,1.0,1
41,1.0,1
42,0.0,0
43,0.0,0
44,1.0,1
45,1.0,0
46,0.0,0
47,0.0,1
48,0.0,1
49,0.0,0
50,0.0,1
51,1.0,1
52,1.0,1
53,1.0,0
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,0
58,0.0,0
59,1.0,1
60,0.0,1
61,1.0,0
62,0.0,0
63,0.0,1
64,0.0,0
65,1.0,1
66,0.0,0
67,0.0,1
68,0.0,1
69,0.0,0
70,1.0,1
71,1.0,0
72,0.0,0
73,0.0,0
74,1.0,1
75,0.0,1
76,0.0,1
77,0.0,1
78,1.0,0
79,0.0,0
80,0.0,0
81,0.0,0
82,0.0,1
83,0.0,1
84,0.0,1
85,1.0,1
86,0.0,1
87,0.0,0
88,1.0,0
89,0.0,0
90,0.0,0
91,0.0,1
92,1.0,0
93,1.0,1
94,1.0,0
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,0
99,0.0,1
100,0.0,1
101,0.0,1
102,1.0,0
103,0.0,1
104,0.0,0
105,1.0,1
106,1.0,1
107,1.0,1
108,0.0,0
109,1.0,1
110,0.0,1
111,0.0,1
112,1.0,1
113,0.0,1
114,0.0,0
115,0.0,1
116,0.0,0
117,1.0,0
118,0.0,0
119,0.0,0
120,0.0,1
121,0.0,1
122,1.0,1
123,1.0,1
124,0.0,1
125,1.0,0
126,0.0,0
127,1.0,0
128,0.0,0
129,1.0,0
130,1.0,1
131,0.0,0
132,0.0,1
133,0.0,0
134,1.0,1
135,1.0,1
136,0.0,1
137,0.0,0
138,1.0,1
139,0.0,0
140,1.0,1
141,1.0,1
142,0.0,0
143,0.0,1
144,1.0,1
145,1.0,0
146,0.0,1
147,0.0,1
148,1.0,1
149,0.0,1
150,0.0,0
151,1.0,1
152,0.0,0
153,1.0,0
154,0.0,1
155,0.0,0
156,0.0,0
157,0.0,1
158,1.0,0
159,0.0,0
160,0.0,1
161,0.0,1
162,1.0,1
163,0.0,0
164,0.0,0
165,0.0,0
166,1.0,0
167,1.0,1
168,0.0,1
169,1.0,0
170,1.0,0
171,0.0,0
172,0.0,0
173,0.0,1
174,1.0,1
175,1.0,0
176,1.0,1
177,0.0,0
178,0.0,1
179,1.0,0
180,0.0,1
181,1.0,1
182,0.0,0
183,0.0,1
