,predictions,target
0,1.0,1
1,0.0,0
2,2.0,0
3,0.0,0
4,1.0,1
5,2.0,2
6,2.0,2
7,1.0,1
8,1.0,1
9,0.0,0
10,0.0,0
11,1.0,1
12,1.0,1
13,1.0,1
14,1.0,1
15,1.0,1
16,2.0,2
17,1.0,0
18,0.0,0
19,1.0,1
20,0.0,0
21,1.0,1
22,0.0,2
23,1.0,1
24,2.0,0
25,0.0,0
26,0.0,0
27,1.0,1
28,1.0,0
29,1.0,1
30,1.0,1
31,0.0,2
32,0.0,1
33,2.0,0
34,2.0,2
35,0.0,1
36,0.0,0
37,2.0,2
38,0.0,2
39,1.0,1
40,0.0,0
41,2.0,2
42,2.0,0
43,0.0,2
44,2.0,0
45,2.0,0
46,2.0,2
47,2.0,2
48,1.0,0
49,1.0,1
50,2.0,2
51,0.0,0
52,0.0,0
53,2.0,2
54,0.0,1
55,2.0,2
56,1.0,0
57,0.0,2
58,0.0,2
59,1.0,1
60,1.0,1
61,1.0,0
62,1.0,1
63,1.0,1
64,1.0,1
65,0.0,2
66,0.0,2
67,2.0,2
68,0.0,1
69,2.0,2
70,2.0,2
71,2.0,2
72,2.0,2
73,1.0,1
74,0.0,0
75,1.0,0
76,1.0,1
77,2.0,2
78,2.0,0
79,1.0,0
80,1.0,1
81,2.0,2
82,2.0,2
83,0.0,1
84,0.0,0
85,1.0,1
86,0.0,0
87,2.0,2
88,2.0,2
89,0.0,2
90,1.0,1
91,0.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,2.0,2
96,0.0,0
97,1.0,1
98,2.0,2
99,1.0,0
100,1.0,1
101,2.0,2
102,1.0,1
103,1.0,1
104,2.0,2
105,1.0,0
106,2.0,2
107,0.0,1
108,0.0,0
109,1.0,1
110,1.0,1
111,2.0,2
112,1.0,1
113,0.0,0
114,1.0,0
115,1.0,1
116,1.0,1
117,2.0,0
118,2.0,2
119,1.0,0
120,1.0,1
121,1.0,1
122,2.0,2
123,2.0,2
124,0.0,0
125,1.0,1
126,2.0,2
127,1.0,1
128,2.0,2
129,1.0,1
130,1.0,0
131,1.0,2
132,1.0,1
133,0.0,1
134,0.0,2
135,1.0,2
136,0.0,0
137,0.0,0
138,0.0,2
139,2.0,2
140,2.0,2
141,2.0,0
142,2.0,2
143,1.0,0
144,0.0,2
145,2.0,2
146,0.0,0
147,2.0,2
148,1.0,2
149,0.0,2
150,2.0,2
151,1.0,1
152,2.0,2
153,0.0,2
154,0.0,0
155,1.0,1
156,0.0,2
157,2.0,0
158,2.0,2
159,0.0,1
160,0.0,0
161,0.0,0
162,2.0,2
163,1.0,1
164,2.0,2
165,2.0,2
166,1.0,1
167,1.0,2
168,0.0,0
169,2.0,2
170,1.0,0
171,0.0,2
172,0.0,0
173,0.0,1
174,2.0,2
175,2.0,2
176,0.0,0
177,0.0,0
178,0.0,0
179,2.0,2
180,2.0,0
181,2.0,2
182,0.0,0
183,0.0,0
184,2.0,0
185,0.0,0
186,0.0,2
187,2.0,2
188,1.0,1
189,1.0,1
190,0.0,0
191,0.0,2
192,1.0,1
193,0.0,0
194,0.0,2
195,2.0,2
196,1.0,2
197,2.0,2
198,0.0,2
199,0.0,2
200,2.0,2
201,1.0,0
202,1.0,1
203,0.0,0
204,0.0,0
205,0.0,0
