,predictions,target
0,1.0,0
1,1.0,1
2,1.0,0
3,0.0,0
4,0.0,0
5,1.0,1
6,0.0,0
7,1.0,1
8,1.0,1
9,0.0,0
10,1.0,1
11,1.0,1
12,1.0,1
13,0.0,1
14,1.0,1
15,0.0,0
16,0.0,0
17,1.0,1
18,0.0,0
19,1.0,1
20,1.0,0
21,1.0,1
22,1.0,1
23,0.0,0
24,0.0,0
25,1.0,1
26,0.0,0
27,1.0,0
28,0.0,0
29,1.0,1
30,1.0,1
31,1.0,1
32,0.0,0
33,1.0,1
34,1.0,1
35,0.0,0
36,1.0,1
37,1.0,1
38,1.0,1
39,1.0,1
40,1.0,1
41,1.0,0
42,1.0,0
43,1.0,1
44,1.0,1
45,0.0,0
46,0.0,0
47,0.0,0
48,1.0,0
49,0.0,0
50,0.0,0
51,1.0,0
52,1.0,1
53,0.0,0
54,0.0,0
55,0.0,1
56,1.0,1
57,1.0,0
58,1.0,0
59,1.0,1
60,1.0,1
61,1.0,0
62,0.0,0
63,0.0,1
64,1.0,1
65,1.0,1
66,0.0,1
67,0.0,0
68,1.0,1
69,0.0,0
70,1.0,1
71,1.0,0
72,1.0,1
73,0.0,1
74,0.0,0
75,1.0,0
76,1.0,1
77,0.0,1
78,1.0,1
79,1.0,1
80,1.0,1
81,1.0,1
82,0.0,0
83,1.0,1
84,1.0,0
85,0.0,0
86,1.0,1
87,1.0,0
88,1.0,1
89,0.0,0
90,0.0,0
91,0.0,0
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,0.0,1
97,1.0,1
98,0.0,0
99,0.0,0
100,1.0,1
101,1.0,1
102,1.0,1
103,1.0,1
104,1.0,1
105,0.0,0
106,1.0,0
107,1.0,1
108,1.0,1
109,1.0,0
110,1.0,1
111,1.0,0
112,1.0,1
113,0.0,0
114,0.0,0
115,0.0,0
116,1.0,1
117,0.0,0
118,1.0,1
119,1.0,1
120,1.0,0
121,1.0,0
122,0.0,0
123,0.0,0
124,1.0,1
125,0.0,0
126,0.0,0
127,0.0,0
128,0.0,0
129,0.0,1
130,0.0,0
131,0.0,0
132,1.0,1
133,0.0,0
134,1.0,1
135,0.0,0
136,1.0,1
137,1.0,0
138,0.0,0
139,0.0,0
140,1.0,1
141,1.0,0
142,1.0,1
143,1.0,1
144,1.0,1
145,1.0,1
146,1.0,0
147,1.0,1
148,1.0,0
149,0.0,0
150,0.0,0
151,0.0,0
152,1.0,1
153,1.0,1
154,0.0,0
155,1.0,1
156,1.0,1
157,0.0,0
158,1.0,1
159,1.0,1
160,0.0,0
161,1.0,0
162,0.0,0
163,1.0,1
164,0.0,0
165,1.0,1
166,1.0,1
167,1.0,1
168,1.0,1
169,1.0,1
170,1.0,1
171,0.0,0
172,0.0,0
173,1.0,1
174,1.0,1
175,1.0,1
176,1.0,0
177,1.0,1
178,0.0,0
179,1.0,1
