,predictions,target
0,1.0,1
1,1.0,1
2,1.0,0
3,1.0,1
4,0.0,1
5,1.0,1
6,0.0,0
7,1.0,1
8,1.0,1
9,1.0,1
10,1.0,1
11,0.0,0
12,0.0,1
13,1.0,1
14,1.0,1
15,1.0,1
16,1.0,1
17,1.0,1
18,0.0,0
19,1.0,1
20,0.0,0
21,1.0,1
22,1.0,1
23,0.0,0
24,1.0,1
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,0
30,1.0,1
31,1.0,1
32,1.0,0
33,1.0,1
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,1.0,0
40,1.0,1
41,0.0,0
42,1.0,1
43,0.0,0
44,1.0,1
45,0.0,0
46,0.0,0
47,0.0,0
48,1.0,0
49,0.0,0
50,0.0,0
51,1.0,1
52,0.0,1
53,1.0,1
54,0.0,0
55,1.0,1
56,1.0,1
57,1.0,0
58,1.0,1
59,1.0,1
60,0.0,0
61,0.0,0
62,1.0,0
63,1.0,0
64,0.0,0
65,0.0,0
66,0.0,0
67,1.0,1
68,1.0,1
69,0.0,0
70,1.0,1
71,0.0,0
72,1.0,1
73,0.0,1
74,0.0,1
75,1.0,1
76,1.0,1
77,0.0,0
78,1.0,1
79,0.0,0
80,1.0,1
81,0.0,0
82,1.0,1
83,0.0,1
84,1.0,1
85,0.0,0
86,0.0,0
87,1.0,1
88,0.0,0
89,0.0,0
90,1.0,0
91,0.0,0
92,0.0,0
93,1.0,1
94,0.0,0
95,0.0,1
96,0.0,0
97,1.0,1
98,0.0,0
99,0.0,0
100,0.0,0
101,1.0,1
102,0.0,0
103,0.0,1
104,1.0,1
105,1.0,1
106,1.0,1
107,1.0,0
108,1.0,1
109,1.0,0
110,1.0,1
111,0.0,0
112,1.0,1
113,1.0,1
114,0.0,0
115,0.0,0
116,0.0,0
117,0.0,0
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,0
122,1.0,1
123,0.0,0
124,0.0,0
125,1.0,1
126,1.0,1
127,1.0,1
128,0.0,0
129,1.0,1
130,0.0,0
131,1.0,1
132,0.0,0
133,0.0,0
134,0.0,0
135,1.0,1
136,0.0,0
137,1.0,1
138,1.0,1
139,0.0,0
140,1.0,1
141,0.0,0
142,1.0,1
143,1.0,1
144,0.0,0
145,0.0,1
146,0.0,0
147,1.0,1
148,0.0,0
149,1.0,0
150,1.0,1
151,0.0,0
152,0.0,0
153,0.0,0
154,0.0,0
155,1.0,1
156,0.0,0
157,1.0,1
158,0.0,0
159,0.0,0
160,0.0,0
161,0.0,0
162,0.0,1
163,1.0,1
164,1.0,1
165,1.0,1
166,0.0,0
167,0.0,0
168,0.0,0
169,0.0,0
170,0.0,0
171,1.0,0
172,0.0,0
173,1.0,1
174,0.0,0
175,0.0,0
176,0.0,0
177,1.0,1
178,1.0,1
179,1.0,1
180,1.0,1
181,0.0,1
182,1.0,1
183,1.0,1
184,0.0,0
185,0.0,0
186,1.0,1
187,1.0,1
188,1.0,1
