,predictions,target
0,0.0,0
1,1.0,1
2,2.0,0
3,2.0,0
4,0.0,0
5,1.0,1
6,0.0,0
7,0.0,0
8,0.0,0
9,2.0,2
10,0.0,0
11,1.0,1
12,0.0,2
13,2.0,2
14,1.0,1
15,1.0,1
16,0.0,0
17,2.0,2
18,0.0,0
19,2.0,2
20,2.0,2
21,2.0,2
22,1.0,1
23,0.0,0
24,2.0,0
25,0.0,0
26,2.0,2
27,2.0,2
28,1.0,1
29,0.0,0
30,2.0,2
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,1
35,2.0,2
36,0.0,0
37,2.0,2
38,2.0,2
39,2.0,2
40,1.0,0
41,2.0,2
42,2.0,2
43,1.0,1
44,1.0,1
45,2.0,2
46,2.0,2
47,2.0,2
48,1.0,1
49,2.0,2
50,2.0,0
51,2.0,2
52,0.0,0
53,2.0,2
54,2.0,2
55,1.0,1
56,0.0,2
57,2.0,2
58,0.0,0
59,0.0,0
60,0.0,0
61,0.0,0
62,2.0,2
63,1.0,1
64,1.0,1
65,0.0,0
66,2.0,2
67,0.0,0
68,2.0,2
69,0.0,2
70,1.0,1
71,0.0,0
72,0.0,1
73,1.0,1
74,2.0,2
75,2.0,0
76,1.0,1
77,0.0,0
78,1.0,1
79,1.0,1
80,0.0,0
81,0.0,0
82,2.0,2
83,0.0,0
84,0.0,0
85,2.0,0
86,2.0,0
87,2.0,2
88,0.0,1
89,2.0,2
90,1.0,1
91,0.0,2
92,2.0,2
93,0.0,0
94,1.0,1
95,0.0,0
96,0.0,0
97,1.0,1
98,0.0,0
99,0.0,0
100,0.0,0
101,2.0,0
102,0.0,0
103,0.0,0
104,0.0,0
105,2.0,2
106,0.0,0
107,1.0,1
108,1.0,0
109,1.0,0
110,1.0,1
111,0.0,0
112,1.0,1
113,1.0,1
114,0.0,0
115,1.0,1
116,1.0,0
117,1.0,1
118,2.0,2
119,1.0,1
120,1.0,1
121,1.0,1
122,0.0,0
123,0.0,0
124,2.0,2
125,0.0,0
126,2.0,2
127,0.0,0
128,1.0,0
129,0.0,0
130,1.0,1
131,1.0,1
132,1.0,1
133,2.0,0
134,0.0,1
135,2.0,2
136,2.0,2
137,0.0,0
138,0.0,0
139,1.0,1
140,0.0,0
141,2.0,2
142,0.0,0
143,2.0,2
144,1.0,1
145,0.0,0
146,2.0,2
147,0.0,0
148,1.0,1
149,0.0,0
150,2.0,2
151,0.0,0
152,2.0,2
153,2.0,2
154,0.0,2
155,2.0,2
156,2.0,2
157,1.0,1
158,2.0,2
159,0.0,0
160,2.0,2
161,1.0,1
162,1.0,1
163,2.0,2
164,2.0,2
165,0.0,0
166,1.0,1
167,1.0,1
168,1.0,0
169,2.0,2
170,0.0,0
171,0.0,1
172,2.0,2
173,0.0,2
174,0.0,0
175,1.0,1
176,2.0,0
177,2.0,2
178,0.0,0
179,0.0,0
180,2.0,1
181,2.0,2
182,2.0,2
183,2.0,2
184,1.0,1
185,1.0,1
186,0.0,0
187,0.0,0
188,2.0,2
189,2.0,2
190,2.0,0
191,0.0,0
192,0.0,0
193,2.0,2
194,1.0,1
195,1.0,1
196,1.0,1
197,1.0,1
198,1.0,1
199,2.0,2
200,2.0,2
201,1.0,1
202,1.0,1
203,0.0,0
204,1.0,1
205,2.0,2
206,0.0,0
207,1.0,1
208,0.0,0
209,0.0,0
210,2.0,2
211,2.0,2
212,1.0,1
213,0.0,0
214,1.0,1
215,1.0,1
216,2.0,2
217,2.0,2
218,0.0,0
219,2.0,2
220,2.0,0
221,1.0,1
222,2.0,1
223,1.0,0
224,2.0,2
225,1.0,1
226,0.0,0
227,0.0,0
228,0.0,1
229,2.0,2
230,0.0,2
231,0.0,0
232,1.0,1
233,0.0,2
234,0.0,0
235,2.0,2
236,0.0,2
237,1.0,1
238,0.0,0
239,0.0,0
240,0.0,0
241,1.0,1
242,2.0,2
243,0.0,2
244,1.0,1
245,2.0,2
246,1.0,1
247,2.0,2
248,1.0,1
249,2.0,2
250,0.0,0
251,0.0,0
252,2.0,2
253,0.0,0
254,0.0,0
255,0.0,0
256,2.0,2
257,0.0,0
258,2.0,2
259,1.0,1
260,2.0,2
261,0.0,2
262,0.0,0
263,2.0,2
264,1.0,1
265,1.0,1
266,2.0,2
267,1.0,1
268,1.0,1
269,0.0,0
270,2.0,2
271,2.0,2
272,1.0,1
273,0.0,0
274,0.0,0
275,2.0,2
276,2.0,2
277,2.0,0
278,1.0,1
279,2.0,2
280,2.0,2
281,2.0,2
282,1.0,1
283,2.0,0
284,1.0,1
285,2.0,2
286,0.0,0
287,0.0,0
288,0.0,0
289,2.0,2
290,1.0,1
291,1.0,1
292,0.0,1
293,1.0,1
294,0.0,0
295,1.0,1
296,1.0,1
297,1.0,1
298,2.0,2
299,2.0,2
300,2.0,0
301,1.0,1
302,1.0,1
303,1.0,1
304,1.0,1
305,2.0,2
306,2.0,2
307,0.0,0
308,2.0,2
309,0.0,1
310,0.0,0
311,1.0,1
312,0.0,0
313,1.0,1
314,2.0,2
315,1.0,1
316,1.0,1
317,2.0,2
318,0.0,0
319,0.0,0
320,0.0,0
321,2.0,2
322,0.0,0
323,2.0,2
324,0.0,0
325,0.0,0
326,0.0,2
327,2.0,2
328,1.0,0
329,0.0,1
330,2.0,2
331,2.0,2
332,1.0,0
333,0.0,0
334,2.0,2
335,0.0,0
336,1.0,1
337,1.0,1
338,0.0,0
339,1.0,1
340,1.0,1
341,1.0,1
342,1.0,1
343,1.0,1
344,2.0,2
345,2.0,2
346,2.0,2
347,2.0,2
348,0.0,1
349,2.0,2
350,1.0,1
351,0.0,2
352,1.0,1
353,1.0,1
354,2.0,2
355,2.0,2
356,1.0,1
357,1.0,1
358,2.0,2
359,0.0,0
360,1.0,1
361,0.0,0
362,1.0,0
363,1.0,1
364,0.0,0
365,1.0,1
366,1.0,1
367,0.0,0
368,2.0,2
369,1.0,1
370,2.0,1
371,0.0,2
372,0.0,0
373,2.0,2
374,0.0,0
375,2.0,2
376,0.0,0
377,0.0,2
378,0.0,0
379,1.0,1
380,2.0,2
381,0.0,0
382,0.0,1
383,0.0,0
384,2.0,2
385,2.0,2
386,2.0,0
387,2.0,0
388,2.0,0
389,2.0,2
390,0.0,2
391,0.0,0
392,0.0,0
393,1.0,1
394,0.0,0
395,0.0,0
396,2.0,2
397,1.0,1
398,2.0,2
399,2.0,2
400,1.0,0
401,0.0,0
402,0.0,0
403,1.0,1
404,0.0,0
405,1.0,1
406,0.0,0
407,0.0,0
408,2.0,2
409,0.0,0
410,0.0,2
411,2.0,2
412,0.0,2
413,1.0,1
414,0.0,0
415,2.0,2
416,1.0,1
417,1.0,1
418,2.0,2
419,1.0,0
420,1.0,1
421,1.0,1
422,2.0,2
423,1.0,1
424,2.0,2
425,0.0,2
426,0.0,0
427,0.0,2
428,1.0,0
429,0.0,0
430,2.0,0
431,1.0,1
432,1.0,1
433,0.0,0
434,1.0,1
435,0.0,2
436,1.0,0
437,2.0,2
438,2.0,2
439,0.0,0
440,1.0,1
441,1.0,1
442,1.0,0
443,1.0,1
444,0.0,0
445,2.0,2
446,1.0,1
447,2.0,2
448,0.0,0
449,0.0,2
450,2.0,2
451,1.0,0
452,1.0,1
453,1.0,1
454,0.0,0
455,2.0,2
456,0.0,0
457,0.0,2
458,2.0,2
459,0.0,0
460,1.0,1
461,0.0,1
462,0.0,0
463,0.0,0
464,2.0,0
465,1.0,0
466,1.0,0
467,2.0,2
468,0.0,0
469,0.0,0
470,1.0,1
471,0.0,0
472,2.0,2
473,2.0,2
474,0.0,0
475,0.0,0
476,0.0,2
477,0.0,2
478,1.0,1
479,1.0,0
480,1.0,1
481,1.0,1
482,2.0,2
483,0.0,0
484,0.0,0
485,1.0,0
486,1.0,1
487,1.0,1
488,1.0,1
489,1.0,1
490,2.0,0
491,0.0,0
492,1.0,1
493,1.0,1
494,0.0,0
495,0.0,0
496,2.0,2
497,0.0,0
498,1.0,1
499,2.0,2
500,0.0,2
501,1.0,1
502,2.0,2
503,0.0,2
504,1.0,1
505,1.0,1
506,0.0,0
507,2.0,0
508,1.0,1
509,0.0,0
510,1.0,1
511,0.0,0
512,1.0,1
513,0.0,0
514,1.0,1
515,2.0,2
516,0.0,0
517,0.0,0
518,2.0,2
519,0.0,1
520,0.0,0
521,2.0,2
