,predictions,target
0,0.0,0
1,0.0,0
2,1.0,0
3,1.0,1
4,0.0,0
5,1.0,1
6,1.0,1
7,0.0,0
8,0.0,0
9,1.0,0
10,0.0,0
11,0.0,0
12,0.0,0
13,0.0,0
14,0.0,1
15,0.0,0
16,0.0,0
17,0.0,0
18,1.0,1
19,1.0,1
20,0.0,0
21,0.0,0
22,1.0,1
23,0.0,0
24,0.0,0
25,0.0,0
26,0.0,0
27,1.0,1
28,0.0,1
29,1.0,1
30,0.0,0
31,0.0,0
32,0.0,0
33,0.0,1
34,1.0,1
35,1.0,1
36,1.0,1
37,0.0,0
38,0.0,1
39,0.0,0
40,0.0,0
41,0.0,1
42,0.0,0
43,0.0,0
44,0.0,1
45,0.0,0
46,0.0,0
47,0.0,1
48,0.0,0
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,1
53,0.0,0
54,1.0,1
55,1.0,1
56,1.0,1
57,1.0,1
58,0.0,0
59,0.0,1
60,0.0,0
61,1.0,1
62,0.0,1
63,0.0,1
64,0.0,0
65,1.0,1
66,1.0,1
67,0.0,0
68,0.0,0
69,0.0,0
70,0.0,0
71,1.0,1
72,1.0,1
73,0.0,1
74,0.0,1
75,0.0,0
76,0.0,0
77,1.0,1
78,0.0,0
79,1.0,1
80,0.0,0
81,0.0,0
82,0.0,1
83,0.0,0
84,0.0,0
85,0.0,1
86,0.0,0
87,0.0,1
88,0.0,0
89,0.0,1
90,0.0,1
91,0.0,0
92,0.0,1
93,0.0,0
94,0.0,0
95,0.0,1
96,1.0,1
97,1.0,1
98,0.0,1
99,0.0,0
100,0.0,1
101,1.0,1
102,0.0,1
103,0.0,0
104,0.0,1
105,0.0,0
106,1.0,1
107,1.0,0
108,1.0,1
109,0.0,1
110,1.0,1
111,1.0,1
112,0.0,0
113,0.0,0
114,0.0,0
115,1.0,1
116,0.0,0
117,0.0,0
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,1
122,1.0,1
123,0.0,0
124,0.0,0
125,1.0,1
126,0.0,0
127,0.0,1
128,0.0,0
129,0.0,0
130,0.0,1
131,0.0,0
132,0.0,1
133,0.0,0
134,1.0,1
135,0.0,1
136,1.0,1
137,1.0,1
138,0.0,0
139,0.0,0
140,0.0,0
141,1.0,1
142,0.0,0
143,0.0,0
144,1.0,1
145,1.0,0
146,0.0,0
147,1.0,1
148,0.0,0
149,1.0,0
150,0.0,0
151,1.0,1
152,0.0,0
153,1.0,1
154,0.0,0
155,1.0,1
156,0.0,0
157,1.0,1
158,0.0,1
159,0.0,0
160,1.0,1
161,1.0,1
162,0.0,0
163,0.0,0
164,0.0,0
165,1.0,1
166,0.0,0
167,0.0,0
168,1.0,1
169,1.0,1
170,1.0,1
171,1.0,0
172,1.0,1
173,0.0,0
174,1.0,1
175,0.0,1
176,1.0,1
177,0.0,0
178,1.0,1
179,1.0,1
180,1.0,1
181,0.0,0
182,0.0,0
183,0.0,0
184,0.0,0
185,1.0,1
186,1.0,1
187,1.0,1
188,0.0,0
189,0.0,0
190,0.0,1
191,1.0,1
192,0.0,0
193,0.0,1
194,0.0,0
195,0.0,0
196,0.0,0
197,0.0,0
198,0.0,0
199,0.0,0
200,0.0,0
201,1.0,1
202,1.0,1
203,1.0,1
204,0.0,1
205,1.0,1
206,1.0,1
207,1.0,1
208,1.0,1
209,1.0,1
210,0.0,1
211,0.0,0
212,0.0,0
213,0.0,0
214,1.0,1
215,1.0,1
216,1.0,1
217,1.0,1
218,1.0,1
219,0.0,0
220,0.0,0
221,0.0,0
222,0.0,0
223,1.0,1
224,1.0,1
225,1.0,1
226,0.0,0
227,1.0,1
228,1.0,1
229,1.0,1
230,0.0,0
231,1.0,1
232,0.0,0
233,0.0,0
234,1.0,1
