,predictions,target
0,0.0,1
1,1.0,1
2,2.0,2
3,2.0,2
4,0.0,0
5,1.0,0
6,2.0,2
7,2.0,2
8,0.0,0
9,1.0,1
10,2.0,0
11,1.0,1
12,1.0,1
13,1.0,1
14,2.0,2
15,1.0,2
16,1.0,0
17,2.0,0
18,1.0,1
19,0.0,0
20,0.0,0
21,2.0,2
22,0.0,0
23,1.0,1
24,0.0,2
25,0.0,2
26,0.0,0
27,1.0,1
28,2.0,2
29,0.0,0
30,1.0,1
31,0.0,0
32,1.0,1
33,2.0,2
34,0.0,0
35,0.0,0
36,0.0,0
37,2.0,2
38,2.0,2
39,1.0,1
40,0.0,0
41,1.0,0
42,2.0,0
43,0.0,0
44,0.0,0
45,2.0,2
46,1.0,1
47,2.0,2
48,1.0,0
49,1.0,1
50,1.0,1
51,0.0,0
52,0.0,0
53,2.0,2
54,2.0,2
55,2.0,2
56,1.0,1
57,1.0,1
58,0.0,0
59,0.0,0
60,0.0,0
61,0.0,0
62,2.0,2
63,2.0,2
64,0.0,0
65,2.0,2
66,0.0,0
67,0.0,2
68,0.0,1
69,0.0,0
70,1.0,1
71,0.0,0
72,0.0,0
73,1.0,1
74,2.0,2
75,0.0,2
76,1.0,1
77,2.0,2
78,0.0,1
79,0.0,0
80,2.0,2
81,1.0,1
82,0.0,0
83,1.0,1
84,1.0,1
85,0.0,0
86,2.0,0
87,0.0,0
88,2.0,2
89,2.0,2
90,2.0,2
91,2.0,2
92,2.0,0
93,1.0,1
94,0.0,0
95,2.0,2
96,0.0,1
97,1.0,1
98,2.0,2
99,2.0,0
100,2.0,0
101,1.0,1
102,0.0,0
103,0.0,2
104,0.0,0
105,2.0,2
106,1.0,1
107,0.0,0
108,0.0,0
109,0.0,0
110,1.0,1
111,2.0,0
112,1.0,1
113,0.0,0
114,2.0,2
115,0.0,2
116,1.0,1
117,1.0,1
118,0.0,2
119,0.0,2
120,1.0,1
121,2.0,2
122,0.0,0
123,0.0,0
124,0.0,0
125,1.0,1
126,0.0,0
127,0.0,0
128,0.0,0
129,1.0,1
130,2.0,2
131,1.0,1
132,2.0,2
133,1.0,1
134,0.0,0
135,0.0,0
136,0.0,0
137,0.0,2
138,1.0,1
139,0.0,2
140,0.0,0
141,1.0,1
142,2.0,2
143,2.0,2
144,0.0,0
145,0.0,0
146,0.0,0
147,0.0,0
