,predictions,target
0,1.0,1
1,1.0,0
2,1.0,1
3,0.0,0
4,0.0,1
5,1.0,1
6,0.0,0
7,1.0,1
8,1.0,1
9,1.0,1
10,1.0,1
11,0.0,0
12,0.0,1
13,1.0,1
14,1.0,1
15,1.0,1
16,1.0,1
17,1.0,1
18,0.0,0
19,1.0,1
20,0.0,0
21,1.0,1
22,1.0,1
23,1.0,1
24,0.0,0
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,1.0,1
31,1.0,1
32,1.0,0
33,1.0,1
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,1.0,0
40,1.0,1
41,0.0,0
42,0.0,0
43,1.0,1
44,0.0,0
45,1.0,1
46,0.0,0
47,0.0,0
48,0.0,0
49,1.0,0
50,0.0,0
51,0.0,0
52,1.0,1
53,0.0,1
54,1.0,1
55,0.0,0
56,1.0,1
57,1.0,1
58,1.0,0
59,1.0,1
60,0.0,0
61,1.0,1
62,0.0,0
63,1.0,0
64,1.0,0
65,0.0,0
66,0.0,0
67,0.0,0
68,1.0,1
69,1.0,1
70,0.0,0
71,1.0,1
72,0.0,0
73,1.0,1
74,0.0,1
75,0.0,1
76,1.0,1
77,1.0,1
78,0.0,0
79,1.0,1
80,0.0,0
81,0.0,0
82,1.0,1
83,0.0,0
84,1.0,1
85,0.0,1
86,1.0,1
87,0.0,0
88,1.0,1
89,0.0,0
90,0.0,0
91,1.0,0
92,0.0,0
93,0.0,0
94,1.0,1
95,0.0,0
96,0.0,1
97,0.0,0
98,1.0,1
99,0.0,0
100,0.0,0
101,0.0,0
102,0.0,0
103,1.0,1
104,0.0,0
105,0.0,1
106,1.0,1
107,1.0,1
108,1.0,1
109,1.0,0
110,1.0,1
111,1.0,0
112,1.0,1
113,0.0,0
114,1.0,1
115,1.0,1
116,0.0,0
117,0.0,0
118,0.0,0
119,0.0,0
120,1.0,1
121,1.0,1
122,1.0,1
123,1.0,0
124,1.0,1
125,0.0,0
126,0.0,0
127,0.0,1
128,1.0,1
129,1.0,1
130,0.0,0
131,1.0,1
132,0.0,0
133,1.0,1
134,0.0,0
135,0.0,0
136,0.0,0
137,1.0,1
138,0.0,0
139,0.0,1
140,1.0,1
141,1.0,1
142,0.0,0
143,1.0,1
144,1.0,0
145,1.0,1
146,0.0,0
147,0.0,1
148,0.0,0
149,1.0,1
150,0.0,0
151,1.0,0
152,1.0,1
153,0.0,0
154,0.0,0
155,0.0,0
156,0.0,0
157,1.0,1
158,1.0,1
159,0.0,0
160,1.0,1
161,0.0,0
162,0.0,0
163,0.0,0
164,0.0,0
165,0.0,1
166,1.0,1
167,1.0,1
168,1.0,1
169,0.0,0
170,0.0,0
171,0.0,0
172,0.0,0
173,0.0,0
174,1.0,0
175,1.0,1
176,0.0,0
177,1.0,0
178,0.0,0
179,0.0,0
180,1.0,1
181,1.0,1
182,1.0,1
183,1.0,1
184,0.0,1
185,1.0,1
186,1.0,1
187,0.0,0
188,0.0,0
189,1.0,1
190,1.0,1
191,1.0,1
192,0.0,0
193,1.0,0
194,1.0,1
195,1.0,1
196,0.0,1
197,0.0,0
198,0.0,0
199,0.0,0
200,0.0,0
201,1.0,1
202,0.0,0
203,0.0,0
204,1.0,1
205,1.0,1
206,1.0,1
207,0.0,1
208,1.0,1
209,1.0,1
210,1.0,1
211,0.0,0
212,1.0,1
213,1.0,0
214,0.0,0
215,0.0,0
216,0.0,0
217,1.0,1
218,0.0,0
219,1.0,1
220,1.0,1
221,1.0,1
222,1.0,1
223,0.0,0
224,0.0,0
225,1.0,1
226,1.0,1
227,0.0,0
228,1.0,1
229,0.0,0
230,0.0,0
231,0.0,0
232,0.0,0
233,0.0,0
234,0.0,1
235,1.0,1
236,0.0,0
237,1.0,1
238,0.0,0
239,0.0,0
240,0.0,0
241,0.0,0
242,0.0,0
243,0.0,0
244,1.0,1
245,0.0,1
246,0.0,0
247,1.0,1
248,1.0,1
249,0.0,0
250,0.0,0
251,1.0,1
252,0.0,1
253,0.0,0
254,0.0,0
255,0.0,0
256,1.0,1
257,0.0,1
258,1.0,1
259,1.0,1
260,1.0,1
261,0.0,0
262,0.0,0
263,0.0,0
264,0.0,0
265,0.0,0
266,1.0,1
267,0.0,0
268,1.0,1
269,1.0,1
270,0.0,0
271,1.0,0
272,0.0,0
273,1.0,1
274,0.0,0
275,1.0,0
276,1.0,0
277,1.0,1
278,0.0,0
279,0.0,1
280,0.0,0
281,1.0,1
282,0.0,1
283,0.0,0
284,1.0,1
285,0.0,0
286,0.0,0
287,0.0,0
288,1.0,1
289,1.0,1
290,0.0,0
291,0.0,0
292,1.0,1
293,0.0,1
294,0.0,0
295,0.0,0
296,0.0,1
297,0.0,0
298,1.0,1
299,1.0,1
300,1.0,1
301,0.0,0
302,1.0,1
303,1.0,1
304,0.0,0
305,1.0,1
306,0.0,0
307,1.0,1
308,0.0,0
309,1.0,0
310,1.0,0
311,0.0,0
312,0.0,1
313,0.0,0
314,0.0,0
315,1.0,1
316,0.0,0
317,0.0,0
318,0.0,0
319,1.0,1
320,1.0,1
321,0.0,0
322,1.0,1
323,1.0,1
324,1.0,1
325,1.0,0
326,0.0,0
327,0.0,0
328,0.0,0
329,0.0,0
330,0.0,1
331,1.0,1
332,1.0,1
333,0.0,0
334,0.0,0
335,1.0,1
336,0.0,0
337,1.0,1
338,1.0,1
339,0.0,0
340,0.0,0
341,0.0,1
342,1.0,1
343,0.0,0
344,1.0,1
345,0.0,0
346,0.0,0
347,1.0,1
348,1.0,1
349,0.0,0
350,1.0,1
351,0.0,1
352,1.0,0
353,1.0,1
354,0.0,0
355,1.0,0
356,1.0,1
357,1.0,1
358,1.0,1
359,1.0,0
360,0.0,0
361,1.0,1
362,0.0,0
363,0.0,1
364,0.0,0
365,0.0,0
366,1.0,1
367,0.0,0
368,1.0,1
369,0.0,0
370,1.0,1
371,0.0,0
372,0.0,0
373,0.0,1
374,0.0,1
375,0.0,0
376,1.0,1
377,0.0,0
378,1.0,1
379,1.0,1
380,1.0,1
381,1.0,1
382,0.0,0
383,1.0,1
384,0.0,0
385,1.0,0
386,1.0,1
387,1.0,1
388,1.0,0
389,0.0,0
390,0.0,0
391,1.0,1
392,0.0,0
393,0.0,1
394,1.0,1
395,0.0,0
396,1.0,1
397,1.0,0
398,0.0,0
399,1.0,1
400,1.0,1
401,0.0,0
402,0.0,0
403,1.0,1
404,0.0,0
405,0.0,0
406,1.0,1
407,1.0,0
408,0.0,0
409,0.0,0
410,1.0,1
411,1.0,1
412,1.0,1
413,0.0,0
414,1.0,0
415,1.0,1
416,0.0,1
417,0.0,0
418,0.0,0
419,1.0,1
420,1.0,1
421,0.0,0
422,0.0,0
423,1.0,1
424,0.0,0
425,1.0,1
426,0.0,0
427,1.0,1
428,1.0,0
429,0.0,0
430,1.0,1
431,1.0,1
432,1.0,1
433,0.0,0
434,0.0,0
435,1.0,1
436,1.0,1
437,0.0,1
438,0.0,0
439,1.0,1
440,0.0,0
441,1.0,1
442,0.0,0
443,1.0,1
444,1.0,1
445,1.0,1
446,1.0,0
447,0.0,0
448,0.0,0
449,0.0,0
450,1.0,0
451,0.0,0
452,0.0,0
453,1.0,1
454,0.0,0
455,1.0,1
456,1.0,1
457,0.0,0
458,0.0,1
459,1.0,1
460,0.0,0
461,0.0,0
462,0.0,0
463,0.0,1
464,1.0,1
465,0.0,0
466,1.0,1
467,0.0,0
468,1.0,1
469,0.0,0
470,1.0,1
471,0.0,0
472,0.0,1
473,1.0,1
474,0.0,0
475,0.0,0
476,1.0,1
477,0.0,0
478,1.0,0
479,1.0,1
480,0.0,1
481,1.0,1
482,1.0,1
483,1.0,0
484,1.0,0
485,1.0,1
486,0.0,0
487,0.0,0
488,0.0,0
489,0.0,1
490,0.0,0
491,1.0,1
492,0.0,0
493,0.0,0
494,0.0,0
495,0.0,1
496,0.0,0
497,0.0,0
498,1.0,1
499,1.0,1
500,0.0,0
501,0.0,0
502,1.0,1
503,1.0,1
504,1.0,1
505,0.0,1
506,0.0,0
507,0.0,0
508,1.0,1
509,1.0,1
510,1.0,1
511,0.0,1
512,0.0,1
513,1.0,1
514,1.0,0
515,1.0,1
516,0.0,0
517,1.0,0
518,1.0,1
519,1.0,0
520,0.0,1
521,1.0,1
522,1.0,0
523,0.0,0
524,1.0,1
525,1.0,0
526,1.0,1
527,1.0,0
528,0.0,0
529,1.0,1
530,1.0,1
531,1.0,1
532,0.0,0
533,1.0,1
534,0.0,1
535,0.0,0
536,0.0,0
537,0.0,0
538,1.0,1
539,1.0,0
540,1.0,1
541,0.0,0
542,1.0,1
543,0.0,0
544,1.0,1
545,1.0,1
546,1.0,1
547,0.0,0
548,0.0,0
549,0.0,0
550,0.0,1
551,1.0,1
552,1.0,1
553,1.0,1
554,0.0,0
555,0.0,1
556,1.0,1
557,1.0,1
558,1.0,1
559,1.0,1
560,1.0,1
561,0.0,0
562,0.0,0
563,1.0,1
564,1.0,1
565,0.0,0
566,0.0,0
567,1.0,0
568,1.0,1
569,0.0,0
570,0.0,0
571,1.0,1
572,1.0,1
573,0.0,0
574,0.0,0
575,1.0,0
576,1.0,1
577,0.0,0
578,0.0,0
579,1.0,1
580,0.0,0
581,0.0,0
582,1.0,1
583,1.0,0
584,0.0,1
585,1.0,1
586,1.0,1
587,0.0,0
588,0.0,0
589,1.0,0
590,0.0,0
591,1.0,1
592,0.0,1
593,0.0,1
594,1.0,0
595,1.0,0
596,0.0,0
597,0.0,0
598,1.0,0
599,1.0,1
600,1.0,1
601,0.0,0
602,1.0,1
603,0.0,1
604,1.0,0
605,1.0,1
606,0.0,0
607,0.0,0
608,1.0,0
609,1.0,1
610,1.0,1
611,1.0,1
612,1.0,1
613,1.0,1
614,1.0,1
615,0.0,0
616,1.0,0
617,1.0,0
618,0.0,0
619,1.0,0
620,1.0,1
621,1.0,0
622,1.0,1
623,0.0,0
624,0.0,0
625,0.0,0
626,1.0,1
627,0.0,0
628,1.0,1
629,1.0,0
630,1.0,1
631,0.0,1
632,1.0,1
633,1.0,1
634,1.0,1
635,1.0,1
636,1.0,0
637,0.0,0
638,0.0,0
639,0.0,0
640,0.0,0
641,0.0,0
642,0.0,0
643,0.0,0
644,1.0,0
645,0.0,0
646,1.0,1
647,0.0,0
648,1.0,1
649,1.0,1
650,0.0,0
651,0.0,0
652,1.0,1
653,0.0,1
654,0.0,1
655,0.0,0
656,1.0,0
657,1.0,0
658,1.0,0
659,1.0,1
660,1.0,1
661,1.0,1
662,1.0,1
663,0.0,0
664,1.0,1
665,1.0,0
666,0.0,1
667,0.0,0
668,1.0,0
669,1.0,1
670,1.0,1
671,1.0,1
672,1.0,1
673,1.0,1
674,1.0,0
675,1.0,1
676,0.0,0
677,1.0,1
678,0.0,0
679,0.0,0
680,0.0,1
681,0.0,0
682,1.0,0
683,1.0,0
684,0.0,0
685,0.0,0
686,1.0,1
687,1.0,1
688,0.0,0
689,0.0,0
690,1.0,1
691,0.0,0
692,0.0,1
693,0.0,0
694,0.0,0
695,0.0,0
696,0.0,0
697,1.0,1
698,1.0,1
699,0.0,0
700,0.0,0
701,1.0,1
702,0.0,1
703,1.0,0
704,0.0,1
705,0.0,0
706,0.0,1
707,0.0,0
708,0.0,1
709,0.0,0
710,0.0,0
711,1.0,1
712,0.0,0
713,1.0,1
714,1.0,1
715,1.0,0
716,1.0,1
717,0.0,0
718,1.0,1
719,0.0,0
720,0.0,0
721,1.0,1
722,1.0,1
723,1.0,1
724,0.0,1
725,0.0,0
726,0.0,0
727,1.0,1
728,0.0,1
729,0.0,1
730,0.0,0
731,1.0,1
732,1.0,1
733,1.0,1
734,1.0,1
735,0.0,0
736,1.0,1
737,0.0,0
738,0.0,0
739,1.0,0
740,0.0,1
741,0.0,0
742,1.0,1
743,0.0,1
744,1.0,1
745,0.0,0
746,0.0,0
747,0.0,0
748,0.0,1
749,1.0,1
750,0.0,0
751,0.0,0
752,0.0,0
753,0.0,0
754,1.0,1
755,0.0,0
756,0.0,0
757,0.0,0
758,1.0,1
759,1.0,1
760,0.0,0
761,1.0,1
762,0.0,1
763,0.0,0
764,0.0,0
765,0.0,0
766,1.0,1
767,0.0,0
768,1.0,1
769,0.0,0
770,1.0,1
771,1.0,1
772,1.0,1
773,0.0,1
774,1.0,1
775,0.0,1
776,0.0,0
777,0.0,0
778,0.0,0
779,1.0,1
780,0.0,0
781,1.0,0
782,1.0,1
783,1.0,1
784,0.0,0
785,0.0,0
786,1.0,1
787,0.0,0
788,0.0,0
789,0.0,0
790,0.0,0
791,1.0,1
792,1.0,1
793,1.0,1
794,0.0,0
795,1.0,1
796,0.0,0
797,1.0,1
798,1.0,1
799,0.0,0
800,1.0,1
801,0.0,0
802,0.0,0
803,0.0,0
804,0.0,0
805,1.0,0
806,0.0,0
807,0.0,0
808,1.0,1
809,1.0,1
810,0.0,0
811,0.0,0
812,1.0,1
813,1.0,1
814,0.0,0
815,1.0,1
816,1.0,1
817,1.0,0
818,0.0,0
819,1.0,1
820,0.0,0
821,0.0,0
822,0.0,0
823,0.0,1
824,1.0,1
825,0.0,0
826,1.0,1
827,1.0,1
828,0.0,0
829,0.0,0
830,0.0,1
831,0.0,0
832,0.0,0
833,1.0,1
834,1.0,1
835,0.0,0
836,0.0,1
837,0.0,0
838,1.0,1
839,1.0,1
840,1.0,1
841,1.0,1
842,1.0,1
843,0.0,0
844,0.0,0
845,0.0,0
846,1.0,1
847,0.0,0
