,predictions,target
0,0.0,0
1,0.0,0
2,0.0,1
3,0.0,0
4,0.0,0
5,0.0,1
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,1
11,0.0,0
12,0.0,1
13,0.0,1
14,0.0,1
15,0.0,0
16,0.0,0
17,0.0,0
18,0.0,1
19,1.0,1
20,0.0,0
21,0.0,1
22,0.0,1
23,0.0,0
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,1
28,0.0,0
29,0.0,1
30,0.0,1
31,0.0,0
32,0.0,0
33,1.0,1
34,1.0,1
35,1.0,1
36,1.0,1
37,0.0,0
38,0.0,1
39,0.0,0
40,0.0,0
41,1.0,1
42,0.0,0
43,0.0,0
44,0.0,1
45,0.0,0
46,0.0,0
47,0.0,1
48,0.0,0
49,0.0,1
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,1
56,1.0,0
57,1.0,1
58,0.0,1
59,0.0,0
60,0.0,0
61,0.0,1
62,0.0,0
63,0.0,0
64,0.0,0
65,0.0,1
66,0.0,1
67,0.0,1
68,0.0,1
69,0.0,0
70,0.0,0
71,0.0,0
72,1.0,0
73,1.0,1
74,0.0,0
75,0.0,0
76,0.0,0
77,0.0,0
78,1.0,1
79,0.0,1
80,1.0,1
81,0.0,0
82,0.0,0
83,0.0,1
84,0.0,0
85,0.0,1
86,1.0,1
87,0.0,0
88,0.0,1
89,0.0,0
90,1.0,1
91,0.0,0
92,0.0,0
93,0.0,1
94,0.0,0
95,0.0,0
96,0.0,0
97,1.0,1
98,1.0,0
99,1.0,1
100,0.0,0
101,1.0,1
102,1.0,1
103,1.0,1
104,0.0,0
105,0.0,0
106,0.0,0
107,1.0,1
108,1.0,1
109,1.0,1
110,1.0,1
111,0.0,1
112,1.0,1
113,1.0,0
114,0.0,0
115,0.0,0
116,0.0,0
117,1.0,1
118,0.0,0
119,1.0,1
120,1.0,1
121,1.0,1
122,1.0,0
123,1.0,0
124,0.0,0
125,0.0,0
126,1.0,1
127,1.0,1
128,0.0,0
129,1.0,1
130,0.0,0
131,0.0,1
132,1.0,1
133,0.0,0
134,1.0,1
135,0.0,0
136,1.0,1
137,1.0,1
138,1.0,1
139,1.0,1
140,0.0,0
141,0.0,0
142,0.0,0
143,1.0,1
144,0.0,0
145,0.0,0
146,1.0,1
147,1.0,1
148,0.0,0
149,1.0,1
150,0.0,0
151,1.0,1
152,0.0,0
153,1.0,1
154,0.0,0
155,1.0,1
156,0.0,0
157,1.0,1
158,0.0,0
159,1.0,1
160,0.0,0
161,0.0,0
162,1.0,0
163,1.0,1
164,0.0,0
165,0.0,0
166,0.0,0
167,0.0,0
168,1.0,1
169,0.0,0
170,0.0,1
171,1.0,1
172,1.0,1
173,1.0,1
174,1.0,1
175,1.0,1
176,1.0,1
177,0.0,0
178,1.0,1
179,0.0,0
180,1.0,1
181,1.0,1
182,1.0,1
183,0.0,0
184,0.0,0
185,0.0,0
186,0.0,0
187,0.0,0
188,1.0,1
189,1.0,1
190,1.0,1
191,0.0,0
192,0.0,0
193,0.0,0
194,1.0,1
195,0.0,0
196,0.0,0
197,0.0,0
198,0.0,0
199,0.0,0
200,0.0,0
201,0.0,1
202,0.0,0
203,0.0,0
204,1.0,1
205,1.0,1
206,1.0,1
207,0.0,1
208,1.0,1
209,1.0,1
210,1.0,1
211,1.0,1
212,1.0,0
213,0.0,0
214,0.0,0
215,0.0,0
216,0.0,0
217,1.0,0
218,1.0,1
219,0.0,1
220,1.0,1
221,1.0,1
222,0.0,0
223,0.0,0
224,0.0,0
225,0.0,0
226,0.0,0
227,1.0,1
228,1.0,1
229,1.0,1
230,0.0,1
231,1.0,1
232,1.0,0
233,1.0,1
234,1.0,1
