,predictions,target
0,1.0,1
1,1.0,1
2,0.0,0
3,0.0,0
4,0.0,1
5,0.0,0
6,0.0,0
7,0.0,0
8,1.0,0
9,0.0,1
10,1.0,1
11,1.0,0
12,0.0,0
13,1.0,1
14,0.0,1
15,0.0,0
16,1.0,1
17,0.0,0
18,0.0,0
19,0.0,0
20,0.0,0
21,1.0,0
22,0.0,0
23,0.0,1
24,0.0,0
25,1.0,1
26,1.0,1
27,0.0,1
28,0.0,0
29,1.0,1
30,0.0,0
31,0.0,0
32,0.0,0
33,1.0,1
34,1.0,1
35,1.0,1
36,1.0,1
37,0.0,0
38,0.0,0
39,1.0,1
40,0.0,0
41,1.0,1
42,0.0,0
43,0.0,0
44,0.0,0
45,1.0,1
46,0.0,1
47,1.0,1
48,0.0,0
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,1
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,0
58,1.0,1
59,0.0,1
60,0.0,1
61,0.0,0
62,0.0,0
63,1.0,1
64,1.0,1
65,1.0,1
66,1.0,1
67,0.0,0
68,1.0,1
69,1.0,0
70,0.0,0
71,1.0,0
72,1.0,0
73,0.0,0
74,0.0,0
75,1.0,1
76,1.0,1
77,1.0,1
78,1.0,1
79,1.0,1
80,0.0,0
81,1.0,1
82,0.0,0
83,1.0,1
84,0.0,1
85,0.0,0
86,0.0,1
87,0.0,0
88,0.0,0
89,0.0,1
90,0.0,0
91,1.0,1
92,1.0,0
93,0.0,0
94,1.0,1
95,1.0,1
96,0.0,0
97,1.0,1
98,0.0,0
99,1.0,0
100,1.0,1
101,0.0,0
102,0.0,0
103,1.0,0
104,1.0,1
105,1.0,1
106,1.0,1
107,0.0,1
108,0.0,0
109,1.0,1
110,1.0,1
111,1.0,1
112,0.0,0
113,1.0,1
114,0.0,0
115,1.0,1
116,1.0,1
117,1.0,1
118,0.0,0
119,0.0,0
120,0.0,0
121,0.0,1
122,0.0,0
123,1.0,1
124,1.0,1
125,0.0,0
126,0.0,0
127,0.0,0
128,1.0,1
129,1.0,1
130,1.0,1
131,1.0,1
132,0.0,0
133,0.0,0
134,0.0,0
135,1.0,1
136,1.0,1
137,0.0,0
138,0.0,0
139,0.0,0
140,0.0,0
141,1.0,1
142,0.0,1
143,1.0,1
144,1.0,0
145,0.0,0
146,0.0,0
147,1.0,0
148,0.0,0
149,1.0,1
150,1.0,1
151,1.0,1
152,0.0,1
153,1.0,1
154,0.0,1
155,1.0,1
156,0.0,0
157,1.0,1
158,0.0,0
159,1.0,1
160,0.0,1
161,1.0,1
162,1.0,1
163,0.0,0
164,0.0,0
165,1.0,1
166,1.0,1
167,1.0,1
168,1.0,1
169,1.0,1
170,1.0,1
171,0.0,0
172,1.0,1
173,0.0,0
174,0.0,0
175,0.0,0
176,0.0,0
177,1.0,1
178,0.0,1
179,0.0,0
180,1.0,1
181,0.0,0
182,1.0,1
183,1.0,0
184,0.0,0
185,1.0,1
186,1.0,1
187,1.0,1
188,0.0,0
