,predictions,target
0,0.0,0
1,0.0,0
2,1.0,1
3,1.0,1
4,0.0,0
5,1.0,0
6,0.0,0
7,1.0,0
8,1.0,1
9,1.0,0
10,1.0,1
11,1.0,0
12,1.0,1
13,0.0,0
14,1.0,1
15,0.0,0
16,1.0,1
17,0.0,0
18,0.0,0
19,0.0,0
20,0.0,0
21,0.0,0
22,0.0,0
23,1.0,1
24,1.0,0
25,1.0,0
26,1.0,0
27,0.0,0
28,1.0,1
29,1.0,1
30,0.0,1
31,0.0,1
32,1.0,1
33,0.0,0
34,1.0,1
35,0.0,0
36,0.0,0
37,1.0,1
38,0.0,0
39,1.0,1
40,0.0,0
41,0.0,0
42,1.0,1
43,0.0,0
44,1.0,1
45,1.0,0
46,1.0,1
47,1.0,1
48,1.0,1
49,0.0,0
50,1.0,0
51,1.0,0
52,1.0,1
53,0.0,0
54,0.0,0
55,1.0,1
56,1.0,1
57,0.0,0
58,0.0,0
59,0.0,0
60,0.0,1
61,0.0,0
62,0.0,1
63,0.0,0
64,1.0,1
65,0.0,0
66,0.0,0
67,0.0,0
68,0.0,1
69,0.0,0
70,0.0,0
71,0.0,0
72,1.0,0
73,0.0,1
74,0.0,1
75,0.0,0
76,0.0,0
77,0.0,0
78,1.0,1
79,1.0,1
80,1.0,0
81,0.0,0
82,0.0,0
83,0.0,0
84,1.0,1
85,1.0,0
86,1.0,1
87,1.0,1
88,1.0,1
89,1.0,0
90,1.0,0
91,1.0,1
92,1.0,0
93,1.0,1
94,0.0,0
95,1.0,1
96,1.0,0
97,1.0,0
98,1.0,1
99,1.0,0
100,1.0,1
101,0.0,1
102,0.0,1
103,0.0,0
104,0.0,0
105,1.0,0
106,0.0,0
107,0.0,1
108,0.0,0
109,1.0,0
110,0.0,1
111,0.0,0
112,0.0,1
113,0.0,0
114,0.0,1
115,0.0,0
116,1.0,1
117,0.0,0
118,0.0,0
119,1.0,1
120,1.0,0
121,0.0,1
122,1.0,1
123,1.0,1
124,1.0,0
125,0.0,0
126,1.0,1
127,0.0,0
128,0.0,0
129,0.0,1
130,1.0,1
131,0.0,1
132,0.0,0
133,1.0,1
134,1.0,1
135,0.0,0
136,0.0,0
137,0.0,1
138,1.0,1
139,0.0,0
140,0.0,0
141,1.0,1
142,1.0,1
143,0.0,0
144,0.0,0
145,0.0,0
146,0.0,0
147,0.0,0
148,0.0,0
149,0.0,0
150,1.0,1
151,1.0,1
152,0.0,0
153,1.0,1
154,0.0,0
155,0.0,0
156,1.0,1
157,1.0,1
158,0.0,1
159,1.0,1
160,0.0,0
161,0.0,1
162,0.0,0
163,1.0,1
164,0.0,0
165,1.0,0
166,0.0,1
167,0.0,0
168,1.0,1
169,0.0,0
170,0.0,0
171,0.0,0
172,1.0,0
173,0.0,0
174,0.0,0
175,0.0,0
176,0.0,0
177,0.0,0
178,0.0,0
179,1.0,1
180,0.0,0
181,1.0,0
182,1.0,1
183,1.0,1
184,1.0,1
185,0.0,0
186,0.0,0
187,0.0,0
188,1.0,1
189,0.0,0
190,0.0,0
191,0.0,0
192,1.0,1
193,0.0,0
194,0.0,0
195,1.0,0
196,1.0,0
197,0.0,0
198,1.0,1
199,1.0,1
200,1.0,1
201,1.0,1
202,0.0,1
203,0.0,0
204,1.0,1
205,0.0,0
206,0.0,1
207,0.0,0
208,1.0,1
209,1.0,1
210,0.0,0
211,0.0,1
212,1.0,1
213,1.0,1
214,1.0,0
215,1.0,1
216,1.0,1
217,1.0,1
218,1.0,1
219,0.0,0
220,0.0,0
221,0.0,0
222,1.0,1
223,0.0,0
224,1.0,1
225,1.0,1
226,0.0,0
227,1.0,1
228,0.0,0
229,0.0,0
230,1.0,1
231,1.0,1
232,1.0,0
233,1.0,0
234,0.0,1
