,predictions,target
0,1.0,0
1,2.0,0
2,2.0,0
3,1.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,2.0,2
8,0.0,0
9,2.0,0
10,2.0,2
11,2.0,2
12,1.0,1
13,0.0,0
14,0.0,0
15,2.0,2
16,0.0,0
17,0.0,0
18,1.0,0
19,1.0,1
20,1.0,1
21,2.0,1
22,0.0,0
23,2.0,2
24,0.0,0
25,1.0,1
26,1.0,1
27,0.0,1
28,0.0,0
29,1.0,0
30,2.0,2
31,0.0,0
32,1.0,1
33,1.0,0
34,0.0,0
35,1.0,1
36,0.0,2
37,1.0,1
38,0.0,0
39,2.0,2
40,2.0,2
41,2.0,2
42,1.0,1
43,2.0,2
44,2.0,2
45,2.0,2
46,1.0,1
47,1.0,1
48,1.0,1
49,2.0,2
50,0.0,2
51,1.0,1
52,2.0,2
53,1.0,0
54,0.0,0
55,0.0,0
56,1.0,1
57,0.0,0
58,0.0,0
59,2.0,2
60,2.0,2
61,2.0,0
62,2.0,0
63,0.0,0
64,2.0,2
65,1.0,2
66,2.0,0
67,0.0,0
68,0.0,2
69,0.0,1
70,2.0,0
71,2.0,2
72,0.0,0
73,2.0,2
74,2.0,0
75,1.0,1
76,1.0,1
77,0.0,2
78,0.0,0
79,0.0,0
80,0.0,0
81,2.0,2
82,0.0,0
83,2.0,2
84,1.0,1
85,0.0,0
86,0.0,0
87,0.0,0
88,2.0,2
89,0.0,0
90,2.0,2
91,0.0,0
92,2.0,2
93,0.0,0
94,1.0,1
95,1.0,1
96,2.0,2
97,0.0,0
98,1.0,1
99,0.0,0
100,1.0,1
101,2.0,2
102,0.0,0
103,0.0,1
104,2.0,0
105,1.0,1
106,1.0,1
107,0.0,0
108,2.0,2
109,0.0,2
110,0.0,0
111,1.0,1
112,0.0,0
113,1.0,1
114,2.0,2
115,1.0,1
116,0.0,0
117,0.0,0
118,1.0,1
119,0.0,0
120,2.0,2
121,2.0,2
122,1.0,1
123,0.0,0
124,0.0,1
125,2.0,2
126,0.0,2
127,0.0,0
128,0.0,2
129,0.0,0
130,2.0,2
131,0.0,2
132,1.0,1
133,0.0,0
134,0.0,0
135,1.0,1
136,0.0,0
137,1.0,1
138,2.0,2
139,2.0,2
140,0.0,0
141,1.0,1
142,1.0,1
143,1.0,0
144,0.0,0
145,1.0,1
146,2.0,2
147,2.0,2
148,1.0,0
149,0.0,0
150,1.0,1
151,2.0,2
152,1.0,1
153,0.0,2
154,0.0,0
155,2.0,0
156,2.0,2
157,2.0,2
158,1.0,1
159,1.0,1
160,2.0,2
