,predictions,target
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,0.0,1
5,0.0,0
6,1.0,1
7,1.0,1
8,1.0,1
9,1.0,1
10,0.0,0
11,1.0,1
12,0.0,0
13,1.0,1
14,1.0,1
15,0.0,0
16,1.0,1
17,1.0,1
18,0.0,0
19,0.0,1
20,0.0,0
21,0.0,0
22,0.0,0
23,1.0,1
24,1.0,1
25,0.0,1
26,0.0,1
27,0.0,0
28,0.0,0
29,0.0,0
30,1.0,1
31,0.0,0
32,0.0,0
33,1.0,1
34,0.0,0
35,0.0,0
36,1.0,1
37,0.0,0
38,1.0,1
39,1.0,1
40,0.0,0
41,1.0,1
42,0.0,1
43,1.0,1
44,0.0,0
45,0.0,0
46,0.0,1
47,1.0,1
48,1.0,1
49,1.0,1
50,0.0,0
51,1.0,1
52,1.0,1
53,1.0,1
54,0.0,0
55,0.0,1
56,0.0,0
57,1.0,1
58,1.0,0
59,1.0,1
60,0.0,1
61,1.0,1
62,1.0,1
63,0.0,0
64,0.0,0
65,0.0,0
66,1.0,1
67,0.0,0
68,0.0,0
69,1.0,1
70,1.0,1
71,1.0,1
72,1.0,1
73,0.0,0
74,0.0,0
75,1.0,1
76,1.0,1
77,0.0,0
78,1.0,1
79,0.0,0
80,0.0,0
81,1.0,1
82,0.0,0
83,1.0,1
84,0.0,0
85,1.0,1
86,1.0,1
87,1.0,1
88,0.0,0
89,0.0,0
90,0.0,0
91,1.0,1
92,0.0,0
93,0.0,0
94,1.0,1
95,1.0,1
96,1.0,0
97,0.0,0
98,1.0,1
99,1.0,0
100,0.0,0
101,1.0,1
102,0.0,0
103,1.0,1
104,0.0,0
105,0.0,1
106,0.0,0
107,1.0,1
108,0.0,1
109,0.0,0
110,1.0,1
111,1.0,1
112,0.0,0
113,0.0,0
114,0.0,0
115,1.0,1
116,0.0,0
117,0.0,0
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,0
122,1.0,1
123,0.0,0
124,1.0,1
125,0.0,1
126,1.0,1
127,1.0,1
128,1.0,1
129,1.0,1
130,0.0,0
131,0.0,1
132,0.0,0
133,0.0,0
134,0.0,0
135,1.0,1
136,1.0,1
137,1.0,1
138,0.0,0
139,0.0,0
140,0.0,1
141,0.0,0
142,0.0,1
143,0.0,0
144,0.0,0
145,0.0,0
146,0.0,0
147,0.0,0
148,0.0,0
149,0.0,0
150,1.0,1
151,1.0,1
152,1.0,1
153,1.0,1
154,0.0,1
155,1.0,1
156,0.0,1
157,1.0,1
158,0.0,1
159,0.0,1
160,0.0,0
161,0.0,0
162,0.0,0
163,1.0,1
164,1.0,1
165,0.0,1
166,1.0,1
167,1.0,1
168,0.0,0
169,0.0,0
170,0.0,0
171,0.0,0
172,1.0,1
173,1.0,1
174,1.0,1
175,0.0,0
176,1.0,1
177,1.0,1
178,1.0,1
179,0.0,0
180,1.0,1
181,0.0,0
182,0.0,0
183,0.0,0
184,0.0,0
185,1.0,1
186,1.0,1
187,1.0,1
188,1.0,1
189,1.0,1
190,1.0,0
191,0.0,0
192,0.0,0
193,1.0,1
194,1.0,1
195,1.0,1
196,0.0,0
197,0.0,0
198,0.0,0
199,1.0,1
200,0.0,0
201,1.0,1
202,1.0,1
203,0.0,0
204,1.0,1
205,0.0,0
206,1.0,1
207,0.0,0
208,0.0,0
209,0.0,0
210,1.0,1
211,1.0,1
212,0.0,0
213,0.0,0
214,0.0,0
215,0.0,1
216,1.0,1
217,1.0,1
218,0.0,0
219,0.0,1
220,0.0,1
221,0.0,0
222,1.0,1
223,1.0,1
224,1.0,1
225,0.0,0
226,1.0,1
227,1.0,1
228,0.0,0
229,0.0,0
230,0.0,0
231,0.0,0
232,1.0,1
233,1.0,1
234,0.0,0
