,predictions,target
0,0.0,0
1,1.0,0
2,0.0,0
3,0.0,0
4,1.0,0
5,1.0,1
6,0.0,0
7,0.0,0
8,0.0,1
9,1.0,1
10,0.0,0
11,0.0,0
12,1.0,0
13,1.0,1
14,1.0,0
15,0.0,0
16,0.0,1
17,1.0,1
18,1.0,1
19,0.0,1
20,0.0,0
21,0.0,1
22,0.0,0
23,1.0,1
24,1.0,0
25,1.0,1
26,0.0,1
27,0.0,0
28,1.0,1
29,0.0,1
30,0.0,1
31,0.0,1
32,1.0,1
33,1.0,1
34,1.0,1
35,0.0,0
36,1.0,1
37,1.0,0
38,0.0,0
39,1.0,1
40,1.0,0
41,0.0,1
42,0.0,0
43,0.0,0
44,1.0,1
45,1.0,1
46,1.0,1
47,0.0,0
48,1.0,1
49,0.0,1
50,1.0,1
51,0.0,0
52,1.0,0
53,1.0,1
54,1.0,1
55,1.0,1
56,1.0,1
57,0.0,0
58,1.0,0
59,1.0,1
60,1.0,1
61,0.0,0
62,1.0,1
63,1.0,0
64,1.0,1
65,0.0,0
66,1.0,1
67,0.0,0
68,0.0,0
69,1.0,1
70,1.0,1
71,0.0,1
72,1.0,0
73,1.0,0
74,0.0,0
75,0.0,0
76,1.0,1
77,0.0,0
78,0.0,0
79,0.0,0
80,0.0,0
81,0.0,1
82,0.0,0
83,0.0,0
84,1.0,1
85,0.0,0
86,1.0,1
87,0.0,0
88,1.0,1
89,1.0,0
90,0.0,0
91,0.0,0
92,1.0,1
93,0.0,0
94,1.0,1
95,0.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,0.0,0
100,1.0,0
101,0.0,0
102,0.0,0
103,0.0,0
104,1.0,1
105,1.0,1
106,0.0,0
107,1.0,1
108,1.0,1
109,0.0,0
110,1.0,1
111,1.0,1
112,0.0,0
113,0.0,0
114,1.0,1
115,0.0,0
116,0.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,1
122,1.0,1
123,0.0,0
124,0.0,0
125,1.0,1
126,1.0,1
127,1.0,0
128,0.0,1
129,0.0,0
130,1.0,1
131,1.0,0
132,1.0,1
133,0.0,0
134,0.0,0
135,0.0,0
136,1.0,0
137,1.0,1
138,1.0,1
139,1.0,1
140,0.0,0
141,1.0,1
142,1.0,1
143,0.0,0
144,1.0,1
145,1.0,1
146,1.0,1
147,0.0,0
148,1.0,0
149,1.0,1
150,0.0,0
151,0.0,0
152,0.0,1
153,1.0,0
154,1.0,0
155,1.0,1
156,0.0,0
157,0.0,0
158,1.0,1
159,1.0,0
160,1.0,0
161,1.0,1
162,1.0,1
163,1.0,1
164,0.0,1
165,1.0,0
166,0.0,0
167,0.0,0
168,1.0,0
169,0.0,0
170,1.0,1
171,0.0,1
172,1.0,1
173,1.0,1
174,0.0,0
175,0.0,0
176,1.0,0
177,1.0,1
178,1.0,0
179,1.0,1
180,0.0,1
181,0.0,0
182,1.0,1
183,1.0,1
184,1.0,1
185,1.0,0
186,1.0,1
187,1.0,1
188,0.0,1
189,0.0,0
190,1.0,0
191,1.0,1
192,0.0,0
193,0.0,0
194,0.0,0
195,0.0,0
196,1.0,0
197,0.0,0
198,1.0,1
199,0.0,0
200,0.0,0
201,0.0,0
202,0.0,0
203,0.0,0
204,1.0,0
205,1.0,1
206,0.0,0
207,1.0,1
208,1.0,0
209,1.0,1
210,0.0,1
211,1.0,1
212,0.0,0
213,1.0,1
214,0.0,0
215,1.0,1
216,0.0,1
217,1.0,0
218,0.0,1
219,1.0,1
220,1.0,1
221,1.0,1
222,0.0,1
223,0.0,0
224,1.0,1
225,1.0,0
226,1.0,1
227,1.0,1
228,1.0,0
229,1.0,1
230,0.0,1
231,1.0,1
232,0.0,0
233,0.0,0
234,1.0,1
235,0.0,0
236,0.0,1
237,0.0,0
238,0.0,0
239,0.0,0
240,0.0,0
241,1.0,1
242,1.0,1
243,0.0,0
244,0.0,0
245,0.0,0
246,1.0,1
247,0.0,0
248,1.0,0
249,0.0,0
250,1.0,1
251,1.0,1
252,0.0,0
253,0.0,0
254,0.0,1
255,1.0,1
256,1.0,0
257,0.0,0
258,0.0,0
259,0.0,0
260,1.0,0
261,1.0,0
262,1.0,1
263,0.0,0
264,0.0,0
265,1.0,0
266,1.0,0
267,1.0,1
268,0.0,0
269,1.0,1
270,1.0,1
271,1.0,1
272,1.0,1
273,1.0,1
274,0.0,0
275,1.0,1
276,0.0,0
277,1.0,1
278,0.0,0
279,1.0,1
280,0.0,0
281,0.0,0
282,1.0,1
283,0.0,0
284,1.0,1
285,1.0,0
286,1.0,1
287,1.0,1
288,0.0,1
289,0.0,0
290,0.0,0
291,0.0,0
292,0.0,0
293,0.0,0
294,1.0,1
295,0.0,0
296,1.0,1
297,1.0,1
298,1.0,0
299,1.0,1
300,1.0,0
301,1.0,1
302,1.0,0
303,0.0,0
304,1.0,1
305,1.0,1
306,0.0,0
307,1.0,1
308,1.0,1
309,0.0,1
310,1.0,1
311,0.0,0
312,1.0,1
313,0.0,0
314,0.0,0
315,1.0,1
316,1.0,1
317,1.0,1
318,1.0,1
319,0.0,0
320,1.0,1
321,1.0,1
322,1.0,1
323,1.0,1
324,1.0,1
325,1.0,1
326,0.0,0
327,0.0,0
328,0.0,0
329,0.0,0
330,1.0,0
331,0.0,1
332,1.0,1
333,0.0,0
334,0.0,0
335,1.0,1
336,0.0,0
337,1.0,1
338,1.0,1
339,0.0,0
340,0.0,0
341,1.0,1
342,1.0,1
343,0.0,0
344,0.0,0
345,1.0,1
346,1.0,1
347,1.0,1
348,0.0,0
349,1.0,1
350,0.0,1
351,0.0,1
352,1.0,1
353,1.0,0
354,0.0,1
355,0.0,0
356,0.0,0
357,1.0,1
358,1.0,1
359,0.0,0
360,0.0,0
361,1.0,0
362,0.0,0
363,0.0,0
364,1.0,1
365,0.0,0
366,1.0,0
367,1.0,1
368,1.0,1
369,0.0,1
370,0.0,0
371,0.0,0
372,0.0,0
373,1.0,1
374,1.0,0
375,1.0,1
376,1.0,1
377,1.0,1
378,0.0,0
379,0.0,0
380,1.0,1
381,1.0,1
382,1.0,0
383,1.0,0
384,0.0,0
385,1.0,1
386,1.0,1
387,1.0,1
388,1.0,0
389,1.0,1
390,1.0,1
391,1.0,1
392,0.0,0
393,1.0,1
394,1.0,1
395,0.0,1
396,0.0,0
397,0.0,0
398,0.0,0
399,1.0,1
400,0.0,0
401,0.0,0
402,0.0,0
403,1.0,1
404,1.0,1
405,1.0,1
406,1.0,1
407,0.0,0
408,1.0,0
409,0.0,0
410,1.0,0
411,1.0,1
412,1.0,1
413,1.0,1
414,1.0,0
415,1.0,1
416,0.0,0
417,1.0,0
418,1.0,1
419,1.0,1
420,0.0,0
421,1.0,1
422,1.0,1
423,1.0,0
424,1.0,1
425,1.0,1
426,1.0,1
427,0.0,0
428,1.0,0
429,1.0,1
430,1.0,1
431,0.0,0
432,1.0,1
433,1.0,1
434,1.0,1
435,1.0,1
436,0.0,0
437,0.0,0
438,1.0,1
439,1.0,0
440,0.0,0
441,0.0,0
442,0.0,1
443,1.0,1
444,0.0,0
445,1.0,1
446,1.0,1
447,0.0,0
448,0.0,1
449,0.0,0
450,0.0,0
451,0.0,0
452,0.0,0
453,1.0,1
454,1.0,1
455,1.0,1
456,0.0,0
457,1.0,0
458,1.0,1
459,1.0,1
460,0.0,0
461,0.0,0
462,1.0,1
463,1.0,1
464,0.0,0
465,1.0,1
466,0.0,0
467,1.0,1
468,0.0,0
469,1.0,1
470,0.0,0
471,0.0,1
472,0.0,0
473,1.0,0
474,0.0,0
475,0.0,0
476,0.0,0
477,0.0,0
478,0.0,0
479,0.0,0
480,0.0,0
481,1.0,1
482,1.0,1
483,0.0,0
484,0.0,0
485,0.0,0
486,1.0,1
487,1.0,1
488,1.0,0
489,0.0,0
490,0.0,1
491,1.0,1
492,1.0,1
493,1.0,1
494,0.0,0
495,0.0,0
496,1.0,0
497,1.0,1
498,1.0,1
499,0.0,0
500,1.0,0
501,0.0,0
502,0.0,0
503,1.0,1
504,1.0,0
505,0.0,0
506,1.0,1
507,0.0,0
508,1.0,1
509,0.0,0
510,1.0,1
511,1.0,0
512,1.0,1
513,1.0,1
514,1.0,1
515,1.0,1
516,1.0,1
517,1.0,1
518,1.0,1
519,1.0,1
520,0.0,1
521,0.0,0
522,1.0,0
523,0.0,0
524,0.0,1
525,0.0,0
526,0.0,0
527,1.0,1
528,1.0,1
529,1.0,0
530,0.0,0
531,1.0,0
532,1.0,1
533,1.0,1
534,0.0,0
535,0.0,0
536,1.0,0
537,1.0,1
538,1.0,1
539,0.0,0
540,1.0,1
541,1.0,1
542,1.0,1
543,0.0,0
544,1.0,1
545,0.0,1
546,0.0,1
547,0.0,0
548,1.0,0
549,1.0,1
550,0.0,0
551,1.0,1
552,1.0,1
553,1.0,1
554,0.0,1
555,1.0,1
556,1.0,1
557,1.0,1
558,0.0,0
559,1.0,1
560,0.0,0
561,1.0,0
562,0.0,0
563,1.0,0
564,0.0,0
565,0.0,0
566,0.0,0
567,1.0,1
568,0.0,0
569,1.0,1
570,1.0,1
571,1.0,1
572,1.0,0
573,0.0,0
574,0.0,0
575,0.0,0
576,1.0,1
577,0.0,0
578,1.0,0
579,1.0,1
580,1.0,1
581,1.0,1
582,0.0,0
583,0.0,0
584,1.0,0
585,1.0,1
586,1.0,0
587,0.0,0
588,1.0,1
589,1.0,1
590,1.0,1
591,0.0,0
592,0.0,0
593,0.0,1
594,0.0,0
595,1.0,1
596,1.0,1
597,1.0,1
598,1.0,1
599,1.0,1
600,0.0,1
601,1.0,1
602,1.0,1
603,0.0,0
604,1.0,0
605,1.0,1
606,1.0,0
607,0.0,1
608,1.0,1
609,1.0,1
610,0.0,0
611,0.0,0
612,1.0,1
613,0.0,0
614,0.0,0
615,0.0,0
616,1.0,1
617,0.0,0
618,0.0,0
619,0.0,0
620,1.0,0
621,1.0,1
622,1.0,1
623,1.0,0
624,1.0,1
625,1.0,1
626,1.0,1
627,1.0,0
628,1.0,1
629,0.0,0
630,1.0,1
631,1.0,0
632,0.0,0
633,0.0,0
634,1.0,1
635,0.0,0
636,1.0,1
637,0.0,0
638,0.0,0
639,1.0,1
640,1.0,1
641,0.0,0
642,1.0,1
643,1.0,1
644,1.0,1
645,1.0,1
646,1.0,1
647,0.0,0
648,0.0,0
649,1.0,1
650,1.0,1
651,1.0,1
652,1.0,1
653,1.0,1
654,1.0,1
655,1.0,0
656,1.0,1
657,1.0,0
658,0.0,0
659,1.0,0
660,1.0,1
661,1.0,1
662,1.0,0
663,1.0,1
664,1.0,1
665,1.0,1
666,0.0,0
667,0.0,1
668,0.0,0
669,1.0,0
670,1.0,1
671,1.0,1
672,0.0,1
673,1.0,1
674,0.0,0
675,0.0,0
676,0.0,1
677,0.0,0
678,0.0,1
679,1.0,1
680,0.0,0
681,0.0,0
682,1.0,1
683,1.0,0
684,1.0,1
