,predictions,target
0,0.0,0
1,1.0,1
2,1.0,0
3,1.0,1
4,0.0,0
5,1.0,1
6,1.0,1
7,0.0,0
8,0.0,0
9,0.0,0
10,1.0,1
11,1.0,1
12,1.0,1
13,1.0,1
14,0.0,1
15,1.0,1
16,1.0,0
17,0.0,0
18,0.0,0
19,0.0,0
20,1.0,1
21,0.0,0
22,1.0,1
23,1.0,1
24,1.0,1
25,1.0,0
26,1.0,0
27,0.0,0
28,0.0,0
29,1.0,1
30,1.0,1
31,0.0,0
32,1.0,1
33,0.0,0
34,0.0,1
35,0.0,0
36,1.0,1
37,0.0,0
38,1.0,1
39,1.0,1
40,1.0,1
41,1.0,1
42,0.0,0
43,0.0,0
44,0.0,0
45,1.0,1
46,0.0,0
47,0.0,0
48,1.0,1
49,1.0,1
50,0.0,0
51,1.0,1
52,0.0,0
53,1.0,1
54,0.0,0
55,1.0,1
56,0.0,0
57,1.0,1
58,0.0,0
59,1.0,1
60,0.0,0
61,1.0,1
62,0.0,0
63,1.0,0
64,1.0,1
65,0.0,0
66,0.0,0
67,0.0,0
68,0.0,0
69,1.0,1
70,0.0,0
71,0.0,1
72,1.0,1
73,1.0,1
74,1.0,1
75,1.0,1
76,1.0,1
77,1.0,1
78,0.0,0
79,1.0,1
80,0.0,0
81,1.0,1
82,1.0,1
83,1.0,1
84,0.0,0
85,0.0,0
86,0.0,0
87,0.0,0
88,0.0,0
89,1.0,1
90,1.0,1
91,0.0,0
92,0.0,0
93,0.0,0
94,1.0,1
95,0.0,0
96,0.0,0
97,0.0,0
98,0.0,0
99,0.0,0
100,0.0,0
101,0.0,1
102,0.0,0
103,0.0,0
104,1.0,1
105,1.0,1
106,1.0,1
107,0.0,1
108,1.0,1
109,1.0,1
110,1.0,1
111,1.0,1
112,1.0,0
113,0.0,0
114,0.0,0
115,0.0,0
116,0.0,0
117,1.0,0
118,1.0,1
119,1.0,1
120,1.0,1
121,0.0,0
122,0.0,0
123,0.0,0
124,0.0,0
125,0.0,0
126,1.0,1
127,1.0,1
128,1.0,1
129,0.0,1
130,1.0,1
131,1.0,0
132,1.0,1
133,1.0,1
134,0.0,1
135,0.0,0
136,1.0,1
137,0.0,0
138,0.0,1
139,1.0,1
140,1.0,1
141,1.0,1
142,1.0,1
143,1.0,1
144,1.0,1
145,0.0,0
146,0.0,0
147,1.0,1
148,1.0,0
149,0.0,0
150,1.0,1
151,0.0,0
152,0.0,0
153,1.0,1
154,0.0,0
155,1.0,0
156,1.0,1
157,0.0,1
158,1.0,1
159,0.0,0
160,1.0,1
161,0.0,0
162,0.0,0
163,1.0,1
164,0.0,0
165,1.0,1
166,0.0,0
167,0.0,0
168,0.0,0
169,0.0,1
170,1.0,0
171,1.0,0
172,0.0,0
173,0.0,0
174,0.0,0
175,1.0,1
176,1.0,1
177,1.0,1
178,1.0,1
179,0.0,0
180,1.0,1
181,0.0,0
182,0.0,0
183,0.0,1
184,0.0,0
185,0.0,0
186,1.0,1
187,0.0,1
188,0.0,0
189,1.0,1
190,1.0,1
191,0.0,0
192,1.0,1
193,1.0,1
194,1.0,1
195,1.0,1
196,1.0,1
197,1.0,1
198,1.0,1
199,0.0,0
200,0.0,0
201,0.0,0
202,0.0,0
203,1.0,1
204,1.0,1
205,0.0,1
206,0.0,0
207,1.0,1
208,1.0,1
209,0.0,1
210,1.0,1
211,1.0,1
212,0.0,0
213,0.0,0
214,0.0,0
215,0.0,0
216,0.0,0
217,0.0,1
218,0.0,0
219,1.0,0
220,0.0,0
221,0.0,0
222,0.0,0
223,1.0,1
224,1.0,1
225,1.0,1
226,1.0,1
227,1.0,1
228,0.0,0
229,0.0,0
230,1.0,1
231,0.0,1
232,1.0,1
233,0.0,1
234,1.0,1
235,1.0,1
236,1.0,1
237,0.0,0
238,0.0,0
239,0.0,0
240,1.0,1
241,0.0,1
242,1.0,1
243,1.0,1
244,0.0,0
245,0.0,0
246,1.0,1
247,0.0,0
248,0.0,0
249,1.0,1
250,0.0,0
251,0.0,0
252,1.0,1
253,1.0,1
254,0.0,0
255,0.0,0
256,0.0,0
257,1.0,1
258,1.0,1
259,1.0,1
260,0.0,0
261,1.0,1
262,0.0,0
263,1.0,1
264,0.0,0
265,0.0,0
266,1.0,1
267,1.0,1
268,1.0,1
269,1.0,1
270,0.0,0
271,0.0,0
272,0.0,0
273,1.0,1
274,1.0,1
275,0.0,0
276,0.0,0
277,1.0,1
278,1.0,1
279,1.0,1
280,0.0,0
281,1.0,1
282,0.0,0
283,1.0,1
284,0.0,1
285,0.0,0
286,0.0,0
287,0.0,0
288,0.0,0
289,0.0,0
290,0.0,0
291,0.0,0
292,0.0,0
293,1.0,1
294,0.0,0
295,0.0,0
296,1.0,1
297,0.0,0
298,0.0,1
299,1.0,1
300,0.0,0
301,0.0,0
302,1.0,1
303,1.0,0
304,0.0,0
305,0.0,0
306,0.0,0
307,1.0,1
308,0.0,0
309,0.0,0
310,1.0,1
311,1.0,1
312,0.0,0
313,1.0,1
314,1.0,1
315,0.0,0
316,0.0,0
317,1.0,1
318,1.0,1
319,1.0,1
320,0.0,0
321,1.0,1
322,0.0,0
323,0.0,0
324,1.0,1
325,0.0,0
326,0.0,1
327,0.0,1
328,1.0,1
329,0.0,0
330,1.0,1
331,0.0,0
332,1.0,1
333,0.0,0
334,0.0,0
335,1.0,0
336,1.0,0
337,0.0,0
338,0.0,0
339,0.0,0
340,0.0,0
341,0.0,1
342,0.0,1
343,0.0,0
344,0.0,0
345,1.0,1
346,0.0,0
347,0.0,0
348,0.0,1
349,0.0,0
350,0.0,0
351,1.0,0
352,0.0,0
353,0.0,0
354,1.0,1
355,0.0,0
356,0.0,0
357,1.0,0
358,1.0,1
359,1.0,1
360,1.0,0
361,1.0,0
362,0.0,0
363,1.0,0
364,0.0,0
365,1.0,1
366,1.0,1
367,1.0,1
368,0.0,1
369,1.0,1
370,1.0,1
371,0.0,0
372,0.0,0
373,1.0,1
374,1.0,1
375,0.0,0
376,0.0,1
377,1.0,1
378,0.0,0
379,0.0,0
380,0.0,0
381,1.0,1
382,0.0,0
383,1.0,1
384,0.0,0
385,0.0,0
386,1.0,0
387,1.0,0
388,0.0,0
389,0.0,0
390,0.0,0
391,1.0,1
392,0.0,0
393,0.0,0
394,0.0,0
395,1.0,0
396,1.0,1
397,0.0,0
398,1.0,1
399,1.0,1
400,1.0,1
401,0.0,1
402,1.0,1
403,1.0,1
404,1.0,1
405,0.0,0
406,1.0,1
407,1.0,0
408,1.0,1
409,0.0,0
410,0.0,1
411,1.0,1
412,1.0,0
413,0.0,0
414,1.0,1
415,0.0,1
416,0.0,0
417,1.0,1
418,1.0,1
419,1.0,1
420,0.0,0
421,0.0,0
422,1.0,1
423,1.0,1
424,0.0,0
425,1.0,1
426,1.0,0
427,0.0,0
428,1.0,1
429,0.0,0
430,0.0,0
431,0.0,0
432,0.0,0
433,1.0,1
434,0.0,0
435,0.0,0
436,0.0,0
437,0.0,1
438,0.0,0
439,1.0,1
440,0.0,0
441,1.0,1
442,0.0,0
443,1.0,0
444,0.0,0
445,1.0,1
446,1.0,1
447,1.0,1
448,1.0,1
449,1.0,1
450,0.0,0
451,0.0,0
452,1.0,1
453,1.0,1
454,0.0,0
455,0.0,0
456,1.0,1
457,1.0,1
458,1.0,1
459,1.0,1
460,1.0,1
461,0.0,0
462,0.0,0
463,1.0,1
464,1.0,0
465,1.0,1
466,0.0,1
467,1.0,1
468,1.0,1
469,1.0,1
470,1.0,1
471,0.0,0
472,1.0,1
473,0.0,1
474,0.0,0
475,1.0,0
476,0.0,1
477,1.0,0
478,0.0,0
479,0.0,1
480,1.0,1
481,0.0,0
482,0.0,1
483,1.0,0
484,1.0,1
485,1.0,1
486,0.0,0
487,0.0,0
488,0.0,0
489,0.0,1
490,1.0,1
491,1.0,1
492,0.0,0
493,0.0,0
494,1.0,1
495,1.0,1
496,0.0,0
497,1.0,0
498,0.0,0
499,1.0,0
500,1.0,1
501,0.0,0
502,1.0,1
503,0.0,0
504,1.0,1
505,0.0,0
506,1.0,1
507,1.0,0
508,0.0,0
509,1.0,1
510,1.0,1
511,0.0,0
512,0.0,0
513,1.0,1
514,0.0,0
515,1.0,1
516,1.0,1
517,0.0,0
518,0.0,0
519,0.0,0
520,0.0,0
521,0.0,0
