,predictions,target
0,0.0,1
1,1.0,1
2,1.0,0
3,0.0,1
4,0.0,0
5,1.0,1
6,1.0,1
7,1.0,1
8,0.0,0
9,0.0,1
10,0.0,1
11,1.0,1
12,0.0,1
13,1.0,0
14,0.0,1
15,0.0,0
16,1.0,0
17,0.0,0
18,0.0,0
19,1.0,1
20,0.0,1
21,1.0,1
22,1.0,1
23,0.0,1
24,1.0,0
25,0.0,0
26,0.0,0
27,1.0,0
28,1.0,1
29,0.0,0
30,1.0,1
31,0.0,0
32,1.0,1
33,1.0,1
34,1.0,1
35,0.0,0
36,1.0,1
37,0.0,0
38,1.0,1
39,1.0,0
40,0.0,1
41,1.0,1
42,1.0,0
43,0.0,1
44,1.0,1
45,1.0,1
46,0.0,1
47,0.0,0
48,1.0,1
49,0.0,0
50,1.0,0
51,1.0,1
52,0.0,0
53,1.0,1
54,1.0,0
55,0.0,0
56,1.0,1
57,1.0,1
58,1.0,1
59,0.0,0
60,0.0,0
61,0.0,0
62,1.0,0
63,1.0,1
64,1.0,1
65,1.0,0
66,0.0,0
67,0.0,0
68,1.0,1
69,1.0,1
70,0.0,0
71,1.0,1
72,0.0,0
73,1.0,1
74,1.0,0
75,0.0,1
76,1.0,1
77,0.0,0
78,1.0,1
79,1.0,1
80,1.0,1
81,1.0,1
82,0.0,0
83,0.0,0
84,1.0,1
85,1.0,0
86,1.0,1
87,1.0,1
88,1.0,1
89,1.0,1
90,0.0,1
91,1.0,1
92,1.0,1
93,0.0,0
94,1.0,1
95,1.0,1
96,1.0,1
97,0.0,0
98,1.0,1
99,1.0,1
100,1.0,1
101,0.0,1
102,1.0,1
103,1.0,1
104,1.0,0
105,1.0,1
106,1.0,1
107,1.0,1
108,0.0,0
109,0.0,0
110,1.0,1
111,1.0,1
112,1.0,1
113,1.0,1
114,0.0,0
115,1.0,1
116,0.0,0
117,1.0,1
118,0.0,0
119,1.0,0
120,1.0,0
121,1.0,0
122,1.0,1
123,1.0,0
124,1.0,1
125,0.0,0
126,1.0,0
127,1.0,1
128,1.0,1
129,1.0,0
130,0.0,0
131,0.0,0
132,0.0,0
133,0.0,0
134,1.0,1
135,0.0,0
136,1.0,0
137,1.0,1
138,1.0,1
139,1.0,1
140,1.0,1
141,1.0,1
142,0.0,0
143,1.0,1
144,1.0,0
145,1.0,0
146,1.0,1
147,1.0,1
