,predictions,target
0,2.0,2
1,0.0,1
2,1.0,1
3,2.0,2
4,0.0,0
5,2.0,2
6,2.0,0
7,1.0,1
8,0.0,0
9,0.0,2
10,0.0,0
11,2.0,2
12,1.0,1
13,0.0,0
14,0.0,0
15,1.0,1
16,2.0,0
17,1.0,1
18,0.0,0
19,2.0,2
20,2.0,2
21,1.0,1
22,1.0,1
23,0.0,2
24,2.0,2
25,2.0,2
26,1.0,1
27,0.0,0
28,0.0,0
29,0.0,0
30,1.0,1
31,0.0,0
32,0.0,0
33,0.0,0
34,1.0,1
35,2.0,2
36,1.0,1
37,2.0,2
38,1.0,1
39,0.0,0
40,0.0,0
41,0.0,2
42,1.0,1
43,1.0,1
44,0.0,2
45,0.0,0
46,1.0,1
47,2.0,2
48,2.0,2
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,1.0,1
55,0.0,0
56,0.0,0
57,2.0,2
58,2.0,2
59,2.0,2
60,2.0,0
61,2.0,2
62,0.0,0
63,1.0,1
64,0.0,1
65,1.0,1
66,1.0,1
67,1.0,1
68,1.0,1
69,1.0,1
70,0.0,2
71,2.0,0
72,2.0,2
73,2.0,2
74,1.0,1
75,0.0,0
76,0.0,0
77,1.0,1
78,2.0,0
79,2.0,2
80,2.0,2
81,1.0,1
82,2.0,2
83,1.0,1
84,0.0,0
85,2.0,2
86,2.0,2
87,0.0,0
88,1.0,1
89,0.0,0
90,1.0,1
91,2.0,2
92,0.0,2
93,1.0,1
94,1.0,1
95,1.0,1
96,0.0,2
97,2.0,0
98,2.0,2
99,1.0,1
100,0.0,1
101,0.0,0
102,0.0,0
103,2.0,2
104,2.0,2
105,0.0,0
106,1.0,1
107,0.0,2
108,0.0,0
109,0.0,0
110,1.0,1
111,1.0,1
112,0.0,0
113,0.0,0
114,0.0,0
115,0.0,0
116,0.0,2
117,1.0,1
118,0.0,0
119,2.0,2
120,1.0,1
121,1.0,1
122,1.0,2
123,1.0,1
124,1.0,1
125,0.0,0
126,1.0,1
127,1.0,0
128,1.0,0
129,1.0,1
130,2.0,2
131,2.0,0
132,1.0,2
133,1.0,1
134,2.0,2
135,1.0,1
136,1.0,1
137,1.0,1
138,0.0,2
139,2.0,2
140,0.0,0
141,2.0,2
142,1.0,1
143,1.0,1
144,0.0,0
145,1.0,1
146,1.0,1
147,1.0,2
148,2.0,2
149,1.0,1
150,0.0,0
151,1.0,1
152,2.0,2
153,0.0,2
154,0.0,0
155,1.0,1
156,2.0,2
157,0.0,0
158,0.0,2
159,0.0,0
160,2.0,2
161,1.0,1
162,1.0,1
163,1.0,1
164,2.0,1
165,0.0,1
166,2.0,2
167,0.0,0
168,2.0,2
169,2.0,0
170,0.0,0
171,2.0,2
172,2.0,2
173,1.0,0
174,1.0,0
175,1.0,1
176,1.0,1
177,1.0,1
178,2.0,1
179,1.0,1
180,0.0,0
181,1.0,1
182,2.0,2
183,1.0,1
184,1.0,1
185,1.0,1
186,0.0,0
187,1.0,1
188,2.0,2
189,0.0,0
190,0.0,0
191,0.0,0
192,1.0,1
193,1.0,1
194,2.0,2
195,2.0,2
196,0.0,0
197,2.0,2
198,1.0,1
199,1.0,1
200,0.0,0
201,1.0,1
202,2.0,2
203,2.0,2
204,2.0,0
205,1.0,1
206,1.0,1
207,0.0,0
208,0.0,0
209,1.0,0
210,1.0,1
211,1.0,1
212,1.0,1
213,0.0,2
214,1.0,1
215,1.0,1
216,0.0,2
217,1.0,1
218,0.0,0
219,0.0,0
220,1.0,1
221,0.0,0
222,1.0,1
223,1.0,1
224,0.0,0
225,0.0,0
226,1.0,1
227,0.0,0
228,2.0,2
229,2.0,2
230,1.0,1
231,1.0,1
232,0.0,1
233,2.0,2
234,0.0,0
235,1.0,1
236,1.0,1
237,2.0,2
238,0.0,0
239,2.0,0
240,2.0,0
241,1.0,0
242,0.0,1
243,2.0,0
244,2.0,2
245,2.0,1
246,0.0,0
247,2.0,2
248,1.0,1
249,1.0,0
250,0.0,0
251,0.0,0
252,0.0,0
253,0.0,0
254,1.0,1
255,1.0,1
256,1.0,1
257,2.0,2
258,2.0,2
259,2.0,2
260,1.0,1
261,0.0,0
262,0.0,0
263,0.0,0
264,0.0,0
265,1.0,1
266,2.0,2
267,2.0,2
268,2.0,2
269,1.0,1
270,0.0,2
271,2.0,2
272,2.0,2
273,2.0,0
274,2.0,2
275,2.0,2
276,2.0,2
277,2.0,2
278,2.0,2
279,1.0,1
280,0.0,0
281,2.0,2
282,0.0,2
283,2.0,2
284,1.0,1
285,2.0,2
286,2.0,2
287,2.0,2
288,2.0,2
289,2.0,2
290,1.0,1
291,1.0,1
292,0.0,0
293,0.0,0
294,2.0,2
295,1.0,1
296,1.0,0
297,1.0,2
298,1.0,1
299,2.0,2
300,2.0,2
301,1.0,1
302,2.0,2
303,1.0,1
304,1.0,1
305,0.0,0
306,2.0,0
307,2.0,2
308,2.0,0
309,2.0,2
310,0.0,0
311,1.0,1
312,2.0,2
313,2.0,2
314,1.0,1
315,2.0,0
316,2.0,2
317,2.0,2
318,2.0,2
319,2.0,2
320,2.0,0
321,0.0,1
322,2.0,2
323,0.0,0
324,0.0,0
325,0.0,0
326,0.0,0
327,1.0,1
328,2.0,2
329,1.0,1
330,1.0,1
331,0.0,0
332,0.0,0
333,2.0,2
334,2.0,0
335,0.0,2
336,1.0,1
337,0.0,2
338,2.0,1
339,0.0,0
340,2.0,2
341,1.0,1
342,2.0,2
343,1.0,1
344,1.0,1
345,2.0,2
346,1.0,1
347,2.0,2
348,0.0,0
349,0.0,2
350,1.0,1
351,2.0,2
352,1.0,1
353,1.0,1
354,1.0,1
355,2.0,2
356,1.0,0
357,2.0,2
358,1.0,1
359,2.0,2
360,1.0,1
361,1.0,1
362,1.0,1
363,0.0,0
364,1.0,1
365,0.0,0
366,2.0,2
367,2.0,2
368,1.0,1
369,1.0,0
370,0.0,0
371,0.0,1
372,0.0,0
373,2.0,2
374,2.0,0
375,0.0,0
376,2.0,2
377,2.0,2
378,1.0,1
379,2.0,2
380,2.0,2
381,2.0,2
382,2.0,2
383,1.0,1
384,1.0,1
385,1.0,1
386,1.0,1
387,0.0,0
388,0.0,0
389,2.0,2
390,1.0,1
391,1.0,1
392,2.0,2
393,2.0,2
394,1.0,1
395,2.0,2
396,2.0,2
397,2.0,2
398,2.0,2
399,1.0,1
400,1.0,1
401,1.0,1
402,1.0,1
403,0.0,0
404,0.0,0
405,2.0,0
406,2.0,2
407,2.0,2
408,1.0,1
409,1.0,1
410,2.0,2
411,2.0,2
412,0.0,0
413,2.0,2
414,0.0,2
415,0.0,1
416,1.0,1
417,0.0,0
418,0.0,0
419,0.0,1
420,2.0,0
421,2.0,2
422,1.0,0
423,1.0,1
424,1.0,1
425,0.0,2
426,0.0,0
427,0.0,2
428,2.0,2
429,2.0,2
430,0.0,2
431,1.0,1
432,2.0,2
433,2.0,2
434,0.0,0
435,1.0,1
436,2.0,2
437,1.0,1
438,1.0,1
439,0.0,0
440,0.0,0
441,2.0,0
442,1.0,1
443,2.0,2
444,1.0,1
445,1.0,1
446,1.0,1
447,2.0,2
448,0.0,0
449,2.0,2
450,1.0,1
451,1.0,1
452,2.0,2
453,2.0,0
454,1.0,1
455,0.0,0
456,1.0,1
457,1.0,1
458,1.0,1
459,0.0,0
460,1.0,1
461,2.0,1
462,0.0,0
463,0.0,0
464,1.0,1
465,1.0,1
466,1.0,1
467,2.0,2
468,0.0,0
469,2.0,2
470,0.0,0
471,2.0,2
472,2.0,0
473,1.0,0
474,0.0,0
475,2.0,2
476,2.0,2
477,2.0,2
478,2.0,2
479,2.0,2
480,2.0,0
481,2.0,2
482,1.0,1
483,2.0,0
484,2.0,2
485,0.0,0
486,2.0,2
487,2.0,2
488,0.0,0
489,0.0,0
490,2.0,2
491,1.0,1
492,2.0,0
493,2.0,0
494,0.0,0
495,0.0,0
496,2.0,2
497,1.0,1
498,2.0,0
499,2.0,2
500,2.0,2
501,1.0,1
502,2.0,2
503,2.0,0
504,1.0,0
505,1.0,1
506,2.0,2
507,0.0,0
508,1.0,1
509,0.0,0
510,1.0,1
511,0.0,1
512,2.0,2
513,1.0,1
514,2.0,2
515,1.0,1
516,2.0,2
517,1.0,1
518,0.0,0
519,1.0,1
520,0.0,0
521,2.0,2
522,0.0,1
523,0.0,0
524,1.0,0
525,1.0,1
526,2.0,2
527,0.0,0
528,2.0,2
529,0.0,0
530,1.0,1
531,0.0,0
532,2.0,0
533,2.0,2
534,0.0,2
535,0.0,0
536,0.0,0
537,0.0,0
538,0.0,0
539,1.0,1
540,0.0,0
541,2.0,2
542,0.0,0
543,2.0,2
544,1.0,1
545,1.0,0
546,1.0,1
547,1.0,1
548,1.0,1
549,2.0,2
550,2.0,0
551,1.0,1
552,1.0,1
553,1.0,1
554,2.0,2
555,0.0,0
556,1.0,1
557,2.0,2
558,2.0,2
559,0.0,0
560,1.0,1
561,2.0,0
562,0.0,0
563,1.0,1
564,2.0,2
565,2.0,2
566,1.0,1
567,1.0,0
568,1.0,1
569,0.0,0
570,1.0,1
571,2.0,2
572,2.0,0
573,2.0,2
574,2.0,2
575,2.0,2
576,0.0,2
577,2.0,2
578,2.0,2
579,0.0,0
580,1.0,1
581,2.0,2
582,1.0,1
583,0.0,0
584,2.0,2
585,2.0,2
586,2.0,0
587,0.0,0
588,1.0,1
589,0.0,0
590,2.0,2
591,1.0,1
592,1.0,1
593,0.0,0
594,1.0,1
595,0.0,0
596,2.0,2
597,2.0,2
598,0.0,0
599,2.0,2
600,1.0,1
601,0.0,0
602,2.0,2
603,2.0,2
604,2.0,2
605,2.0,2
606,0.0,0
607,1.0,1
608,2.0,2
609,2.0,2
610,1.0,1
611,2.0,2
612,1.0,1
613,0.0,0
614,2.0,2
615,1.0,1
616,2.0,0
617,2.0,2
618,0.0,0
619,2.0,2
620,1.0,1
621,2.0,2
622,1.0,1
623,2.0,0
624,0.0,0
625,2.0,2
626,0.0,0
627,0.0,0
628,0.0,2
629,1.0,0
630,2.0,2
631,0.0,0
632,2.0,2
633,1.0,1
634,0.0,0
635,0.0,0
636,2.0,2
637,0.0,0
638,1.0,1
639,1.0,1
640,0.0,0
641,1.0,1
642,2.0,2
643,0.0,0
644,1.0,0
645,2.0,0
646,1.0,1
647,2.0,2
648,0.0,2
649,2.0,2
650,1.0,1
651,2.0,2
652,2.0,0
653,2.0,2
654,2.0,2
655,0.0,0
656,1.0,1
657,1.0,1
658,0.0,0
659,0.0,0
660,1.0,1
661,0.0,0
662,0.0,0
663,2.0,2
664,2.0,2
665,0.0,0
666,1.0,1
667,0.0,0
668,0.0,0
669,1.0,1
670,2.0,0
671,0.0,0
672,1.0,1
673,2.0,2
674,2.0,2
675,2.0,2
676,1.0,1
677,0.0,0
678,0.0,0
679,1.0,1
680,1.0,1
681,2.0,2
682,2.0,0
683,0.0,1
684,1.0,1
685,1.0,1
686,0.0,2
687,2.0,0
688,2.0,2
689,1.0,1
690,1.0,1
691,2.0,2
692,1.0,1
693,0.0,0
694,0.0,0
695,1.0,1
696,0.0,2
697,1.0,1
698,2.0,2
699,1.0,1
700,1.0,1
701,2.0,0
702,2.0,0
703,1.0,1
704,1.0,1
705,0.0,0
706,1.0,1
707,2.0,2
708,2.0,2
709,1.0,1
710,1.0,1
711,1.0,1
712,1.0,1
713,0.0,0
714,1.0,1
715,2.0,2
716,1.0,1
717,0.0,0
718,1.0,1
719,2.0,2
720,2.0,2
721,1.0,1
722,1.0,0
723,0.0,0
724,0.0,1
725,0.0,0
726,1.0,1
727,2.0,2
728,0.0,0
729,2.0,2
730,0.0,0
731,2.0,2
732,2.0,2
733,1.0,1
734,0.0,0
735,2.0,0
736,1.0,1
737,0.0,0
738,2.0,2
739,0.0,2
740,1.0,1
741,2.0,2
742,1.0,1
743,0.0,0
744,2.0,2
745,1.0,1
746,1.0,1
747,0.0,1
748,0.0,1
749,1.0,1
750,0.0,0
751,0.0,0
752,0.0,0
753,0.0,0
754,1.0,1
755,1.0,1
756,1.0,1
757,2.0,0
758,0.0,0
759,1.0,1
760,0.0,0
761,1.0,1
762,1.0,1
763,2.0,2
764,1.0,1
765,1.0,1
766,1.0,1
767,2.0,2
768,0.0,0
769,1.0,1
770,1.0,1
771,0.0,0
772,1.0,1
773,1.0,1
774,0.0,0
775,0.0,0
776,0.0,2
777,0.0,0
778,1.0,0
779,0.0,1
780,1.0,1
781,0.0,0
782,1.0,1
783,2.0,2
784,2.0,0
785,0.0,0
786,2.0,2
787,1.0,2
788,1.0,1
789,1.0,1
790,0.0,0
791,2.0,0
792,0.0,1
793,1.0,1
794,2.0,2
795,1.0,1
796,2.0,2
797,2.0,2
798,2.0,2
799,2.0,0
800,2.0,0
801,2.0,0
802,0.0,0
803,0.0,0
804,2.0,0
805,0.0,0
806,1.0,1
807,2.0,0
808,1.0,1
809,2.0,0
810,0.0,0
811,1.0,2
812,2.0,2
813,1.0,1
814,2.0,2
815,0.0,0
816,0.0,0
817,0.0,0
818,2.0,2
819,2.0,0
820,2.0,0
821,0.0,0
822,2.0,2
823,0.0,0
824,2.0,0
825,0.0,2
826,1.0,1
827,2.0,2
828,2.0,2
829,0.0,0
830,0.0,0
831,0.0,0
832,2.0,2
833,1.0,1
834,0.0,0
835,1.0,1
836,0.0,0
837,0.0,0
838,2.0,2
839,2.0,2
840,1.0,1
841,2.0,2
842,2.0,0
843,0.0,0
844,2.0,2
845,2.0,2
846,0.0,0
847,0.0,0
848,2.0,0
849,2.0,0
850,1.0,1
851,0.0,0
852,1.0,1
853,1.0,1
854,1.0,1
855,2.0,0
856,0.0,0
