,predictions,target
0,0.0,0
1,1.0,1
2,1.0,1
3,0.0,0
4,0.0,0
5,0.0,1
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,1
11,0.0,0
12,0.0,1
13,0.0,1
14,0.0,1
15,0.0,0
16,0.0,0
17,0.0,0
18,0.0,1
19,0.0,0
20,0.0,1
21,1.0,1
22,0.0,0
23,0.0,0
24,0.0,0
25,0.0,0
26,0.0,1
27,0.0,0
28,0.0,1
29,0.0,1
30,0.0,0
31,0.0,0
32,0.0,0
33,1.0,1
34,1.0,1
35,0.0,1
36,1.0,1
37,0.0,0
38,0.0,0
39,0.0,0
40,1.0,1
41,0.0,0
42,0.0,0
43,0.0,1
44,0.0,0
45,0.0,0
46,0.0,1
47,0.0,0
48,0.0,1
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,1
55,1.0,0
56,1.0,1
57,0.0,0
58,0.0,1
59,0.0,0
60,1.0,1
61,0.0,0
62,0.0,0
63,0.0,0
64,0.0,1
65,0.0,1
66,0.0,1
67,0.0,1
68,0.0,0
69,0.0,0
70,0.0,0
71,1.0,0
72,1.0,1
73,0.0,0
74,0.0,0
75,0.0,0
76,1.0,1
77,0.0,1
78,1.0,1
79,0.0,0
80,0.0,0
81,0.0,1
82,0.0,0
83,0.0,1
84,1.0,1
85,0.0,0
86,0.0,1
87,1.0,1
88,0.0,0
89,0.0,1
90,0.0,0
91,0.0,0
92,1.0,1
93,0.0,0
94,0.0,0
95,1.0,1
96,1.0,0
97,1.0,1
98,0.0,0
99,1.0,1
100,1.0,1
101,0.0,1
102,0.0,0
103,0.0,0
104,0.0,0
105,1.0,1
106,1.0,1
107,1.0,1
108,1.0,1
109,0.0,1
110,1.0,1
111,1.0,0
112,0.0,0
113,0.0,0
114,1.0,1
115,0.0,0
116,0.0,0
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,0
121,1.0,0
122,0.0,0
123,0.0,0
124,1.0,1
125,1.0,1
126,0.0,0
127,1.0,1
128,0.0,0
129,0.0,1
130,1.0,1
131,0.0,0
132,1.0,1
133,1.0,1
134,1.0,1
135,1.0,1
136,1.0,1
137,0.0,0
138,0.0,0
139,0.0,0
140,1.0,1
141,0.0,0
142,0.0,0
143,1.0,1
144,1.0,1
145,1.0,1
146,0.0,0
147,1.0,1
148,0.0,0
149,1.0,1
150,0.0,0
151,1.0,1
152,1.0,1
153,0.0,0
154,1.0,1
155,0.0,0
156,1.0,1
157,0.0,0
158,0.0,0
159,1.0,0
160,1.0,1
161,0.0,0
162,0.0,0
163,0.0,0
164,0.0,0
165,1.0,1
166,0.0,0
167,0.0,1
168,1.0,1
169,1.0,1
170,1.0,1
171,1.0,1
172,0.0,0
173,1.0,1
174,0.0,0
175,1.0,1
176,0.0,0
177,1.0,1
178,1.0,1
179,1.0,1
180,0.0,0
181,0.0,0
182,0.0,0
183,0.0,0
184,0.0,0
185,1.0,1
186,1.0,1
187,1.0,1
188,0.0,0
189,0.0,0
190,1.0,1
191,0.0,0
192,0.0,0
193,0.0,0
194,0.0,0
195,0.0,0
196,0.0,0
197,0.0,1
198,0.0,0
199,0.0,0
200,1.0,1
201,1.0,1
202,1.0,1
203,1.0,1
204,0.0,1
205,1.0,1
206,1.0,1
207,1.0,1
208,1.0,1
209,0.0,0
210,0.0,0
211,0.0,0
212,0.0,0
213,1.0,0
214,1.0,1
215,1.0,1
216,1.0,1
217,1.0,1
218,0.0,0
219,0.0,0
220,0.0,0
221,0.0,0
222,0.0,0
223,1.0,1
224,1.0,1
225,1.0,1
226,0.0,1
227,1.0,1
228,1.0,1
229,0.0,1
230,1.0,1
231,0.0,1
232,0.0,0
233,1.0,1
234,0.0,0
235,0.0,1
236,1.0,1
237,1.0,1
238,1.0,1
239,1.0,1
240,1.0,1
241,1.0,1
242,0.0,0
243,0.0,0
244,1.0,1
245,1.0,1
246,1.0,0
247,1.0,1
248,0.0,0
249,0.0,0
250,1.0,1
251,0.0,0
252,1.0,0
253,1.0,1
254,0.0,1
255,1.0,1
256,0.0,0
257,1.0,1
258,0.0,1
259,0.0,0
260,0.0,0
261,1.0,1
262,0.0,0
263,1.0,1
264,0.0,0
265,0.0,0
266,0.0,1
267,1.0,0
268,1.0,0
269,0.0,0
270,0.0,0
271,0.0,0
272,0.0,1
273,1.0,1
274,1.0,1
275,1.0,1
276,1.0,1
277,0.0,0
278,1.0,1
279,0.0,0
280,0.0,0
281,0.0,1
282,0.0,0
283,0.0,0
284,1.0,1
285,0.0,0
286,0.0,0
287,1.0,1
288,1.0,1
289,0.0,0
290,1.0,1
291,1.0,1
292,1.0,1
293,1.0,1
294,1.0,1
295,1.0,1
296,1.0,1
297,0.0,0
298,0.0,0
299,0.0,0
300,0.0,0
301,0.0,0
302,1.0,1
303,1.0,1
304,0.0,0
305,1.0,1
306,1.0,1
307,0.0,1
308,1.0,1
309,1.0,1
310,0.0,0
311,0.0,0
312,0.0,0
313,0.0,0
314,0.0,0
315,0.0,0
316,0.0,1
317,0.0,0
318,1.0,0
319,0.0,0
320,0.0,0
321,0.0,0
322,1.0,1
323,1.0,1
324,1.0,1
325,1.0,1
326,0.0,0
327,1.0,0
328,1.0,1
329,0.0,0
330,1.0,1
331,1.0,1
332,0.0,1
333,1.0,1
334,1.0,1
335,1.0,1
336,0.0,0
337,0.0,0
338,0.0,0
339,1.0,1
340,0.0,1
341,1.0,1
342,0.0,0
343,1.0,1
344,0.0,0
345,1.0,1
346,0.0,0
347,0.0,0
348,1.0,1
349,0.0,0
350,0.0,0
351,1.0,1
352,1.0,1
353,0.0,0
354,0.0,0
355,0.0,0
356,1.0,1
357,1.0,1
358,0.0,0
359,1.0,1
360,0.0,0
361,0.0,0
362,1.0,1
363,0.0,0
364,0.0,0
365,1.0,1
366,1.0,1
367,1.0,1
368,1.0,1
369,0.0,0
370,0.0,0
371,0.0,0
372,0.0,0
373,1.0,1
374,1.0,1
375,0.0,0
376,0.0,0
377,1.0,1
378,1.0,1
379,1.0,1
380,1.0,1
381,1.0,0
382,1.0,1
383,0.0,1
384,0.0,0
385,0.0,0
386,0.0,0
387,0.0,0
388,0.0,0
389,0.0,0
390,0.0,0
391,0.0,0
392,0.0,0
393,1.0,1
394,0.0,0
395,0.0,0
396,1.0,1
397,0.0,0
398,1.0,1
399,0.0,0
400,1.0,1
401,0.0,0
402,0.0,1
403,1.0,0
404,0.0,0
405,0.0,0
406,0.0,0
407,1.0,1
408,0.0,0
409,0.0,0
410,1.0,1
411,1.0,1
412,0.0,0
413,1.0,1
414,1.0,1
415,1.0,1
416,0.0,0
417,0.0,0
418,1.0,1
419,1.0,1
420,0.0,0
421,1.0,1
422,0.0,0
423,0.0,0
424,1.0,1
425,0.0,0
426,1.0,1
427,0.0,1
428,1.0,1
429,1.0,1
430,0.0,0
431,1.0,1
432,0.0,0
433,1.0,1
434,0.0,0
435,0.0,0
436,1.0,0
437,0.0,0
438,0.0,0
439,0.0,0
440,0.0,0
441,0.0,1
442,1.0,1
443,0.0,0
444,0.0,0
445,0.0,0
446,1.0,1
447,0.0,0
448,0.0,0
449,0.0,1
450,0.0,0
451,0.0,0
452,0.0,0
453,0.0,0
454,0.0,0
455,1.0,1
456,0.0,0
457,1.0,1
458,0.0,0
459,1.0,1
460,1.0,1
461,0.0,0
462,1.0,0
463,0.0,0
464,1.0,0
465,0.0,0
466,1.0,1
467,1.0,1
468,0.0,1
469,1.0,1
470,1.0,1
471,1.0,1
472,0.0,0
473,0.0,0
474,0.0,0
475,1.0,1
476,0.0,0
477,1.0,1
478,1.0,1
479,0.0,0
480,0.0,0
481,0.0,0
482,1.0,1
483,0.0,0
484,1.0,1
485,0.0,0
486,1.0,1
487,0.0,0
488,0.0,0
489,1.0,0
490,0.0,0
491,0.0,0
492,0.0,0
493,1.0,1
494,0.0,0
495,0.0,0
496,1.0,0
497,1.0,1
498,0.0,0
499,1.0,1
500,0.0,0
501,1.0,1
502,1.0,1
503,0.0,1
504,1.0,1
505,1.0,1
506,1.0,1
507,0.0,0
508,1.0,1
509,0.0,0
510,1.0,1
511,0.0,0
512,0.0,1
513,0.0,0
514,0.0,0
515,0.0,0
516,1.0,1
517,1.0,1
518,0.0,0
519,1.0,1
520,1.0,1
521,1.0,1
