,predictions,target
0,0.0,1
1,0.0,0
2,1.0,0
3,1.0,1
4,0.0,1
5,0.0,0
6,1.0,1
7,1.0,1
8,0.0,1
9,0.0,1
10,0.0,0
11,0.0,0
12,1.0,1
13,0.0,0
14,1.0,1
15,0.0,1
16,1.0,1
17,0.0,0
18,1.0,1
19,1.0,1
20,1.0,1
21,0.0,1
22,1.0,1
23,1.0,1
24,0.0,0
25,1.0,1
26,1.0,1
27,0.0,0
28,0.0,0
29,0.0,1
30,0.0,0
31,0.0,0
32,0.0,0
33,1.0,0
34,0.0,0
35,0.0,0
36,1.0,1
37,0.0,0
38,1.0,1
39,1.0,1
40,0.0,0
41,0.0,0
42,1.0,1
43,0.0,0
44,0.0,0
45,0.0,1
46,1.0,1
47,0.0,0
48,1.0,1
49,1.0,1
50,1.0,1
51,1.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,1
58,0.0,0
59,0.0,0
60,0.0,1
61,0.0,0
62,1.0,1
63,0.0,0
64,0.0,1
65,0.0,1
66,0.0,0
67,1.0,1
68,0.0,0
69,0.0,0
70,0.0,0
71,1.0,1
72,0.0,1
73,0.0,1
74,0.0,1
75,1.0,0
76,0.0,0
77,0.0,0
78,0.0,1
79,0.0,1
80,0.0,1
81,1.0,1
82,1.0,1
83,0.0,0
84,1.0,0
85,0.0,0
86,0.0,0
87,0.0,1
88,1.0,0
89,1.0,1
90,1.0,0
91,1.0,1
92,1.0,1
93,0.0,1
94,1.0,0
95,0.0,1
96,0.0,1
97,0.0,0
98,0.0,1
99,0.0,0
100,1.0,1
101,0.0,1
102,1.0,1
103,0.0,0
104,0.0,1
105,0.0,1
106,0.0,1
107,0.0,1
108,0.0,1
109,0.0,0
110,0.0,1
111,0.0,0
112,0.0,0
113,0.0,0
114,0.0,1
115,0.0,1
116,1.0,1
117,1.0,1
118,0.0,1
119,0.0,0
120,0.0,0
121,0.0,0
122,0.0,0
123,0.0,0
124,1.0,1
125,0.0,0
126,0.0,1
127,0.0,0
128,1.0,1
129,1.0,1
130,1.0,1
131,1.0,0
132,1.0,1
133,1.0,1
134,1.0,1
135,1.0,0
136,1.0,1
137,1.0,1
138,1.0,0
139,0.0,1
140,1.0,1
141,1.0,1
142,1.0,1
143,0.0,0
144,1.0,1
145,0.0,0
146,1.0,0
147,1.0,1
148,1.0,0
149,0.0,0
150,1.0,1
151,1.0,0
152,1.0,1
153,0.0,1
154,1.0,1
155,1.0,0
156,0.0,0
157,0.0,0
158,1.0,0
159,1.0,1
160,1.0,1
161,1.0,0
162,1.0,0
163,0.0,0
164,0.0,0
165,1.0,1
166,1.0,1
167,0.0,0
168,1.0,1
169,0.0,0
170,1.0,1
171,0.0,1
172,1.0,1
173,0.0,0
174,1.0,1
175,1.0,1
176,1.0,1
177,1.0,1
178,1.0,1
179,0.0,0
180,0.0,0
181,1.0,1
182,1.0,0
183,1.0,1
