,predictions,target
0,0.0,0
1,0.0,1
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,1.0,1
8,1.0,0
9,1.0,1
10,1.0,1
11,0.0,0
12,0.0,1
13,0.0,0
14,1.0,1
15,1.0,0
16,0.0,0
17,0.0,0
18,1.0,1
19,1.0,1
20,0.0,1
21,0.0,1
22,0.0,0
23,0.0,0
24,0.0,0
25,1.0,0
26,1.0,1
27,0.0,0
28,0.0,0
29,0.0,0
30,1.0,1
31,0.0,1
32,0.0,1
33,0.0,0
34,0.0,0
35,1.0,1
36,0.0,0
37,0.0,1
38,1.0,1
39,0.0,0
40,1.0,1
41,0.0,1
42,0.0,0
43,1.0,1
44,0.0,0
45,0.0,0
46,0.0,1
47,0.0,0
48,0.0,0
49,0.0,0
50,1.0,1
51,1.0,0
52,0.0,1
53,0.0,0
54,1.0,1
55,1.0,1
56,0.0,1
57,0.0,0
58,0.0,0
59,1.0,1
60,1.0,1
61,0.0,1
62,1.0,1
63,0.0,1
64,1.0,1
65,1.0,0
66,0.0,0
67,0.0,0
68,0.0,0
69,1.0,1
70,0.0,0
71,0.0,0
72,1.0,1
73,1.0,1
74,1.0,1
75,1.0,0
76,1.0,0
77,0.0,0
78,0.0,0
79,0.0,1
80,1.0,1
81,0.0,0
82,0.0,1
83,0.0,0
84,0.0,1
85,0.0,1
86,0.0,1
87,0.0,0
88,1.0,1
89,0.0,1
90,1.0,1
91,1.0,1
92,0.0,0
93,0.0,0
94,0.0,0
95,1.0,1
96,0.0,0
97,0.0,0
98,1.0,1
99,1.0,1
100,1.0,1
101,0.0,0
102,1.0,1
103,0.0,0
104,1.0,1
105,0.0,0
106,1.0,1
107,0.0,0
108,1.0,1
109,0.0,0
110,0.0,1
111,0.0,0
112,1.0,1
113,0.0,0
114,0.0,0
115,1.0,1
116,0.0,0
117,0.0,0
118,0.0,0
119,0.0,0
120,0.0,1
121,0.0,0
122,0.0,1
123,1.0,1
124,0.0,1
125,1.0,1
126,1.0,1
127,0.0,1
128,0.0,0
129,1.0,1
130,0.0,0
131,1.0,1
132,0.0,0
133,1.0,1
134,0.0,1
135,1.0,1
136,0.0,0
137,0.0,0
138,0.0,0
139,0.0,0
140,0.0,0
141,0.0,1
142,1.0,1
143,0.0,1
144,0.0,0
145,0.0,0
146,1.0,1
147,0.0,0
148,0.0,0
149,0.0,0
150,0.0,0
151,0.0,0
152,0.0,0
153,0.0,1
154,0.0,0
155,0.0,0
156,1.0,1
157,1.0,1
158,1.0,1
159,1.0,1
160,0.0,1
161,1.0,1
162,1.0,1
163,1.0,1
164,1.0,1
165,1.0,0
166,0.0,0
167,0.0,0
168,0.0,0
169,0.0,0
170,1.0,0
171,1.0,1
172,1.0,1
173,1.0,1
174,0.0,0
175,0.0,0
176,0.0,0
177,0.0,0
178,0.0,0
179,1.0,1
180,1.0,1
181,1.0,1
182,0.0,1
183,1.0,1
184,1.0,0
185,1.0,1
186,0.0,1
187,1.0,1
188,0.0,1
189,0.0,0
190,1.0,1
191,0.0,0
192,1.0,1
193,1.0,1
194,1.0,1
195,1.0,1
196,1.0,1
197,1.0,1
198,1.0,1
199,0.0,0
200,0.0,0
201,1.0,1
202,1.0,0
203,0.0,0
204,1.0,1
205,0.0,0
206,0.0,0
207,1.0,1
208,0.0,0
209,1.0,0
210,1.0,1
211,0.0,1
212,1.0,1
213,0.0,0
214,1.0,1
215,0.0,1
216,0.0,0
217,0.0,0
218,1.0,1
219,0.0,0
220,1.0,1
221,0.0,0
222,0.0,0
223,0.0,0
224,0.0,1
225,1.0,0
226,1.0,0
227,0.0,0
228,0.0,0
229,0.0,0
230,0.0,1
231,1.0,1
232,1.0,1
233,1.0,1
234,0.0,0
235,1.0,1
236,1.0,0
237,0.0,0
238,0.0,1
