,predictions,target
0,1.0,1
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,0
5,1.0,1
6,1.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,1.0,1
11,1.0,1
12,0.0,0
13,1.0,1
14,1.0,1
15,0.0,0
16,1.0,1
17,1.0,1
18,0.0,0
19,1.0,0
20,0.0,0
21,1.0,1
22,0.0,0
23,0.0,1
24,1.0,1
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,0.0,0
30,0.0,0
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,0
35,1.0,1
36,0.0,0
37,1.0,1
38,0.0,0
39,1.0,1
40,0.0,0
41,0.0,0
42,0.0,0
43,0.0,0
44,1.0,1
45,1.0,1
46,1.0,1
47,0.0,0
48,1.0,1
49,1.0,1
50,0.0,0
51,1.0,1
52,1.0,1
53,1.0,1
54,0.0,0
55,1.0,0
56,1.0,1
57,0.0,0
58,0.0,0
59,0.0,1
60,1.0,0
61,1.0,1
62,1.0,0
63,1.0,1
64,0.0,0
65,0.0,0
66,1.0,0
67,0.0,0
68,1.0,1
69,1.0,1
70,1.0,1
71,0.0,1
72,1.0,0
73,0.0,0
74,0.0,0
75,1.0,1
76,1.0,0
77,0.0,0
78,1.0,1
79,0.0,1
80,1.0,1
81,1.0,1
82,0.0,0
83,0.0,0
84,1.0,0
85,1.0,0
86,1.0,1
87,0.0,1
88,0.0,0
89,1.0,0
90,1.0,1
91,1.0,1
92,0.0,1
93,1.0,0
94,1.0,1
95,1.0,1
96,0.0,1
97,0.0,0
98,1.0,0
99,1.0,1
100,0.0,0
101,0.0,0
102,1.0,0
103,0.0,0
104,1.0,0
105,0.0,0
106,1.0,1
107,0.0,0
108,0.0,0
109,0.0,0
110,0.0,0
111,0.0,0
112,1.0,0
113,1.0,1
114,0.0,0
115,1.0,1
116,1.0,0
117,0.0,1
118,1.0,1
119,0.0,1
120,1.0,1
121,0.0,0
122,1.0,1
123,1.0,1
124,0.0,1
125,1.0,0
126,1.0,1
127,1.0,1
128,1.0,1
129,1.0,1
130,0.0,1
131,0.0,0
132,0.0,0
133,1.0,1
134,1.0,0
135,1.0,1
136,0.0,1
137,1.0,0
138,1.0,1
139,0.0,1
140,1.0,1
141,0.0,0
142,1.0,1
143,0.0,0
144,0.0,1
145,0.0,0
146,1.0,1
147,0.0,0
148,0.0,0
149,0.0,0
150,1.0,1
151,1.0,1
152,0.0,0
153,0.0,0
154,0.0,0
155,1.0,1
156,0.0,0
157,1.0,0
158,0.0,0
159,1.0,1
160,1.0,1
161,0.0,0
162,0.0,0
163,0.0,1
164,1.0,1
165,1.0,0
166,0.0,0
167,0.0,0
168,0.0,0
169,1.0,0
170,1.0,0
171,1.0,1
172,0.0,0
173,0.0,0
174,1.0,0
175,1.0,1
176,1.0,0
177,1.0,1
178,0.0,0
179,1.0,1
180,1.0,1
181,0.0,1
182,1.0,1
183,0.0,0
184,0.0,1
185,0.0,0
186,1.0,1
187,0.0,0
188,1.0,1
