,predictions,target
0,2.0,2
1,1.0,1
2,0.0,0
3,2.0,2
4,2.0,2
5,0.0,0
6,1.0,1
7,0.0,0
8,2.0,2
9,0.0,0
10,2.0,2
11,2.0,2
12,0.0,2
13,2.0,2
14,2.0,2
15,2.0,2
16,0.0,0
17,2.0,2
18,1.0,1
19,1.0,1
20,2.0,2
21,2.0,2
22,2.0,2
23,0.0,0
24,1.0,1
25,1.0,1
26,1.0,0
27,2.0,2
28,0.0,0
29,1.0,1
30,2.0,2
31,0.0,2
32,1.0,0
33,1.0,1
34,2.0,2
35,0.0,0
36,0.0,0
37,1.0,1
38,2.0,2
39,2.0,2
40,2.0,2
41,2.0,2
42,1.0,1
43,1.0,1
44,0.0,0
45,0.0,0
46,1.0,2
47,2.0,2
48,0.0,0
49,0.0,0
50,0.0,0
51,2.0,2
52,1.0,1
53,1.0,1
54,1.0,1
55,1.0,1
56,2.0,2
57,2.0,2
58,1.0,1
59,1.0,1
60,0.0,0
61,0.0,0
62,1.0,1
63,2.0,2
64,0.0,0
65,1.0,1
66,0.0,0
67,0.0,0
68,2.0,2
69,2.0,2
70,1.0,1
71,0.0,0
72,1.0,1
73,2.0,2
74,2.0,2
75,0.0,0
76,2.0,2
77,2.0,0
78,1.0,1
79,0.0,0
80,1.0,1
81,1.0,0
82,2.0,2
83,1.0,1
84,0.0,0
85,0.0,0
86,0.0,1
87,2.0,2
88,1.0,2
89,0.0,0
90,1.0,1
91,0.0,0
92,2.0,2
93,2.0,2
94,1.0,1
95,0.0,0
96,0.0,0
97,0.0,0
98,2.0,2
99,1.0,1
100,2.0,2
101,0.0,2
102,1.0,1
103,2.0,2
104,1.0,1
105,2.0,2
106,1.0,1
107,2.0,2
108,0.0,0
109,0.0,0
110,0.0,0
111,0.0,0
112,0.0,0
113,2.0,2
114,0.0,0
115,2.0,2
116,1.0,1
117,2.0,2
118,2.0,2
119,2.0,2
120,0.0,0
121,2.0,2
122,1.0,1
123,1.0,1
124,2.0,2
125,1.0,1
126,1.0,1
127,0.0,0
128,2.0,2
129,1.0,1
130,0.0,0
131,0.0,0
132,2.0,2
133,2.0,2
134,0.0,0
135,1.0,1
136,0.0,0
137,2.0,2
138,2.0,2
139,2.0,2
140,1.0,1
141,0.0,0
142,1.0,1
143,2.0,2
144,2.0,0
145,0.0,0
146,0.0,0
147,2.0,2
148,1.0,1
149,0.0,1
150,1.0,1
151,2.0,0
152,1.0,1
153,1.0,1
154,1.0,1
155,1.0,1
156,2.0,2
157,2.0,2
158,2.0,0
159,1.0,1
160,1.0,1
161,1.0,1
162,1.0,1
163,2.0,2
164,2.0,2
165,0.0,0
166,2.0,2
167,0.0,0
168,1.0,1
169,0.0,0
170,1.0,1
171,2.0,2
172,1.0,1
173,1.0,1
174,1.0,1
175,2.0,2
176,0.0,0
177,0.0,0
178,0.0,0
179,2.0,2
180,0.0,0
181,2.0,2
182,2.0,0
183,1.0,0
184,2.0,2
185,2.0,2
186,0.0,1
187,2.0,2
188,2.0,2
189,1.0,0
190,0.0,0
191,2.0,2
192,0.0,0
193,2.0,2
194,1.0,1
195,1.0,1
196,0.0,0
197,1.0,1
198,1.0,1
199,1.0,1
200,1.0,1
201,1.0,1
202,2.0,2
203,2.0,2
204,2.0,2
205,1.0,1
206,2.0,2
207,1.0,1
208,2.0,2
209,1.0,1
210,1.0,1
211,2.0,2
212,1.0,1
213,2.0,2
214,1.0,1
215,1.0,1
216,2.0,2
217,2.0,0
218,0.0,1
219,0.0,0
220,1.0,0
221,1.0,1
222,0.0,0
223,1.0,1
224,0.0,0
225,2.0,2
226,1.0,1
227,2.0,1
228,2.0,2
229,0.0,0
230,2.0,2
231,1.0,1
232,0.0,0
233,2.0,2
234,0.0,0
235,2.0,2
236,0.0,0
237,1.0,1
238,2.0,2
239,0.0,0
240,0.0,1
241,0.0,0
242,2.0,2
243,2.0,0
244,2.0,0
245,2.0,0
246,2.0,2
247,2.0,2
248,0.0,0
249,0.0,0
250,0.0,2
251,1.0,1
252,2.0,0
253,0.0,0
254,2.0,2
255,1.0,1
256,2.0,2
257,2.0,2
258,0.0,0
259,0.0,0
260,0.0,0
261,1.0,1
262,1.0,1
263,0.0,0
264,0.0,0
265,2.0,2
266,0.0,0
267,0.0,2
268,2.0,2
269,1.0,1
270,0.0,2
271,1.0,1
272,0.0,0
273,2.0,2
274,1.0,1
275,1.0,1
276,2.0,2
277,0.0,0
278,1.0,1
279,1.0,1
280,2.0,2
281,2.0,2
282,2.0,2
283,0.0,0
284,2.0,2
285,0.0,0
286,0.0,0
287,2.0,0
288,0.0,1
289,1.0,1
290,1.0,1
291,0.0,0
292,1.0,1
293,2.0,2
294,1.0,0
295,2.0,2
296,2.0,2
297,0.0,0
298,1.0,1
299,1.0,1
300,1.0,1
301,2.0,0
302,2.0,2
303,1.0,1
304,2.0,2
305,0.0,0
306,2.0,2
307,0.0,0
308,2.0,2
309,1.0,0
310,1.0,1
311,1.0,1
312,0.0,0
313,2.0,2
314,0.0,0
315,2.0,2
316,2.0,2
317,0.0,0
318,1.0,1
319,0.0,0
320,0.0,0
321,0.0,0
322,1.0,0
323,0.0,0
324,2.0,2
325,0.0,0
326,0.0,0
327,0.0,0
328,1.0,1
329,0.0,0
330,2.0,2
331,2.0,2
332,0.0,0
333,0.0,0
334,2.0,2
335,0.0,2
336,1.0,1
337,1.0,0
338,1.0,1
339,2.0,2
340,0.0,0
341,0.0,0
342,1.0,0
343,1.0,1
344,1.0,1
345,0.0,0
346,0.0,1
347,1.0,1
348,2.0,0
349,0.0,0
350,1.0,1
351,1.0,1
352,0.0,0
353,0.0,0
354,2.0,2
355,0.0,0
356,1.0,1
357,2.0,2
358,1.0,1
359,0.0,2
360,0.0,2
361,1.0,1
362,1.0,1
363,0.0,0
364,0.0,0
365,2.0,0
366,1.0,1
367,0.0,0
368,1.0,1
369,0.0,0
370,1.0,1
371,0.0,0
372,1.0,1
373,2.0,2
374,0.0,0
375,0.0,0
376,0.0,1
377,0.0,0
378,2.0,2
379,2.0,2
380,1.0,1
381,2.0,2
382,1.0,1
383,0.0,1
384,1.0,1
385,0.0,0
386,2.0,0
387,0.0,0
388,1.0,0
389,2.0,2
390,0.0,0
391,1.0,1
392,1.0,1
393,0.0,0
394,2.0,0
395,1.0,1
396,1.0,1
397,0.0,1
398,0.0,0
399,1.0,1
400,1.0,1
401,0.0,1
402,2.0,2
403,2.0,2
404,2.0,0
405,0.0,0
406,1.0,0
407,2.0,2
408,1.0,1
409,1.0,1
410,1.0,1
411,1.0,0
412,1.0,1
413,1.0,1
414,2.0,2
415,2.0,0
416,2.0,2
417,1.0,1
418,1.0,1
419,2.0,2
420,1.0,1
421,2.0,2
422,0.0,1
423,1.0,1
424,0.0,1
425,0.0,0
426,1.0,0
427,1.0,1
428,2.0,2
429,1.0,1
430,2.0,2
431,2.0,2
432,0.0,1
433,1.0,1
434,2.0,2
435,2.0,2
436,1.0,1
437,0.0,2
438,2.0,2
439,0.0,0
440,2.0,2
441,0.0,0
442,2.0,2
443,1.0,1
444,1.0,1
445,2.0,2
446,0.0,0
447,1.0,1
448,0.0,0
449,0.0,2
450,0.0,2
451,2.0,2
452,1.0,1
453,1.0,1
454,1.0,1
455,2.0,2
456,0.0,1
457,0.0,0
458,1.0,1
459,1.0,1
460,0.0,0
461,0.0,0
462,2.0,0
463,2.0,2
464,0.0,0
465,1.0,1
466,0.0,0
467,2.0,2
468,1.0,1
469,0.0,0
470,2.0,0
471,1.0,1
472,1.0,1
473,0.0,1
474,2.0,0
475,1.0,1
476,0.0,0
477,2.0,2
478,1.0,1
479,1.0,1
480,0.0,0
481,0.0,0
482,2.0,2
483,2.0,2
484,1.0,1
485,0.0,0
486,2.0,2
487,1.0,1
488,1.0,1
489,2.0,0
490,2.0,2
491,1.0,1
492,0.0,0
493,1.0,1
494,1.0,0
495,1.0,1
496,1.0,1
497,2.0,0
498,2.0,2
499,1.0,1
500,1.0,0
501,0.0,0
502,2.0,0
503,2.0,2
504,0.0,0
505,2.0,2
506,1.0,0
507,2.0,0
508,2.0,2
509,2.0,2
510,1.0,1
511,0.0,0
512,2.0,2
513,2.0,2
514,2.0,2
515,0.0,0
516,2.0,2
517,1.0,1
518,2.0,2
519,1.0,1
520,2.0,2
521,2.0,1
522,1.0,1
523,2.0,2
524,0.0,0
525,1.0,1
526,2.0,2
527,0.0,0
528,1.0,1
529,0.0,0
530,2.0,0
531,0.0,2
532,2.0,0
533,2.0,2
534,1.0,1
535,2.0,2
536,1.0,1
537,2.0,2
538,1.0,0
539,2.0,2
540,0.0,0
541,2.0,2
542,1.0,0
543,2.0,2
544,1.0,0
545,2.0,2
546,2.0,2
547,2.0,2
548,0.0,0
549,1.0,0
550,2.0,2
551,1.0,1
552,0.0,0
553,1.0,1
554,1.0,1
555,2.0,2
556,2.0,2
557,0.0,2
558,0.0,0
559,2.0,2
560,1.0,1
561,1.0,0
562,1.0,1
563,2.0,2
564,1.0,1
565,2.0,2
566,2.0,0
567,0.0,0
568,0.0,0
569,2.0,2
570,1.0,0
571,0.0,0
572,1.0,1
573,2.0,2
574,1.0,0
575,0.0,1
576,2.0,2
577,1.0,1
578,1.0,1
579,1.0,1
580,2.0,2
581,2.0,2
582,2.0,2
583,2.0,2
584,0.0,0
585,1.0,1
586,0.0,0
587,1.0,1
588,2.0,2
589,1.0,1
590,0.0,0
591,2.0,2
592,2.0,2
593,1.0,1
594,2.0,2
595,1.0,1
596,2.0,2
597,1.0,1
598,1.0,1
599,2.0,2
600,1.0,1
601,0.0,0
