,predictions,target
0,0.0,0
1,0.0,1
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,1.0,1
7,1.0,0
8,1.0,1
9,1.0,1
10,0.0,0
11,1.0,1
12,0.0,0
13,1.0,1
14,1.0,0
15,0.0,0
16,0.0,0
17,1.0,1
18,1.0,1
19,0.0,1
20,0.0,1
21,0.0,0
22,0.0,0
23,0.0,0
24,1.0,0
25,1.0,1
26,0.0,0
27,0.0,0
28,0.0,0
29,0.0,0
30,1.0,1
31,0.0,1
32,1.0,1
33,0.0,0
34,1.0,1
35,0.0,0
36,1.0,1
37,1.0,1
38,0.0,0
39,1.0,1
40,1.0,1
41,0.0,0
42,1.0,1
43,0.0,0
44,0.0,0
45,0.0,1
46,0.0,0
47,0.0,0
48,0.0,0
49,1.0,1
50,1.0,0
51,1.0,1
52,0.0,0
53,1.0,1
54,1.0,1
55,1.0,1
56,0.0,0
57,0.0,0
58,0.0,0
59,1.0,1
60,1.0,1
61,1.0,1
62,0.0,1
63,1.0,1
64,1.0,0
65,0.0,0
66,0.0,0
67,0.0,0
68,1.0,1
69,0.0,0
70,0.0,0
71,1.0,1
72,1.0,1
73,1.0,1
74,1.0,0
75,1.0,0
76,0.0,0
77,0.0,0
78,0.0,1
79,1.0,1
80,0.0,0
81,0.0,1
82,0.0,0
83,0.0,1
84,1.0,1
85,0.0,0
86,0.0,1
87,0.0,0
88,1.0,1
89,1.0,1
90,1.0,1
91,0.0,0
92,0.0,0
93,0.0,0
94,1.0,1
95,0.0,0
96,0.0,0
97,1.0,1
98,1.0,1
99,1.0,1
100,0.0,0
101,1.0,1
102,0.0,0
103,1.0,1
104,0.0,0
105,1.0,1
106,0.0,0
107,1.0,1
108,0.0,0
109,1.0,1
110,0.0,0
111,1.0,1
112,0.0,0
113,0.0,0
114,1.0,0
115,1.0,1
116,0.0,0
117,0.0,0
118,0.0,0
119,0.0,0
120,0.0,0
121,0.0,1
122,1.0,1
123,1.0,1
124,1.0,1
125,1.0,1
126,1.0,1
127,0.0,0
128,1.0,1
129,0.0,0
130,1.0,1
131,0.0,0
132,1.0,1
133,1.0,1
134,1.0,1
135,0.0,0
136,0.0,0
137,0.0,0
138,0.0,0
139,0.0,0
140,1.0,1
141,1.0,1
142,1.0,1
143,0.0,0
144,0.0,0
145,0.0,0
146,1.0,1
147,0.0,0
148,0.0,0
149,0.0,0
150,0.0,0
151,0.0,0
152,0.0,1
153,0.0,0
154,0.0,0
155,1.0,1
156,1.0,1
157,1.0,1
158,1.0,1
159,0.0,1
160,0.0,1
161,1.0,1
162,1.0,1
163,1.0,1
164,1.0,0
165,0.0,0
166,0.0,0
167,0.0,0
168,0.0,0
169,1.0,0
170,1.0,1
171,1.0,1
172,1.0,1
173,1.0,1
174,0.0,0
175,0.0,0
176,0.0,0
177,0.0,0
178,1.0,1
179,1.0,1
180,1.0,1
181,0.0,1
182,1.0,1
183,1.0,0
184,1.0,1
185,0.0,1
186,1.0,1
187,0.0,1
188,0.0,0
189,1.0,1
190,0.0,0
191,0.0,1
192,1.0,1
193,1.0,1
194,1.0,1
195,1.0,1
196,1.0,1
197,1.0,1
198,0.0,0
199,0.0,0
200,1.0,1
201,1.0,1
202,1.0,0
203,0.0,0
204,1.0,1
205,0.0,0
206,0.0,0
207,0.0,0
208,1.0,0
209,1.0,1
210,0.0,1
211,1.0,1
212,0.0,0
213,1.0,1
214,0.0,1
215,0.0,0
216,0.0,0
217,1.0,1
218,0.0,0
219,1.0,1
220,0.0,0
221,0.0,0
222,0.0,0
223,0.0,1
224,1.0,0
225,1.0,0
226,0.0,0
227,0.0,0
228,0.0,0
229,0.0,1
230,1.0,1
231,1.0,1
232,1.0,1
233,1.0,1
234,0.0,0
235,1.0,1
236,0.0,0
237,0.0,1
238,0.0,0
