,predictions,target
0,0.0,0
1,1.0,1
2,1.0,0
3,0.0,0
4,1.0,1
5,0.0,0
6,1.0,0
7,0.0,0
8,1.0,1
9,0.0,0
10,1.0,1
11,0.0,0
12,1.0,1
13,0.0,0
14,1.0,1
15,0.0,1
16,0.0,0
17,1.0,1
18,1.0,1
19,0.0,0
20,0.0,0
21,0.0,0
22,0.0,0
23,1.0,1
24,0.0,0
25,0.0,0
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,0
30,1.0,1
31,1.0,1
32,0.0,1
33,1.0,1
34,0.0,0
35,1.0,1
36,1.0,1
37,1.0,1
38,0.0,0
39,0.0,1
40,0.0,0
41,0.0,0
42,0.0,0
43,0.0,1
44,1.0,1
45,1.0,1
46,0.0,0
47,0.0,0
48,0.0,1
49,1.0,1
50,0.0,0
51,0.0,1
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,0
58,0.0,0
59,1.0,1
60,1.0,1
61,1.0,1
62,0.0,1
63,0.0,1
64,1.0,1
65,1.0,1
66,1.0,1
67,1.0,1
68,0.0,1
69,0.0,0
70,0.0,0
71,0.0,0
72,1.0,1
73,1.0,1
74,0.0,1
75,1.0,1
76,1.0,1
77,0.0,0
78,0.0,0
79,0.0,0
80,0.0,0
81,0.0,0
82,1.0,1
83,1.0,1
84,1.0,1
85,0.0,0
86,1.0,1
87,1.0,1
88,1.0,1
89,1.0,1
90,0.0,0
91,0.0,0
92,1.0,1
93,0.0,0
94,0.0,0
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,1.0,1
100,1.0,0
101,0.0,0
102,0.0,0
103,1.0,1
104,1.0,1
105,1.0,1
106,0.0,0
107,1.0,1
108,0.0,0
109,0.0,0
110,1.0,1
111,0.0,0
112,1.0,1
113,1.0,1
114,0.0,0
115,1.0,1
116,0.0,0
117,1.0,1
118,0.0,0
119,0.0,0
120,1.0,1
121,0.0,0
122,1.0,1
123,0.0,0
124,0.0,0
125,0.0,0
126,0.0,1
127,1.0,1
128,0.0,1
129,0.0,0
130,0.0,1
131,0.0,1
132,0.0,0
133,1.0,1
134,1.0,1
135,0.0,1
136,1.0,1
137,0.0,0
138,1.0,1
139,0.0,1
140,0.0,0
141,0.0,0
142,0.0,0
143,0.0,0
144,0.0,1
145,1.0,1
146,0.0,0
147,1.0,1
148,1.0,0
149,0.0,0
150,1.0,1
151,1.0,0
152,1.0,1
153,1.0,1
154,1.0,1
155,1.0,1
156,1.0,1
157,0.0,0
158,0.0,0
159,0.0,0
160,0.0,0
161,0.0,0
162,1.0,1
163,0.0,1
164,0.0,0
165,0.0,0
166,1.0,1
167,0.0,0
168,0.0,0
169,1.0,1
170,1.0,1
171,0.0,0
172,0.0,0
173,0.0,0
174,0.0,0
175,0.0,0
176,0.0,0
177,0.0,0
178,1.0,1
179,0.0,0
180,0.0,0
181,0.0,0
182,0.0,1
183,1.0,1
184,1.0,1
185,1.0,1
186,1.0,1
187,0.0,0
188,1.0,1
189,1.0,1
190,0.0,0
191,1.0,1
192,1.0,1
193,0.0,1
194,1.0,1
195,1.0,1
196,1.0,0
197,0.0,0
198,0.0,0
199,0.0,0
200,1.0,1
201,0.0,0
202,1.0,1
203,0.0,1
204,0.0,0
205,0.0,0
206,1.0,0
207,0.0,0
208,0.0,0
209,1.0,1
210,0.0,1
211,0.0,0
212,1.0,1
213,1.0,1
214,0.0,0
215,0.0,0
216,0.0,0
217,1.0,1
218,1.0,0
219,0.0,0
220,1.0,1
221,0.0,0
222,1.0,1
223,0.0,0
224,1.0,1
225,0.0,0
226,0.0,0
227,1.0,1
228,1.0,0
229,1.0,0
230,1.0,1
231,0.0,0
232,0.0,0
233,0.0,0
234,1.0,1
235,1.0,1
236,0.0,0
237,0.0,0
238,1.0,1
239,1.0,1
240,1.0,1
241,0.0,0
242,1.0,1
243,0.0,1
244,1.0,1
245,0.0,0
246,0.0,0
247,0.0,0
248,0.0,1
249,0.0,0
250,0.0,0
251,0.0,0
252,0.0,0
253,0.0,0
254,0.0,0
255,1.0,1
256,0.0,0
257,0.0,0
258,1.0,1
259,0.0,0
260,1.0,1
261,1.0,1
262,0.0,0
263,0.0,0
264,1.0,1
265,1.0,1
266,0.0,0
267,0.0,0
268,0.0,0
269,1.0,1
270,0.0,0
271,0.0,1
272,1.0,1
273,1.0,1
274,0.0,0
275,1.0,1
276,1.0,1
277,1.0,1
278,0.0,0
279,0.0,0
280,1.0,1
281,1.0,1
282,1.0,1
283,0.0,1
284,1.0,1
285,0.0,0
286,0.0,0
287,1.0,1
288,0.0,0
289,1.0,1
290,0.0,0
291,1.0,1
292,0.0,1
293,1.0,1
294,0.0,0
295,1.0,1
296,0.0,0
297,0.0,0
298,1.0,1
299,1.0,1
300,0.0,0
301,0.0,0
302,0.0,0
303,0.0,0
304,0.0,0
305,1.0,0
306,0.0,0
307,0.0,0
308,0.0,0
309,1.0,1
310,0.0,0
311,0.0,0
312,0.0,0
313,0.0,0
314,0.0,0
315,0.0,0
316,0.0,0
317,0.0,0
318,1.0,1
319,0.0,0
320,0.0,1
321,0.0,0
322,1.0,1
323,1.0,1
324,0.0,0
325,1.0,1
326,0.0,0
327,1.0,1
328,0.0,1
329,1.0,1
330,1.0,1
331,0.0,0
332,1.0,1
333,1.0,0
334,1.0,1
335,0.0,0
336,0.0,0
337,0.0,0
338,1.0,0
339,1.0,1
340,0.0,0
341,1.0,1
342,1.0,1
343,0.0,0
344,0.0,0
345,0.0,0
346,1.0,1
347,0.0,0
348,1.0,1
349,0.0,0
350,0.0,0
351,0.0,0
352,1.0,1
353,0.0,0
354,0.0,0
355,0.0,0
356,1.0,1
357,0.0,0
358,0.0,0
359,0.0,0
360,1.0,1
361,1.0,1
362,0.0,0
363,1.0,0
364,0.0,0
365,1.0,1
366,1.0,1
367,0.0,1
368,1.0,0
369,1.0,1
370,1.0,1
371,0.0,1
372,1.0,1
373,0.0,0
374,1.0,1
375,0.0,1
376,0.0,0
377,1.0,1
378,0.0,0
379,0.0,0
380,1.0,1
381,1.0,1
382,0.0,1
383,1.0,1
384,1.0,1
385,1.0,1
386,0.0,0
387,0.0,0
388,1.0,1
389,1.0,1
390,1.0,1
391,1.0,1
392,1.0,1
393,1.0,1
394,0.0,0
395,1.0,1
396,0.0,0
397,0.0,0
398,0.0,0
399,0.0,0
400,1.0,1
401,0.0,0
402,0.0,0
403,0.0,0
404,1.0,1
405,0.0,1
406,1.0,1
407,0.0,0
408,1.0,1
409,0.0,0
410,1.0,0
411,0.0,0
412,1.0,1
413,1.0,1
414,1.0,1
415,1.0,1
416,1.0,1
417,0.0,0
418,0.0,1
419,1.0,1
420,1.0,1
421,0.0,0
422,0.0,1
423,0.0,0
424,1.0,1
425,1.0,1
426,1.0,1
427,1.0,1
428,1.0,1
429,0.0,1
430,0.0,1
431,1.0,1
432,1.0,1
433,1.0,1
434,1.0,1
435,1.0,1
436,1.0,1
437,1.0,1
438,1.0,1
439,0.0,1
440,1.0,1
441,0.0,0
442,0.0,0
443,1.0,1
444,1.0,1
445,1.0,1
446,0.0,0
447,1.0,0
448,1.0,0
449,0.0,1
450,0.0,1
451,0.0,0
452,1.0,1
453,1.0,1
454,1.0,1
455,0.0,0
456,0.0,0
457,0.0,0
458,0.0,1
459,1.0,0
460,1.0,1
461,0.0,0
462,0.0,0
463,1.0,1
464,1.0,1
465,0.0,0
466,1.0,1
467,0.0,0
468,1.0,1
469,1.0,1
470,0.0,0
471,1.0,0
472,0.0,1
473,1.0,1
474,0.0,1
475,1.0,1
476,0.0,0
477,0.0,0
478,1.0,1
479,1.0,1
480,1.0,1
481,0.0,0
482,0.0,0
483,1.0,1
484,0.0,0
485,1.0,1
486,1.0,1
487,0.0,0
488,0.0,0
489,0.0,0
490,0.0,0
491,0.0,0
492,0.0,0
493,1.0,1
494,1.0,1
495,0.0,0
496,0.0,0
497,0.0,0
498,1.0,1
499,0.0,1
500,1.0,1
501,0.0,0
502,1.0,1
503,0.0,0
504,0.0,0
505,1.0,1
506,0.0,0
507,1.0,1
508,1.0,0
509,1.0,1
510,1.0,1
511,1.0,0
512,0.0,0
513,0.0,1
514,0.0,0
515,1.0,1
516,1.0,1
517,1.0,1
518,0.0,0
519,0.0,0
520,1.0,1
521,0.0,0
