,predictions,target
0,2.0,2
1,2.0,2
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,1.0,1
7,1.0,1
8,0.0,0
9,0.0,0
10,2.0,2
11,2.0,2
12,2.0,2
13,2.0,0
14,2.0,2
15,0.0,0
16,1.0,1
17,0.0,1
18,1.0,1
19,1.0,1
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,0.0,2
25,2.0,0
26,2.0,2
27,2.0,2
28,1.0,1
29,0.0,0
30,0.0,0
31,1.0,1
32,2.0,0
33,2.0,2
34,1.0,1
35,2.0,2
36,2.0,2
37,1.0,1
38,0.0,0
39,2.0,2
40,2.0,2
41,0.0,0
42,1.0,1
43,0.0,0
44,1.0,1
45,2.0,2
46,0.0,2
47,1.0,1
48,1.0,1
49,1.0,1
50,0.0,2
51,1.0,1
52,2.0,0
53,2.0,2
54,1.0,1
55,1.0,1
56,0.0,0
57,0.0,0
58,2.0,2
59,2.0,2
60,0.0,0
61,1.0,1
62,0.0,0
63,0.0,0
64,1.0,1
65,2.0,2
66,1.0,1
67,0.0,0
68,0.0,0
69,0.0,0
70,0.0,0
71,0.0,2
72,1.0,1
73,0.0,0
74,2.0,2
75,1.0,1
76,1.0,1
77,1.0,2
78,1.0,1
79,1.0,1
80,1.0,1
81,0.0,0
82,1.0,1
83,1.0,0
84,0.0,0
85,1.0,1
86,2.0,2
87,2.0,0
88,2.0,2
89,1.0,1
90,2.0,2
91,1.0,1
92,1.0,1
93,2.0,2
94,0.0,0
95,2.0,2
96,0.0,0
97,2.0,2
98,1.0,1
99,1.0,1
100,0.0,0
101,1.0,1
102,1.0,1
103,2.0,2
104,2.0,2
105,1.0,1
106,0.0,0
107,1.0,1
108,2.0,2
109,1.0,1
110,2.0,2
111,0.0,0
112,1.0,1
113,2.0,2
114,0.0,0
115,2.0,2
116,0.0,0
117,2.0,2
118,1.0,1
119,1.0,1
120,2.0,1
121,0.0,1
122,2.0,2
123,1.0,1
124,0.0,0
125,2.0,2
126,2.0,0
127,0.0,0
128,2.0,2
129,2.0,2
130,1.0,0
131,2.0,0
132,1.0,1
133,1.0,1
134,1.0,1
135,2.0,1
136,1.0,1
137,0.0,0
138,0.0,0
139,1.0,1
140,2.0,2
141,1.0,1
142,1.0,1
143,1.0,1
144,0.0,0
145,1.0,1
146,2.0,2
147,0.0,0
148,0.0,0
149,1.0,1
150,1.0,1
151,2.0,2
152,1.0,1
153,2.0,2
154,0.0,0
155,2.0,2
156,1.0,1
157,1.0,1
158,0.0,0
159,1.0,1
160,2.0,2
161,2.0,2
162,2.0,0
163,1.0,1
164,1.0,1
165,0.0,0
166,0.0,0
167,0.0,0
168,1.0,0
169,1.0,1
170,1.0,1
171,1.0,1
172,0.0,2
173,1.0,1
174,1.0,1
175,0.0,2
176,1.0,1
177,0.0,0
178,1.0,1
179,0.0,0
180,1.0,1
181,2.0,2
182,1.0,1
183,2.0,0
184,0.0,0
185,1.0,1
186,0.0,0
187,2.0,2
188,2.0,2
189,1.0,1
190,1.0,1
191,0.0,1
192,2.0,2
193,0.0,0
194,1.0,1
195,1.0,1
196,2.0,2
197,2.0,2
198,0.0,0
199,2.0,0
200,2.0,0
201,1.0,0
202,0.0,1
203,2.0,0
204,2.0,2
205,2.0,1
206,0.0,0
207,1.0,1
208,1.0,0
209,0.0,0
210,0.0,0
211,0.0,0
212,0.0,0
213,0.0,0
214,1.0,1
215,1.0,1
216,1.0,1
217,2.0,2
218,2.0,2
219,2.0,2
220,1.0,1
221,2.0,0
222,0.0,0
223,2.0,0
224,0.0,0
225,2.0,2
226,1.0,1
227,2.0,2
228,2.0,2
229,2.0,2
230,1.0,1
231,2.0,2
232,0.0,2
233,2.0,2
234,2.0,0
235,2.0,2
236,2.0,2
237,2.0,2
238,2.0,2
239,1.0,1
240,1.0,1
241,0.0,0
242,2.0,2
243,0.0,2
244,2.0,2
245,1.0,1
246,2.0,2
247,2.0,2
248,2.0,2
249,2.0,2
250,2.0,2
251,1.0,1
252,1.0,1
253,0.0,0
254,2.0,2
255,0.0,0
256,2.0,2
257,1.0,1
258,1.0,0
259,1.0,2
260,1.0,1
261,2.0,2
262,2.0,2
263,1.0,1
264,2.0,2
265,1.0,1
266,0.0,0
267,2.0,0
268,1.0,1
269,2.0,2
270,2.0,0
271,2.0,2
272,0.0,0
273,1.0,1
274,2.0,2
275,2.0,2
276,1.0,1
277,2.0,0
278,2.0,2
279,2.0,2
280,2.0,2
281,2.0,2
282,2.0,0
283,1.0,1
284,0.0,1
285,2.0,2
286,0.0,0
287,0.0,0
288,0.0,0
289,0.0,0
290,1.0,1
291,2.0,2
292,1.0,1
293,1.0,1
294,0.0,0
295,2.0,2
296,2.0,0
297,1.0,1
298,0.0,2
299,1.0,1
300,0.0,2
301,1.0,1
302,0.0,0
303,2.0,2
304,1.0,1
305,2.0,2
306,1.0,1
307,1.0,1
308,2.0,2
309,1.0,1
310,2.0,2
311,0.0,0
312,2.0,0
313,0.0,2
314,1.0,1
315,2.0,2
316,1.0,1
317,1.0,1
318,1.0,1
319,2.0,2
320,1.0,0
321,2.0,2
322,1.0,1
323,1.0,1
324,1.0,1
325,1.0,1
326,2.0,2
327,0.0,0
328,1.0,1
329,0.0,0
330,2.0,2
331,2.0,2
332,1.0,1
333,1.0,0
334,0.0,0
335,1.0,1
336,0.0,0
337,2.0,2
338,2.0,0
339,0.0,0
340,2.0,2
341,0.0,0
342,2.0,2
343,1.0,1
344,2.0,2
345,2.0,2
346,2.0,2
347,2.0,2
348,1.0,1
349,1.0,1
350,1.0,1
351,1.0,1
352,0.0,0
353,2.0,2
354,1.0,1
355,2.0,0
356,1.0,1
357,2.0,2
358,2.0,2
359,1.0,1
360,2.0,2
361,2.0,2
362,2.0,2
363,2.0,2
364,1.0,1
365,1.0,1
366,1.0,1
367,1.0,1
368,1.0,0
369,1.0,0
370,2.0,0
371,2.0,0
372,2.0,2
373,2.0,2
374,1.0,1
375,1.0,1
376,2.0,2
377,2.0,2
378,0.0,0
379,2.0,2
380,0.0,2
381,1.0,1
382,0.0,0
383,0.0,0
384,2.0,2
385,1.0,1
386,2.0,0
387,2.0,2
388,1.0,0
389,1.0,1
390,1.0,1
391,0.0,2
392,0.0,0
393,0.0,2
394,2.0,2
395,2.0,2
396,0.0,2
397,1.0,1
398,2.0,2
399,2.0,2
400,2.0,2
401,0.0,0
402,1.0,1
403,2.0,2
404,1.0,1
405,1.0,1
406,0.0,0
407,0.0,0
408,2.0,0
409,1.0,1
410,1.0,1
411,1.0,1
412,1.0,1
413,0.0,0
414,0.0,2
415,0.0,0
416,2.0,2
417,1.0,1
418,1.0,1
419,2.0,2
420,2.0,0
421,1.0,1
422,0.0,0
423,1.0,1
424,1.0,1
425,1.0,1
426,0.0,0
427,1.0,1
428,2.0,2
429,2.0,1
430,0.0,0
431,0.0,0
432,1.0,1
433,1.0,1
434,1.0,1
435,0.0,2
436,0.0,0
437,0.0,2
438,0.0,0
439,2.0,0
440,1.0,0
441,0.0,0
442,0.0,0
443,2.0,2
444,2.0,2
445,2.0,2
446,2.0,2
447,2.0,2
448,0.0,0
449,2.0,2
450,1.0,1
451,0.0,0
452,2.0,2
453,0.0,0
454,2.0,2
455,0.0,2
456,0.0,0
457,0.0,2
458,0.0,0
459,2.0,2
460,1.0,1
461,0.0,0
462,2.0,0
463,0.0,0
464,0.0,0
465,2.0,2
466,1.0,1
467,2.0,0
468,2.0,2
469,1.0,1
470,2.0,2
471,2.0,2
472,2.0,0
473,0.0,0
474,1.0,1
475,2.0,2
476,0.0,0
477,1.0,1
478,0.0,0
479,1.0,1
480,0.0,1
481,2.0,2
482,1.0,1
483,2.0,2
484,1.0,1
485,2.0,2
486,2.0,2
487,1.0,1
488,0.0,0
489,1.0,1
490,0.0,0
491,2.0,2
492,0.0,1
493,0.0,0
494,1.0,0
495,1.0,1
496,2.0,2
497,2.0,2
498,0.0,0
499,1.0,1
500,1.0,1
501,0.0,0
502,0.0,0
503,2.0,2
504,0.0,2
505,0.0,0
506,0.0,0
507,0.0,0
508,0.0,0
509,1.0,1
510,0.0,0
511,2.0,2
512,0.0,0
513,2.0,2
514,1.0,1
515,0.0,0
516,1.0,0
517,1.0,1
518,1.0,1
519,1.0,1
520,2.0,2
521,0.0,0
522,1.0,1
523,0.0,1
524,1.0,1
525,2.0,2
526,1.0,1
527,2.0,2
528,2.0,2
529,0.0,0
530,0.0,0
531,1.0,1
532,0.0,0
533,0.0,0
534,1.0,1
535,2.0,2
536,2.0,2
537,1.0,1
538,0.0,0
539,1.0,1
540,0.0,0
541,1.0,1
542,2.0,2
543,0.0,0
544,2.0,0
545,2.0,2
546,2.0,2
547,2.0,2
548,0.0,2
549,2.0,2
550,2.0,2
551,0.0,0
552,1.0,1
553,2.0,2
554,1.0,1
555,2.0,2
556,2.0,2
557,2.0,0
558,2.0,2
559,0.0,0
560,1.0,1
561,0.0,0
562,2.0,2
563,1.0,1
564,1.0,1
565,0.0,0
566,1.0,1
567,0.0,0
568,0.0,2
569,2.0,2
570,0.0,0
571,2.0,2
572,1.0,1
573,2.0,2
574,0.0,0
575,2.0,2
576,2.0,2
577,2.0,2
578,2.0,2
579,0.0,0
580,1.0,1
581,2.0,2
582,2.0,2
583,1.0,1
584,1.0,1
585,0.0,0
586,2.0,2
587,2.0,2
588,1.0,1
589,2.0,0
590,2.0,2
591,0.0,0
592,2.0,2
593,1.0,1
594,2.0,2
595,1.0,1
596,2.0,0
597,0.0,0
598,2.0,2
599,0.0,0
600,2.0,0
601,0.0,2
602,0.0,0
603,0.0,0
604,2.0,2
605,0.0,0
606,2.0,2
607,1.0,1
608,0.0,0
609,0.0,0
610,2.0,2
611,0.0,0
612,1.0,1
613,0.0,0
614,1.0,1
615,2.0,2
616,1.0,0
617,0.0,0
618,1.0,0
619,0.0,0
620,1.0,1
621,2.0,2
622,2.0,2
623,0.0,2
624,1.0,1
625,2.0,2
626,0.0,0
627,2.0,2
628,2.0,2
629,0.0,0
630,1.0,1
631,2.0,1
632,1.0,1
633,0.0,0
634,0.0,0
635,1.0,1
636,0.0,0
637,0.0,0
638,2.0,2
639,2.0,2
640,0.0,0
641,1.0,1
642,0.0,0
643,1.0,1
644,0.0,0
645,1.0,1
646,0.0,0
647,1.0,1
648,2.0,2
649,2.0,2
650,2.0,2
651,1.0,1
652,0.0,0
653,0.0,0
654,1.0,1
655,1.0,1
656,2.0,2
657,2.0,0
658,0.0,1
659,1.0,1
660,2.0,2
661,1.0,1
662,0.0,2
663,2.0,0
664,2.0,2
665,1.0,1
666,1.0,1
667,2.0,2
668,1.0,1
669,0.0,0
670,0.0,0
671,0.0,2
672,1.0,1
673,2.0,2
674,1.0,1
675,1.0,1
676,1.0,1
677,2.0,0
678,2.0,0
679,1.0,1
680,1.0,1
681,0.0,0
682,1.0,1
683,2.0,2
684,2.0,2
685,1.0,1
686,1.0,1
687,1.0,1
688,1.0,1
689,0.0,0
690,0.0,0
691,1.0,1
692,2.0,2
693,1.0,1
694,0.0,0
695,1.0,1
696,2.0,2
697,0.0,2
698,1.0,1
699,1.0,0
700,0.0,1
701,0.0,0
702,1.0,1
703,0.0,0
704,2.0,2
705,0.0,0
706,2.0,2
707,0.0,0
708,2.0,2
709,2.0,2
710,1.0,1
711,0.0,0
712,2.0,0
713,1.0,1
714,0.0,0
715,2.0,2
716,0.0,2
717,1.0,1
718,0.0,0
719,2.0,2
720,1.0,1
721,0.0,0
722,2.0,2
723,1.0,1
724,1.0,1
725,0.0,1
726,0.0,1
727,1.0,1
728,2.0,0
729,0.0,0
730,2.0,0
731,1.0,1
732,1.0,0
733,1.0,1
734,1.0,1
735,2.0,0
736,0.0,0
737,1.0,1
738,0.0,0
739,1.0,1
740,1.0,1
741,2.0,2
742,1.0,1
743,1.0,1
744,1.0,1
745,2.0,2
746,0.0,0
747,2.0,2
748,1.0,1
749,1.0,1
750,0.0,0
751,1.0,1
752,1.0,1
753,1.0,0
754,0.0,0
755,0.0,2
756,0.0,0
757,1.0,0
758,1.0,1
759,0.0,0
760,1.0,1
761,0.0,0
762,2.0,2
763,2.0,0
764,0.0,0
765,2.0,2
766,2.0,2
767,1.0,1
768,1.0,1
769,1.0,0
770,2.0,0
771,0.0,1
772,1.0,1
773,2.0,2
774,1.0,1
775,2.0,2
776,0.0,0
777,2.0,2
778,2.0,2
779,2.0,0
780,2.0,0
781,2.0,0
782,0.0,0
783,0.0,0
784,2.0,0
785,0.0,0
786,1.0,1
787,1.0,1
788,2.0,0
789,0.0,0
790,0.0,1
791,1.0,2
792,2.0,2
793,1.0,1
794,2.0,2
795,0.0,0
796,0.0,0
797,0.0,0
798,2.0,2
799,1.0,0
800,2.0,0
801,2.0,0
802,2.0,2
803,0.0,0
804,2.0,0
805,0.0,0
806,0.0,2
807,1.0,1
808,2.0,2
809,2.0,2
810,0.0,0
811,0.0,0
812,1.0,0
813,2.0,2
814,1.0,1
815,0.0,0
816,0.0,0
817,1.0,0
818,2.0,2
819,1.0,0
820,2.0,2
821,1.0,1
822,2.0,2
823,0.0,0
824,0.0,0
825,2.0,2
826,2.0,2
827,0.0,0
828,0.0,0
829,2.0,0
830,0.0,0
831,1.0,1
832,0.0,0
833,1.0,1
834,0.0,0
835,1.0,1
836,1.0,1
837,2.0,0
838,0.0,0
839,0.0,0
840,0.0,2
841,0.0,0
842,1.0,1
843,2.0,2
844,0.0,0
845,1.0,0
846,0.0,0
847,0.0,0
848,0.0,0
849,1.0,1
850,0.0,0
851,0.0,0
852,2.0,0
853,0.0,0
854,2.0,2
855,0.0,0
856,1.0,1
857,0.0,0
858,2.0,2
859,1.0,1
860,2.0,2
861,2.0,2
862,0.0,2
863,2.0,2
864,0.0,0
865,0.0,0
866,0.0,2
867,0.0,0
868,0.0,0
869,2.0,2
870,2.0,2
871,0.0,0
872,2.0,2
873,0.0,0
874,2.0,2
875,0.0,0
876,0.0,0
877,2.0,2
878,0.0,0
879,2.0,2
880,1.0,1
881,2.0,2
882,2.0,2
883,2.0,0
884,0.0,2
885,0.0,0
886,2.0,2
887,1.0,1
888,2.0,2
889,0.0,1
890,0.0,0
891,2.0,2
892,2.0,2
893,1.0,1
894,1.0,1
895,0.0,0
896,1.0,1
897,0.0,0
898,0.0,0
899,2.0,2
900,2.0,2
901,2.0,2
902,0.0,0
903,0.0,0
904,2.0,2
905,2.0,2
906,0.0,0
907,1.0,1
908,0.0,0
909,2.0,0
910,2.0,0
911,2.0,0
912,2.0,0
913,0.0,0
914,1.0,1
915,1.0,1
916,0.0,0
917,0.0,0
918,2.0,2
919,0.0,0
920,0.0,0
921,0.0,0
922,1.0,1
923,2.0,2
924,2.0,2
925,0.0,0
926,2.0,2
927,1.0,1
928,0.0,1
929,0.0,0
930,2.0,2
931,0.0,2
932,0.0,0
933,0.0,0
934,0.0,0
935,1.0,1
936,0.0,0
937,0.0,0
938,2.0,0
939,2.0,2
940,0.0,0
941,0.0,0
942,2.0,2
943,2.0,2
944,0.0,0
945,0.0,0
946,0.0,0
947,2.0,2
948,1.0,1
949,0.0,0
950,1.0,1
951,0.0,0
952,0.0,2
953,0.0,2
954,0.0,0
955,0.0,0
956,0.0,0
957,2.0,2
958,0.0,0
959,0.0,0
960,0.0,0
961,2.0,2
962,0.0,0
963,2.0,2
964,0.0,0
965,0.0,2
966,0.0,0
967,1.0,1
968,0.0,1
969,1.0,1
970,0.0,0
971,1.0,1
972,0.0,0
973,0.0,0
974,2.0,2
975,0.0,1
976,0.0,0
977,0.0,0
978,0.0,0
979,0.0,0
980,1.0,1
981,0.0,0
982,1.0,1
983,0.0,0
984,1.0,1
985,0.0,0
986,2.0,2
987,0.0,0
988,2.0,2
989,0.0,0
990,1.0,1
991,1.0,1
992,1.0,1
993,1.0,1
994,0.0,0
995,0.0,0
996,2.0,2
997,0.0,0
998,0.0,2
999,0.0,0
1000,2.0,2
1001,0.0,0
1002,0.0,0
1003,1.0,1
1004,1.0,1
1005,1.0,1
1006,1.0,1
