,predictions,target
0,1.0,1
1,1.0,1
2,0.0,0
3,0.0,1
4,0.0,0
5,1.0,1
6,1.0,0
7,1.0,1
8,0.0,0
9,0.0,0
10,0.0,0
11,0.0,0
12,1.0,1
13,1.0,1
14,0.0,0
15,0.0,1
16,0.0,0
17,0.0,0
18,0.0,0
19,0.0,0
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,1.0,0
29,0.0,0
30,1.0,1
31,0.0,0
32,1.0,0
33,0.0,0
34,0.0,0
35,1.0,1
36,1.0,1
37,1.0,1
38,1.0,1
39,0.0,1
40,1.0,1
41,1.0,1
42,0.0,0
43,0.0,0
44,1.0,1
45,1.0,1
46,0.0,0
47,1.0,0
48,1.0,1
49,1.0,1
50,0.0,1
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,1.0,1
56,0.0,0
57,0.0,0
58,0.0,0
59,1.0,1
60,1.0,1
61,1.0,1
62,0.0,1
63,1.0,1
64,1.0,1
65,0.0,0
66,1.0,1
67,1.0,0
68,0.0,0
69,0.0,0
70,0.0,0
71,1.0,1
72,0.0,0
73,1.0,1
74,1.0,1
75,1.0,1
76,1.0,1
77,0.0,0
78,0.0,0
79,1.0,1
80,1.0,1
81,0.0,0
82,0.0,0
83,0.0,0
84,0.0,0
85,1.0,0
86,1.0,1
87,0.0,0
88,1.0,1
89,1.0,1
90,0.0,0
91,1.0,1
92,0.0,0
93,0.0,0
94,0.0,0
95,0.0,0
96,0.0,0
97,0.0,0
98,1.0,1
99,0.0,1
100,0.0,0
101,1.0,1
102,0.0,0
103,0.0,0
104,1.0,1
105,1.0,1
106,0.0,0
107,0.0,0
108,0.0,0
109,1.0,1
110,1.0,1
111,1.0,1
112,1.0,1
113,1.0,1
114,0.0,0
115,1.0,1
116,0.0,0
117,0.0,0
118,0.0,0
119,0.0,0
120,0.0,0
121,1.0,1
122,1.0,1
123,0.0,0
124,1.0,0
125,0.0,0
126,1.0,1
127,0.0,0
128,1.0,0
129,1.0,0
130,1.0,1
131,0.0,0
132,1.0,1
133,0.0,0
134,1.0,1
135,1.0,1
136,0.0,0
137,1.0,1
138,0.0,0
139,0.0,0
140,1.0,1
141,1.0,1
142,0.0,0
143,1.0,1
144,0.0,0
145,1.0,1
146,0.0,1
147,0.0,0
148,0.0,0
149,0.0,1
150,0.0,0
151,1.0,1
152,1.0,1
153,1.0,1
154,0.0,0
155,1.0,1
156,1.0,1
157,0.0,0
158,0.0,0
159,1.0,1
160,0.0,0
161,0.0,0
162,0.0,0
163,0.0,0
164,0.0,1
165,0.0,0
166,0.0,0
167,1.0,1
168,0.0,0
169,0.0,0
170,1.0,0
171,1.0,1
172,1.0,1
173,1.0,1
174,0.0,0
175,1.0,1
176,1.0,1
177,1.0,0
178,0.0,0
179,0.0,0
180,0.0,0
181,0.0,0
182,1.0,1
183,1.0,1
184,1.0,1
185,0.0,0
186,0.0,0
187,1.0,1
188,0.0,0
