,predictions,target
0,0.0,0
1,1.0,1
2,1.0,1
3,1.0,0
4,0.0,0
5,1.0,1
6,0.0,0
7,1.0,0
8,0.0,0
9,1.0,1
10,1.0,1
11,0.0,0
12,1.0,1
13,0.0,0
14,1.0,1
15,0.0,1
16,0.0,0
17,1.0,1
18,1.0,1
19,0.0,0
20,0.0,0
21,0.0,0
22,0.0,0
23,1.0,1
24,0.0,0
25,0.0,0
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,0.0,0
31,1.0,1
32,0.0,1
33,1.0,1
34,0.0,0
35,1.0,1
36,1.0,1
37,1.0,1
38,0.0,0
39,0.0,1
40,0.0,0
41,0.0,0
42,0.0,0
43,1.0,1
44,1.0,1
45,1.0,1
46,0.0,0
47,0.0,0
48,1.0,1
49,0.0,0
50,0.0,1
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,0
58,1.0,1
59,1.0,1
60,1.0,1
61,1.0,1
62,0.0,1
63,1.0,1
64,1.0,1
65,1.0,1
66,1.0,1
67,0.0,1
68,0.0,0
69,0.0,0
70,0.0,0
71,1.0,1
72,1.0,1
73,1.0,1
74,1.0,1
75,1.0,1
76,0.0,0
77,0.0,0
78,0.0,0
79,0.0,0
80,0.0,0
81,1.0,1
82,1.0,1
83,1.0,1
84,0.0,0
85,1.0,1
86,1.0,1
87,0.0,0
88,1.0,1
89,0.0,0
90,0.0,0
91,1.0,1
92,0.0,0
93,0.0,0
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,1.0,0
100,0.0,0
101,0.0,0
102,1.0,1
103,1.0,1
104,1.0,1
105,1.0,1
106,0.0,0
107,0.0,0
108,1.0,1
109,0.0,0
110,1.0,1
111,1.0,1
112,0.0,0
113,1.0,1
114,0.0,0
115,1.0,1
116,0.0,0
117,0.0,0
118,0.0,0
119,1.0,1
120,0.0,0
121,1.0,1
122,0.0,0
123,0.0,0
124,0.0,1
125,1.0,1
126,1.0,1
127,0.0,0
128,0.0,1
129,0.0,1
130,0.0,0
131,1.0,1
132,1.0,1
133,1.0,1
134,1.0,1
135,0.0,0
136,1.0,1
137,1.0,1
138,0.0,0
139,0.0,0
140,0.0,0
141,0.0,0
142,1.0,1
143,0.0,0
144,0.0,0
145,1.0,1
146,1.0,0
147,0.0,0
148,1.0,1
149,1.0,0
150,1.0,1
151,1.0,1
152,1.0,1
153,1.0,1
154,1.0,1
155,0.0,0
156,0.0,0
157,0.0,0
158,0.0,0
159,0.0,0
160,1.0,1
161,1.0,1
162,0.0,0
163,1.0,1
164,1.0,0
165,0.0,0
166,1.0,1
167,1.0,1
168,0.0,0
169,0.0,0
170,0.0,0
171,0.0,0
172,0.0,0
173,0.0,0
174,0.0,0
175,0.0,0
176,1.0,1
177,0.0,0
178,0.0,0
179,0.0,0
180,1.0,1
181,1.0,1
182,1.0,1
183,1.0,1
184,0.0,0
185,1.0,1
186,1.0,1
187,0.0,0
188,1.0,1
189,1.0,1
190,1.0,1
191,1.0,1
192,1.0,1
193,1.0,0
194,0.0,0
195,0.0,0
196,0.0,0
197,1.0,1
198,0.0,0
199,1.0,1
200,0.0,0
201,1.0,1
202,0.0,0
203,1.0,0
204,0.0,0
205,0.0,0
206,1.0,1
207,0.0,1
208,0.0,0
209,1.0,1
210,1.0,1
211,0.0,0
212,0.0,0
213,0.0,0
214,1.0,1
215,1.0,0
216,0.0,0
217,1.0,1
218,0.0,0
219,0.0,0
220,1.0,1
221,0.0,0
222,0.0,0
223,1.0,1
224,1.0,0
225,1.0,0
226,1.0,1
227,0.0,0
228,0.0,0
229,0.0,0
230,0.0,0
231,1.0,1
232,1.0,1
233,0.0,0
234,0.0,0
235,1.0,1
236,1.0,1
237,1.0,1
238,1.0,1
239,0.0,1
240,1.0,1
241,0.0,0
242,0.0,0
243,0.0,0
244,0.0,1
245,0.0,0
246,0.0,0
247,0.0,0
248,0.0,0
249,0.0,0
250,0.0,0
251,1.0,1
252,0.0,0
253,0.0,0
254,1.0,1
255,0.0,0
256,1.0,1
257,0.0,0
258,1.0,0
259,0.0,0
260,1.0,1
261,1.0,1
262,0.0,0
263,0.0,0
264,0.0,0
265,1.0,1
266,0.0,0
267,0.0,1
268,1.0,1
269,1.0,1
270,0.0,0
271,1.0,1
272,1.0,1
273,1.0,1
274,0.0,0
275,0.0,0
276,1.0,1
277,1.0,1
278,0.0,1
279,1.0,1
280,0.0,0
281,0.0,0
282,1.0,1
283,0.0,0
284,1.0,1
285,0.0,0
286,1.0,1
287,1.0,1
288,0.0,1
289,1.0,1
290,0.0,0
291,1.0,1
292,0.0,0
293,0.0,0
294,1.0,1
295,0.0,0
296,0.0,0
297,0.0,0
298,0.0,0
299,0.0,0
300,1.0,0
301,0.0,0
302,0.0,0
303,0.0,0
304,1.0,1
305,0.0,0
306,0.0,0
307,0.0,0
308,0.0,0
309,0.0,0
310,0.0,0
311,0.0,0
312,0.0,0
313,1.0,1
314,0.0,1
315,1.0,1
316,0.0,0
317,1.0,1
318,1.0,1
319,0.0,0
320,1.0,1
321,0.0,0
322,1.0,1
323,0.0,1
324,1.0,1
325,1.0,1
326,0.0,0
327,1.0,1
328,1.0,0
329,1.0,1
330,0.0,0
331,0.0,0
332,0.0,0
333,1.0,1
334,0.0,0
335,1.0,1
336,1.0,1
337,0.0,0
338,0.0,0
339,0.0,0
340,1.0,1
341,0.0,0
342,1.0,1
343,0.0,0
344,1.0,1
345,0.0,0
346,0.0,0
347,1.0,1
348,0.0,0
349,0.0,0
350,0.0,0
351,1.0,1
352,0.0,0
353,0.0,0
354,1.0,1
355,1.0,1
356,0.0,0
357,1.0,0
358,0.0,0
359,1.0,1
360,1.0,1
361,0.0,1
362,1.0,0
363,1.0,1
364,1.0,1
365,0.0,1
366,1.0,1
367,0.0,0
368,1.0,1
369,0.0,1
370,0.0,0
371,0.0,0
372,0.0,0
373,0.0,0
374,1.0,1
375,1.0,1
376,0.0,1
377,1.0,1
378,1.0,1
379,1.0,1
380,0.0,0
381,0.0,0
382,1.0,1
383,1.0,1
384,1.0,1
385,1.0,1
386,1.0,1
387,1.0,1
388,0.0,0
389,1.0,1
390,0.0,0
391,0.0,0
392,0.0,0
393,1.0,1
394,0.0,0
395,0.0,0
396,0.0,0
397,1.0,1
398,0.0,1
399,1.0,1
400,0.0,0
401,0.0,0
402,1.0,1
403,0.0,0
404,1.0,0
405,0.0,0
406,1.0,1
407,1.0,1
408,1.0,1
409,1.0,1
410,0.0,0
411,0.0,1
412,1.0,1
413,1.0,1
414,0.0,0
415,0.0,1
416,0.0,0
417,1.0,1
418,1.0,1
419,1.0,1
420,1.0,1
421,1.0,1
422,0.0,1
423,0.0,1
424,1.0,1
425,1.0,1
426,1.0,1
427,0.0,1
428,1.0,1
429,0.0,0
430,1.0,1
431,1.0,1
432,0.0,1
433,1.0,1
434,0.0,0
435,0.0,0
436,1.0,1
437,1.0,1
438,1.0,1
439,0.0,0
440,1.0,0
441,1.0,0
442,0.0,1
443,0.0,1
444,0.0,0
445,1.0,1
446,1.0,1
447,0.0,0
448,0.0,0
449,0.0,0
450,0.0,1
451,1.0,0
452,1.0,1
453,0.0,0
454,0.0,0
455,1.0,1
456,1.0,1
457,0.0,0
458,1.0,1
459,1.0,1
460,0.0,0
461,1.0,1
462,1.0,1
463,0.0,0
464,1.0,0
465,0.0,1
466,0.0,1
467,1.0,1
468,1.0,0
469,0.0,0
470,1.0,1
471,1.0,1
472,1.0,1
473,0.0,0
474,0.0,0
475,1.0,1
476,0.0,0
477,1.0,1
478,1.0,1
479,0.0,0
480,0.0,0
481,0.0,0
482,0.0,0
483,0.0,0
484,0.0,0
485,1.0,1
486,1.0,1
487,0.0,0
488,0.0,0
489,0.0,0
490,1.0,1
491,0.0,1
492,1.0,1
493,0.0,0
494,1.0,1
495,0.0,0
496,0.0,0
497,1.0,1
498,0.0,0
499,1.0,1
500,1.0,0
501,1.0,1
502,1.0,1
503,1.0,0
504,0.0,1
505,0.0,0
506,1.0,1
507,1.0,1
508,1.0,1
509,0.0,0
510,0.0,0
511,1.0,1
512,0.0,0
513,0.0,0
514,0.0,1
515,1.0,1
516,1.0,1
517,0.0,0
518,0.0,0
519,0.0,0
520,0.0,0
521,1.0,0
