,predictions,target
0,2.0,2
1,1.0,1
2,2.0,2
3,2.0,2
4,0.0,0
5,1.0,1
6,0.0,0
7,2.0,2
8,0.0,0
9,2.0,2
10,2.0,2
11,0.0,2
12,2.0,2
13,2.0,2
14,1.0,1
15,2.0,2
16,2.0,0
17,2.0,2
18,1.0,1
19,1.0,1
20,2.0,2
21,2.0,2
22,0.0,0
23,1.0,1
24,1.0,1
25,1.0,0
26,2.0,2
27,0.0,0
28,0.0,1
29,2.0,2
30,0.0,2
31,1.0,0
32,1.0,1
33,2.0,0
34,2.0,2
35,0.0,0
36,0.0,0
37,1.0,1
38,2.0,2
39,2.0,2
40,2.0,2
41,1.0,1
42,1.0,1
43,0.0,0
44,0.0,0
45,1.0,2
46,2.0,2
47,2.0,0
48,0.0,0
49,0.0,0
50,2.0,2
51,1.0,1
52,1.0,1
53,1.0,1
54,1.0,1
55,1.0,1
56,2.0,2
57,2.0,2
58,1.0,1
59,0.0,0
60,0.0,0
61,1.0,1
62,2.0,2
63,0.0,0
64,1.0,1
65,0.0,0
66,0.0,0
67,2.0,2
68,2.0,2
69,1.0,1
70,0.0,0
71,1.0,1
72,1.0,1
73,2.0,2
74,2.0,2
75,0.0,0
76,2.0,2
77,2.0,0
78,0.0,0
79,1.0,1
80,1.0,0
81,2.0,2
82,1.0,1
83,0.0,0
84,0.0,0
85,0.0,1
86,2.0,2
87,0.0,2
88,0.0,0
89,1.0,1
90,0.0,2
91,0.0,0
92,2.0,2
93,0.0,2
94,1.0,1
95,0.0,0
96,0.0,0
97,2.0,2
98,1.0,1
99,2.0,2
100,0.0,2
101,1.0,1
102,2.0,2
103,1.0,1
104,2.0,2
105,1.0,1
106,2.0,2
107,0.0,0
108,0.0,0
109,2.0,2
110,0.0,0
111,0.0,0
112,0.0,0
113,0.0,2
114,0.0,0
115,2.0,2
116,2.0,2
117,2.0,2
118,0.0,2
119,0.0,0
120,2.0,2
121,1.0,1
122,1.0,1
123,2.0,2
124,1.0,1
125,1.0,1
126,0.0,0
127,2.0,2
128,2.0,2
129,1.0,1
130,0.0,0
131,0.0,0
132,2.0,2
133,2.0,2
134,0.0,0
135,0.0,0
136,2.0,2
137,2.0,2
138,2.0,2
139,1.0,1
140,2.0,0
141,1.0,1
142,2.0,2
143,2.0,0
144,0.0,0
145,0.0,0
146,2.0,2
147,1.0,1
148,1.0,1
149,0.0,1
150,1.0,1
151,0.0,0
152,1.0,1
153,0.0,1
154,1.0,1
155,2.0,2
156,2.0,2
157,2.0,0
158,1.0,1
159,1.0,1
160,1.0,1
161,1.0,1
162,2.0,2
163,2.0,2
164,0.0,0
165,2.0,2
166,0.0,1
167,0.0,0
168,1.0,1
169,0.0,0
170,1.0,1
171,2.0,2
172,1.0,1
173,1.0,1
174,2.0,2
175,0.0,0
176,0.0,0
177,0.0,0
178,2.0,2
179,0.0,0
180,2.0,2
181,2.0,0
182,1.0,0
183,0.0,2
184,2.0,2
185,1.0,0
186,0.0,1
187,2.0,2
188,2.0,2
189,1.0,0
190,0.0,0
191,2.0,2
192,0.0,2
193,1.0,1
194,1.0,1
195,0.0,0
196,1.0,1
197,1.0,1
198,1.0,1
199,1.0,1
200,1.0,1
201,2.0,2
202,2.0,2
203,2.0,2
204,2.0,2
205,0.0,1
206,2.0,2
207,1.0,1
208,0.0,2
209,1.0,1
210,1.0,1
211,1.0,1
212,2.0,2
213,1.0,1
214,1.0,1
215,2.0,2
216,2.0,0
217,1.0,1
218,0.0,0
219,0.0,0
220,1.0,1
221,0.0,0
222,1.0,1
223,1.0,1
224,0.0,0
225,2.0,2
226,1.0,1
227,2.0,1
228,2.0,2
229,0.0,0
230,1.0,1
231,0.0,0
232,2.0,2
233,0.0,0
234,2.0,2
235,0.0,0
236,1.0,1
237,2.0,2
238,0.0,0
239,0.0,1
240,0.0,0
241,2.0,2
242,2.0,2
243,2.0,0
244,2.0,0
245,2.0,0
246,2.0,2
247,0.0,2
248,0.0,0
249,0.0,2
250,1.0,1
251,2.0,0
252,0.0,0
253,2.0,2
254,1.0,1
255,2.0,2
256,2.0,2
257,0.0,0
258,0.0,0
259,0.0,0
260,1.0,1
261,0.0,0
262,1.0,1
263,0.0,0
264,0.0,0
265,2.0,2
266,0.0,0
267,0.0,2
268,1.0,1
269,0.0,2
270,1.0,1
271,0.0,0
272,2.0,2
273,1.0,1
274,1.0,1
275,2.0,2
276,0.0,0
277,1.0,1
278,1.0,1
279,2.0,2
280,1.0,1
281,2.0,2
282,2.0,2
283,0.0,0
284,0.0,2
285,0.0,0
286,0.0,0
287,0.0,1
288,1.0,1
289,1.0,1
290,0.0,0
291,1.0,1
292,2.0,2
293,1.0,0
294,2.0,2
295,2.0,2
296,0.0,0
297,1.0,1
298,1.0,1
299,0.0,0
300,1.0,1
301,2.0,0
302,2.0,2
303,1.0,1
304,2.0,2
305,0.0,0
306,0.0,0
307,2.0,2
308,1.0,0
309,1.0,1
310,1.0,1
311,0.0,0
312,2.0,2
313,0.0,0
314,2.0,2
315,2.0,2
316,0.0,0
317,1.0,1
318,0.0,1
319,0.0,0
320,0.0,0
321,0.0,0
322,1.0,0
323,1.0,0
324,2.0,2
325,0.0,0
326,0.0,0
327,1.0,1
328,0.0,0
329,2.0,2
330,2.0,2
331,0.0,0
332,0.0,0
333,2.0,2
334,0.0,2
335,1.0,1
336,0.0,0
337,1.0,1
338,1.0,1
339,2.0,2
340,0.0,0
341,0.0,0
342,1.0,0
343,1.0,1
344,0.0,0
345,0.0,1
346,1.0,1
347,2.0,0
348,0.0,0
349,1.0,1
350,1.0,1
351,0.0,0
352,0.0,0
353,2.0,2
354,0.0,0
355,1.0,1
356,2.0,2
357,2.0,2
358,1.0,1
359,0.0,2
360,0.0,2
361,1.0,1
362,1.0,1
363,0.0,0
364,2.0,0
365,1.0,1
366,0.0,0
367,1.0,1
368,0.0,0
369,1.0,1
370,0.0,0
371,0.0,1
372,2.0,2
373,0.0,0
374,0.0,0
375,2.0,2
376,0.0,1
377,0.0,0
378,2.0,2
379,2.0,2
380,1.0,1
381,2.0,2
382,0.0,1
383,1.0,1
384,0.0,0
385,2.0,0
386,0.0,0
387,1.0,0
388,2.0,2
389,0.0,0
390,1.0,1
391,1.0,1
392,0.0,0
393,0.0,0
394,0.0,0
395,1.0,1
396,1.0,1
397,0.0,1
398,0.0,0
399,1.0,1
400,1.0,1
401,2.0,2
402,2.0,2
403,2.0,0
404,0.0,0
405,0.0,0
406,2.0,2
407,1.0,1
408,1.0,1
409,1.0,1
410,1.0,0
411,1.0,1
412,1.0,1
413,0.0,0
414,2.0,2
415,2.0,0
416,2.0,2
417,1.0,1
418,1.0,1
419,2.0,2
420,2.0,2
421,0.0,1
422,1.0,1
423,0.0,1
424,0.0,0
425,1.0,0
426,1.0,1
427,2.0,2
428,1.0,1
429,2.0,2
430,2.0,2
431,0.0,1
432,1.0,1
433,1.0,1
434,1.0,2
435,2.0,2
436,1.0,1
437,0.0,2
438,2.0,2
439,2.0,2
440,0.0,0
441,2.0,2
442,1.0,1
443,1.0,1
444,2.0,2
445,0.0,0
446,1.0,1
447,0.0,0
448,0.0,2
449,0.0,2
450,2.0,2
451,1.0,1
452,1.0,1
453,1.0,1
454,1.0,1
455,2.0,2
456,0.0,1
457,0.0,0
458,1.0,1
459,0.0,0
460,0.0,0
461,2.0,0
462,2.0,2
463,0.0,0
464,1.0,1
465,0.0,0
466,2.0,2
467,1.0,1
468,0.0,0
469,2.0,0
470,2.0,2
471,1.0,1
472,1.0,1
473,0.0,1
474,2.0,0
475,1.0,1
476,0.0,0
477,1.0,1
478,1.0,1
479,0.0,0
480,0.0,0
481,2.0,2
482,2.0,2
483,1.0,1
484,0.0,0
485,2.0,2
486,1.0,1
487,1.0,1
488,2.0,0
489,1.0,1
490,2.0,2
491,1.0,1
492,0.0,0
493,1.0,1
494,1.0,0
495,1.0,1
496,2.0,0
497,2.0,2
498,1.0,1
499,1.0,0
500,0.0,0
501,2.0,0
502,2.0,2
503,0.0,0
504,2.0,2
505,0.0,0
506,2.0,0
507,2.0,2
508,0.0,0
509,2.0,2
510,1.0,1
511,0.0,0
512,2.0,2
513,2.0,2
514,2.0,2
515,2.0,2
516,1.0,1
517,2.0,2
518,0.0,1
519,2.0,2
520,1.0,1
521,1.0,1
522,2.0,2
523,0.0,0
524,1.0,1
525,2.0,2
526,0.0,0
527,2.0,2
528,1.0,1
529,0.0,0
530,2.0,0
531,0.0,2
532,2.0,0
533,2.0,2
534,2.0,2
535,1.0,1
536,2.0,2
537,1.0,0
538,2.0,2
539,0.0,0
540,2.0,2
541,1.0,0
542,2.0,2
543,0.0,0
544,2.0,2
545,2.0,2
546,0.0,0
547,0.0,2
548,0.0,0
549,1.0,0
550,2.0,2
551,1.0,1
552,0.0,0
553,1.0,1
554,2.0,2
555,2.0,2
556,0.0,2
557,0.0,0
558,2.0,2
559,1.0,1
560,1.0,0
561,1.0,1
562,2.0,2
563,1.0,1
564,2.0,2
565,0.0,0
566,2.0,0
567,0.0,0
568,0.0,0
569,2.0,2
570,1.0,0
571,0.0,0
572,2.0,2
573,1.0,0
574,1.0,1
575,2.0,2
576,1.0,1
577,1.0,1
578,1.0,1
579,2.0,2
580,2.0,2
581,2.0,2
582,2.0,2
583,0.0,0
584,0.0,0
585,1.0,1
586,0.0,0
587,1.0,1
588,2.0,2
589,1.0,1
590,0.0,0
591,2.0,2
592,1.0,1
593,2.0,2
594,1.0,1
595,2.0,2
596,1.0,1
597,1.0,1
598,2.0,2
599,1.0,1
600,0.0,0
601,2.0,2
