,predictions,target
0,1.0,1
1,1.0,1
2,1.0,1
3,0.0,0
4,1.0,1
5,0.0,0
6,1.0,1
7,0.0,0
8,1.0,1
9,0.0,0
10,1.0,1
11,0.0,0
12,1.0,1
13,0.0,0
14,1.0,1
15,0.0,0
16,0.0,0
17,1.0,0
18,1.0,1
19,0.0,0
20,0.0,0
21,0.0,0
22,1.0,1
23,0.0,0
24,0.0,1
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,0.0,0
31,1.0,1
32,0.0,0
33,1.0,1
34,0.0,0
35,1.0,1
36,1.0,1
37,1.0,1
38,0.0,0
39,0.0,0
40,0.0,0
41,0.0,0
42,1.0,1
43,1.0,1
44,1.0,1
45,0.0,0
46,0.0,0
47,0.0,0
48,1.0,1
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,1
56,0.0,0
57,1.0,1
58,1.0,1
59,1.0,1
60,1.0,1
61,0.0,1
62,1.0,1
63,1.0,1
64,1.0,1
65,1.0,1
66,1.0,0
67,0.0,0
68,0.0,0
69,0.0,0
70,0.0,0
71,1.0,0
72,1.0,1
73,1.0,1
74,1.0,1
75,1.0,1
76,0.0,0
77,0.0,0
78,0.0,0
79,0.0,0
80,1.0,1
81,1.0,1
82,1.0,1
83,0.0,1
84,1.0,1
85,1.0,0
86,1.0,1
87,0.0,1
88,1.0,1
89,0.0,1
90,0.0,0
91,1.0,1
92,0.0,0
93,0.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,0.0,0
100,0.0,0
101,1.0,1
102,1.0,1
103,1.0,0
104,0.0,0
105,1.0,1
106,0.0,0
107,0.0,0
108,1.0,1
109,0.0,0
110,1.0,0
111,1.0,1
112,0.0,1
113,1.0,1
114,1.0,1
115,0.0,1
116,0.0,0
117,0.0,0
118,1.0,1
119,0.0,0
120,1.0,1
121,0.0,0
122,0.0,0
123,0.0,0
124,0.0,1
125,1.0,0
126,1.0,0
127,0.0,0
128,0.0,0
129,0.0,0
130,0.0,1
131,1.0,1
132,1.0,1
133,1.0,1
134,0.0,0
135,1.0,1
136,0.0,0
137,0.0,0
138,0.0,1
139,0.0,0
140,0.0,0
141,1.0,1
142,1.0,1
143,0.0,0
144,0.0,0
145,1.0,1
146,1.0,1
147,0.0,0
148,1.0,1
149,1.0,1
150,1.0,1
151,1.0,1
152,1.0,1
153,1.0,1
154,0.0,0
155,0.0,0
156,0.0,0
157,0.0,0
158,0.0,0
159,1.0,1
160,1.0,1
161,0.0,1
162,0.0,0
163,1.0,1
164,1.0,1
165,0.0,1
166,1.0,1
167,1.0,1
168,0.0,0
169,0.0,0
170,0.0,0
171,0.0,0
172,0.0,0
173,0.0,1
174,0.0,0
175,1.0,0
176,0.0,0
177,0.0,0
178,0.0,0
179,1.0,1
180,1.0,1
181,1.0,1
182,1.0,1
183,1.0,1
184,0.0,0
185,1.0,0
186,1.0,1
187,0.0,0
188,1.0,1
