,predictions,target
0,0.0,0
1,1.0,1
2,1.0,1
3,1.0,1
4,0.0,0
5,1.0,1
6,0.0,0
7,1.0,1
8,0.0,0
9,1.0,1
10,0.0,0
11,1.0,1
12,1.0,1
13,0.0,0
14,1.0,1
15,0.0,0
16,0.0,0
17,1.0,0
18,1.0,1
19,0.0,0
20,0.0,0
21,0.0,0
22,0.0,0
23,1.0,1
24,0.0,0
25,0.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,0.0,0
31,1.0,1
32,0.0,0
33,1.0,1
34,0.0,0
35,1.0,1
36,1.0,1
37,1.0,1
38,0.0,0
39,0.0,0
40,0.0,0
41,0.0,0
42,1.0,1
43,1.0,1
44,1.0,1
45,0.0,0
46,0.0,0
47,0.0,0
48,1.0,1
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,1
55,0.0,0
56,0.0,0
57,1.0,1
58,1.0,1
59,1.0,1
60,1.0,1
61,0.0,1
62,1.0,1
63,1.0,1
64,1.0,1
65,1.0,1
66,1.0,0
67,0.0,0
68,0.0,0
69,0.0,0
70,1.0,0
71,1.0,1
72,1.0,1
73,1.0,1
74,1.0,1
75,0.0,0
76,0.0,0
77,0.0,0
78,0.0,0
79,0.0,0
80,1.0,1
81,1.0,1
82,0.0,1
83,1.0,1
84,1.0,0
85,1.0,1
86,0.0,1
87,1.0,1
88,0.0,1
89,0.0,0
90,1.0,1
91,0.0,0
92,0.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,0.0,0
99,0.0,0
100,1.0,1
101,1.0,1
102,1.0,0
103,0.0,0
104,1.0,1
105,0.0,0
106,0.0,0
107,1.0,1
108,0.0,0
109,1.0,0
110,0.0,1
111,1.0,1
112,0.0,0
113,1.0,1
114,0.0,1
115,0.0,0
116,0.0,0
117,1.0,1
118,0.0,0
119,1.0,1
120,0.0,0
121,0.0,0
122,0.0,0
123,0.0,1
124,1.0,0
125,0.0,0
126,0.0,0
127,0.0,0
128,0.0,1
129,1.0,1
130,1.0,1
131,1.0,1
132,1.0,1
133,0.0,0
134,1.0,1
135,0.0,0
136,0.0,0
137,0.0,1
138,0.0,0
139,1.0,1
140,1.0,1
141,0.0,0
142,0.0,0
143,1.0,1
144,1.0,1
145,0.0,0
146,1.0,1
147,1.0,1
148,1.0,1
149,1.0,1
150,1.0,1
151,1.0,1
152,0.0,0
153,0.0,0
154,0.0,0
155,0.0,0
156,0.0,0
157,1.0,1
158,1.0,1
159,0.0,1
160,0.0,0
161,1.0,1
162,1.0,1
163,0.0,1
164,1.0,1
165,1.0,1
166,0.0,0
167,0.0,0
168,0.0,0
169,0.0,0
170,0.0,0
171,0.0,1
172,0.0,0
173,1.0,0
174,0.0,0
175,0.0,0
176,0.0,0
177,1.0,1
178,1.0,1
179,1.0,1
180,1.0,1
181,0.0,0
182,1.0,0
183,1.0,1
184,0.0,0
185,1.0,1
186,1.0,1
187,0.0,1
188,1.0,1
189,1.0,1
190,1.0,1
191,0.0,0
192,0.0,0
193,0.0,0
194,0.0,1
195,1.0,1
196,1.0,1
197,0.0,0
198,1.0,1
199,0.0,0
200,1.0,1
201,0.0,0
202,0.0,0
203,1.0,1
204,0.0,0
205,0.0,0
206,1.0,1
207,1.0,1
208,0.0,0
209,0.0,0
210,1.0,1
211,1.0,1
212,0.0,0
213,1.0,1
214,0.0,0
215,1.0,1
216,0.0,0
217,1.0,1
218,0.0,0
219,0.0,0
220,1.0,1
221,1.0,1
222,1.0,1
223,0.0,0
224,0.0,0
225,0.0,0
226,0.0,0
227,1.0,1
228,1.0,1
229,0.0,0
230,0.0,0
231,1.0,1
232,1.0,1
233,1.0,1
234,0.0,0
235,1.0,1
236,1.0,1
237,0.0,1
238,0.0,0
239,0.0,0
240,0.0,0
241,0.0,0
242,0.0,0
243,0.0,0
244,0.0,0
245,0.0,0
246,0.0,0
247,1.0,1
248,0.0,0
249,0.0,0
250,0.0,0
251,1.0,1
252,1.0,1
253,0.0,0
254,1.0,1
255,0.0,0
256,1.0,1
257,1.0,0
258,0.0,0
259,0.0,0
260,0.0,0
261,1.0,1
262,0.0,0
263,0.0,0
264,1.0,1
265,0.0,0
266,1.0,1
267,1.0,1
268,1.0,1
269,0.0,0
270,0.0,0
271,1.0,1
272,1.0,1
273,1.0,1
274,0.0,0
275,1.0,1
276,0.0,0
277,0.0,0
278,0.0,0
279,1.0,1
280,0.0,1
281,1.0,1
282,1.0,1
283,0.0,0
284,1.0,1
285,0.0,0
286,1.0,1
287,0.0,0
288,0.0,0
289,1.0,0
290,1.0,0
291,0.0,0
292,0.0,0
293,0.0,0
294,0.0,1
295,1.0,1
296,0.0,0
297,0.0,0
298,0.0,0
299,0.0,1
300,0.0,0
301,0.0,0
302,0.0,1
303,0.0,0
304,0.0,0
305,0.0,0
306,0.0,0
307,1.0,1
308,0.0,0
309,0.0,0
310,1.0,1
311,0.0,0
312,1.0,1
313,1.0,1
314,0.0,0
315,1.0,0
316,0.0,0
317,1.0,0
318,0.0,0
319,1.0,1
320,0.0,1
321,1.0,1
322,1.0,1
323,1.0,1
324,0.0,0
325,0.0,0
326,0.0,0
327,1.0,1
328,1.0,1
329,0.0,0
330,1.0,1
331,1.0,1
332,0.0,0
333,0.0,0
334,1.0,1
335,0.0,0
336,1.0,1
337,0.0,0
338,1.0,1
339,0.0,0
340,0.0,0
341,1.0,0
342,0.0,0
343,0.0,0
344,0.0,0
345,1.0,1
346,0.0,0
347,0.0,0
348,1.0,0
349,0.0,1
350,0.0,0
351,1.0,1
352,0.0,0
353,0.0,1
354,1.0,1
355,0.0,1
356,1.0,1
357,0.0,1
358,1.0,1
359,0.0,0
360,0.0,1
361,0.0,0
362,0.0,0
363,0.0,1
364,0.0,1
365,0.0,0
366,0.0,0
367,0.0,0
368,1.0,1
369,1.0,1
370,0.0,0
371,1.0,1
372,0.0,1
373,1.0,1
374,0.0,0
375,0.0,0
376,1.0,1
377,0.0,0
378,0.0,1
379,1.0,0
380,1.0,1
381,0.0,0
382,0.0,1
383,0.0,0
384,0.0,0
385,0.0,0
386,0.0,0
387,1.0,1
388,0.0,0
389,0.0,0
390,0.0,1
391,0.0,0
392,1.0,1
393,0.0,0
394,0.0,0
395,1.0,1
396,0.0,0
397,0.0,0
398,0.0,0
399,0.0,1
400,1.0,1
401,1.0,1
402,1.0,1
403,1.0,1
404,0.0,0
405,1.0,1
406,0.0,1
407,0.0,0
408,0.0,0
409,0.0,0
410,1.0,1
411,1.0,1
412,1.0,1
413,0.0,1
414,1.0,1
415,0.0,0
416,0.0,0
417,1.0,1
418,1.0,1
419,1.0,1
420,1.0,1
421,1.0,1
422,0.0,0
423,0.0,1
424,1.0,1
425,0.0,0
426,1.0,1
427,0.0,1
428,0.0,0
429,1.0,0
430,0.0,1
431,1.0,0
432,0.0,1
433,0.0,1
434,0.0,0
435,0.0,1
436,0.0,0
437,1.0,0
438,0.0,1
439,1.0,1
440,0.0,0
441,0.0,0
442,0.0,0
443,0.0,1
444,1.0,1
445,1.0,1
446,0.0,0
447,1.0,1
448,1.0,1
449,0.0,0
450,1.0,1
451,1.0,0
452,0.0,0
453,1.0,0
454,0.0,1
455,0.0,0
456,0.0,1
457,0.0,0
458,1.0,1
459,0.0,0
460,0.0,0
461,0.0,0
462,1.0,1
463,1.0,1
464,1.0,1
465,0.0,0
466,0.0,0
467,1.0,1
468,0.0,0
469,1.0,1
470,1.0,1
471,0.0,0
472,0.0,0
473,0.0,0
474,0.0,0
475,0.0,0
476,1.0,1
477,1.0,1
478,1.0,0
479,0.0,0
480,0.0,0
481,0.0,0
482,0.0,1
483,0.0,0
484,0.0,1
485,0.0,0
486,1.0,1
487,0.0,0
488,1.0,1
489,0.0,0
490,1.0,1
491,1.0,1
492,1.0,1
493,1.0,1
494,1.0,1
495,0.0,0
496,0.0,0
497,0.0,0
498,1.0,1
499,1.0,1
500,1.0,0
501,0.0,0
502,1.0,1
503,0.0,0
504,0.0,0
505,0.0,0
506,1.0,0
507,1.0,1
508,0.0,0
509,0.0,0
510,0.0,0
511,0.0,1
512,1.0,1
513,1.0,0
514,1.0,0
515,0.0,0
516,1.0,1
517,0.0,0
518,0.0,0
519,0.0,1
520,0.0,0
521,0.0,0
