,predictions,target
0,1.0,1
1,1.0,1
2,0.0,0
3,0.0,1
4,0.0,0
5,1.0,1
6,0.0,0
7,1.0,0
8,1.0,1
9,0.0,0
10,0.0,0
11,0.0,0
12,0.0,0
13,1.0,1
14,0.0,0
15,0.0,1
16,0.0,0
17,0.0,0
18,0.0,0
19,0.0,0
20,1.0,1
21,1.0,1
22,0.0,1
23,1.0,1
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,1.0,0
29,0.0,0
30,1.0,1
31,0.0,0
32,1.0,0
33,0.0,0
34,0.0,0
35,1.0,1
36,1.0,1
37,1.0,1
38,1.0,1
39,0.0,1
40,1.0,1
41,1.0,1
42,0.0,0
43,1.0,1
44,1.0,1
45,1.0,1
46,0.0,0
47,1.0,0
48,1.0,1
49,1.0,1
50,0.0,1
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,1.0,1
56,0.0,0
57,0.0,0
58,1.0,1
59,1.0,1
60,1.0,1
61,0.0,1
62,1.0,1
63,1.0,1
64,1.0,1
65,0.0,0
66,1.0,1
67,1.0,0
68,0.0,0
69,0.0,0
70,1.0,1
71,0.0,0
72,1.0,1
73,1.0,1
74,1.0,1
75,1.0,1
76,0.0,0
77,0.0,0
78,1.0,1
79,1.0,1
80,0.0,0
81,1.0,1
82,0.0,0
83,0.0,0
84,1.0,0
85,1.0,1
86,0.0,0
87,0.0,1
88,1.0,1
89,0.0,0
90,1.0,1
91,0.0,0
92,0.0,0
93,0.0,0
94,0.0,0
95,0.0,0
96,1.0,0
97,1.0,1
98,0.0,0
99,1.0,1
100,1.0,1
101,0.0,0
102,0.0,0
103,1.0,1
104,1.0,1
105,0.0,0
106,0.0,0
107,0.0,0
108,1.0,1
109,0.0,1
110,1.0,1
111,1.0,1
112,0.0,0
113,1.0,1
114,0.0,0
115,0.0,0
116,0.0,0
117,0.0,0
118,1.0,1
119,0.0,0
120,1.0,1
121,1.0,1
122,0.0,0
123,1.0,0
124,0.0,0
125,1.0,1
126,1.0,0
127,1.0,0
128,0.0,1
129,0.0,0
130,1.0,1
131,0.0,0
132,1.0,1
133,1.0,1
134,0.0,0
135,1.0,1
136,0.0,0
137,0.0,0
138,0.0,0
139,1.0,1
140,0.0,0
141,1.0,1
142,0.0,0
143,1.0,1
144,0.0,1
145,0.0,0
146,0.0,0
147,0.0,1
148,0.0,0
149,1.0,1
150,1.0,1
151,1.0,1
152,0.0,0
153,1.0,1
154,0.0,0
155,1.0,1
156,0.0,0
157,1.0,1
158,0.0,0
159,0.0,0
160,0.0,0
161,0.0,0
162,0.0,1
163,0.0,0
164,0.0,0
165,1.0,1
166,0.0,0
167,0.0,0
168,1.0,1
169,1.0,1
170,1.0,1
171,0.0,0
172,0.0,1
173,1.0,1
174,1.0,1
175,1.0,0
176,0.0,0
177,0.0,0
178,0.0,0
179,0.0,0
180,1.0,1
181,1.0,1
182,0.0,0
183,0.0,0
184,1.0,1
185,0.0,0
186,1.0,1
187,1.0,1
188,0.0,0
