,predictions,target
0,1.0,1
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,0
5,1.0,1
6,1.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,0
11,1.0,1
12,0.0,0
13,1.0,1
14,1.0,1
15,0.0,0
16,1.0,1
17,1.0,1
18,0.0,0
19,1.0,0
20,0.0,0
21,1.0,1
22,0.0,0
23,0.0,1
24,1.0,1
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,0.0,0
30,0.0,0
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,0
35,1.0,1
36,0.0,0
37,1.0,1
38,0.0,0
39,0.0,0
40,0.0,0
41,0.0,0
42,0.0,0
43,1.0,1
44,1.0,1
45,1.0,1
46,1.0,1
47,0.0,0
48,1.0,1
49,1.0,1
50,0.0,0
51,1.0,1
52,1.0,1
53,0.0,0
54,1.0,0
55,1.0,1
56,0.0,0
57,0.0,0
58,0.0,1
59,1.0,0
60,1.0,1
61,1.0,0
62,0.0,1
63,0.0,0
64,0.0,0
65,1.0,1
66,1.0,0
67,1.0,1
68,1.0,1
69,1.0,1
70,0.0,1
71,0.0,0
72,0.0,0
73,0.0,0
74,1.0,1
75,0.0,0
76,0.0,0
77,1.0,1
78,0.0,1
79,1.0,1
80,1.0,1
81,0.0,0
82,1.0,0
83,1.0,1
84,1.0,0
85,1.0,1
86,0.0,1
87,0.0,0
88,1.0,0
89,1.0,1
90,1.0,1
91,0.0,1
92,1.0,0
93,1.0,1
94,0.0,1
95,0.0,0
96,0.0,0
97,1.0,1
98,0.0,0
99,0.0,0
100,0.0,0
101,0.0,0
102,1.0,0
103,1.0,0
104,0.0,0
105,1.0,1
106,0.0,0
107,0.0,0
108,0.0,0
109,0.0,0
110,1.0,0
111,1.0,1
112,0.0,0
113,1.0,1
114,1.0,0
115,1.0,1
116,1.0,1
117,0.0,1
118,1.0,1
119,0.0,0
120,1.0,1
121,0.0,0
122,1.0,1
123,1.0,0
124,0.0,1
125,1.0,1
126,1.0,1
127,1.0,1
128,0.0,1
129,0.0,0
130,0.0,0
131,1.0,1
132,1.0,0
133,1.0,1
134,0.0,1
135,1.0,0
136,1.0,1
137,1.0,1
138,0.0,0
139,0.0,0
140,1.0,1
141,0.0,0
142,1.0,1
143,0.0,0
144,1.0,1
145,0.0,0
146,0.0,0
147,0.0,0
148,1.0,1
149,1.0,1
150,0.0,0
151,0.0,0
152,1.0,1
153,0.0,0
154,1.0,0
155,0.0,0
156,1.0,1
157,1.0,1
158,0.0,0
159,1.0,0
160,0.0,0
161,0.0,1
162,1.0,1
163,1.0,0
164,0.0,0
165,0.0,0
166,1.0,0
167,0.0,0
168,0.0,1
169,0.0,0
170,0.0,0
171,1.0,0
172,1.0,1
173,1.0,0
174,1.0,1
175,0.0,0
176,1.0,1
177,1.0,1
178,1.0,1
179,1.0,1
180,0.0,0
181,1.0,1
182,1.0,0
183,1.0,1
184,0.0,0
185,1.0,1
186,1.0,1
187,0.0,0
188,0.0,0
