,predictions,target
0,2.0,2
1,2.0,2
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,1.0,1
8,1.0,1
9,0.0,0
10,0.0,0
11,2.0,2
12,2.0,2
13,2.0,0
14,2.0,2
15,2.0,0
16,1.0,1
17,0.0,1
18,1.0,1
19,1.0,1
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,0.0,2
25,2.0,0
26,2.0,2
27,1.0,1
28,0.0,0
29,0.0,0
30,1.0,1
31,2.0,0
32,2.0,2
33,2.0,2
34,1.0,1
35,2.0,2
36,2.0,2
37,1.0,1
38,0.0,0
39,2.0,2
40,2.0,2
41,1.0,1
42,0.0,0
43,1.0,1
44,2.0,2
45,0.0,2
46,1.0,1
47,1.0,1
48,1.0,1
49,0.0,2
50,1.0,1
51,2.0,0
52,2.0,2
53,1.0,1
54,1.0,1
55,0.0,0
56,2.0,2
57,2.0,2
58,0.0,0
59,1.0,1
60,0.0,2
61,0.0,0
62,0.0,0
63,1.0,1
64,2.0,2
65,1.0,1
66,0.0,0
67,0.0,0
68,0.0,0
69,0.0,2
70,1.0,1
71,0.0,0
72,2.0,2
73,1.0,1
74,1.0,1
75,1.0,2
76,1.0,1
77,1.0,1
78,0.0,1
79,0.0,0
80,1.0,1
81,1.0,0
82,0.0,0
83,2.0,2
84,2.0,0
85,0.0,2
86,1.0,1
87,2.0,2
88,1.0,1
89,1.0,1
90,1.0,1
91,0.0,2
92,0.0,0
93,2.0,2
94,0.0,0
95,2.0,2
96,1.0,1
97,0.0,0
98,1.0,1
99,1.0,1
100,0.0,2
101,2.0,2
102,1.0,1
103,0.0,0
104,1.0,1
105,2.0,2
106,1.0,1
107,2.0,2
108,0.0,0
109,1.0,1
110,2.0,2
111,0.0,2
112,0.0,0
113,2.0,2
114,1.0,1
115,1.0,1
116,1.0,1
117,2.0,1
118,0.0,1
119,2.0,2
120,1.0,1
121,0.0,0
122,2.0,2
123,2.0,0
124,0.0,0
125,2.0,2
126,0.0,0
127,2.0,0
128,1.0,1
129,1.0,1
130,1.0,1
131,2.0,1
132,1.0,1
133,0.0,0
134,0.0,0
135,1.0,1
136,2.0,2
137,1.0,1
138,1.0,1
139,0.0,0
140,1.0,1
141,2.0,2
142,0.0,0
143,0.0,0
144,0.0,0
145,1.0,1
146,1.0,1
147,2.0,2
148,1.0,1
149,2.0,2
150,0.0,0
151,2.0,2
152,1.0,1
153,0.0,0
154,1.0,1
155,2.0,2
156,2.0,2
157,2.0,0
158,1.0,1
159,1.0,1
160,0.0,0
161,0.0,0
162,0.0,0
163,1.0,0
164,1.0,1
165,1.0,1
166,1.0,1
167,1.0,1
168,1.0,1
169,2.0,2
170,1.0,1
171,0.0,0
172,0.0,0
173,1.0,1
174,0.0,0
175,1.0,1
176,2.0,2
177,1.0,1
178,2.0,0
179,0.0,0
180,1.0,1
181,2.0,2
182,2.0,2
183,1.0,1
184,1.0,1
185,0.0,1
186,2.0,2
187,0.0,0
188,1.0,1
189,1.0,1
190,2.0,2
191,2.0,2
192,0.0,0
193,0.0,0
194,2.0,0
195,0.0,1
196,2.0,0
197,2.0,2
198,2.0,1
199,0.0,0
200,2.0,2
201,1.0,1
202,1.0,0
203,0.0,0
204,0.0,0
205,0.0,0
206,0.0,0
207,0.0,0
208,1.0,1
209,1.0,1
210,2.0,2
211,2.0,2
212,2.0,2
213,1.0,1
214,2.0,0
215,0.0,0
216,0.0,0
217,0.0,0
218,2.0,2
219,1.0,1
220,2.0,2
221,2.0,2
222,2.0,2
223,0.0,2
224,0.0,2
225,2.0,2
226,2.0,0
227,2.0,2
228,2.0,2
229,2.0,2
230,2.0,2
231,2.0,2
232,1.0,1
233,1.0,1
234,0.0,0
235,2.0,2
236,0.0,2
237,1.0,1
238,2.0,2
239,2.0,2
240,2.0,2
241,2.0,2
242,2.0,2
243,1.0,1
244,1.0,1
245,0.0,0
246,2.0,2
247,0.0,0
248,2.0,2
249,1.0,1
250,1.0,0
251,1.0,1
252,2.0,2
253,2.0,2
254,1.0,1
255,2.0,2
256,1.0,1
257,1.0,1
258,0.0,0
259,2.0,0
260,0.0,1
261,2.0,2
262,2.0,0
263,2.0,2
264,0.0,0
265,2.0,2
266,2.0,2
267,1.0,1
268,2.0,0
269,2.0,2
270,2.0,2
271,2.0,2
272,2.0,2
273,2.0,0
274,1.0,1
275,1.0,1
276,2.0,2
277,0.0,0
278,0.0,0
279,0.0,0
280,1.0,1
281,2.0,2
282,1.0,1
283,1.0,1
284,0.0,0
285,0.0,0
286,2.0,2
287,2.0,0
288,1.0,1
289,0.0,2
290,1.0,1
291,0.0,2
292,1.0,1
293,2.0,2
294,1.0,1
295,2.0,2
296,1.0,1
297,1.0,1
298,2.0,2
299,1.0,1
300,2.0,2
301,0.0,0
302,2.0,0
303,0.0,2
304,1.0,1
305,1.0,2
306,1.0,1
307,1.0,1
308,2.0,2
309,1.0,0
310,2.0,2
311,1.0,1
312,2.0,2
313,1.0,1
314,1.0,1
315,1.0,1
316,2.0,2
317,0.0,0
318,1.0,1
319,0.0,0
320,2.0,2
321,1.0,1
322,1.0,0
323,1.0,0
324,0.0,1
325,0.0,0
326,2.0,2
327,0.0,0
328,0.0,0
329,2.0,2
330,0.0,0
331,2.0,2
332,1.0,1
333,2.0,2
334,2.0,2
335,2.0,2
336,1.0,1
337,1.0,1
338,1.0,1
339,1.0,1
340,2.0,0
341,0.0,0
342,2.0,2
343,1.0,1
344,2.0,0
345,1.0,1
346,2.0,2
347,2.0,2
348,1.0,1
349,2.0,2
350,2.0,2
351,2.0,2
352,1.0,1
353,1.0,1
354,1.0,1
355,1.0,1
356,0.0,0
357,0.0,0
358,2.0,0
359,2.0,0
360,2.0,2
361,2.0,2
362,1.0,1
363,2.0,2
364,2.0,2
365,0.0,0
366,2.0,2
367,0.0,2
368,0.0,1
369,1.0,1
370,0.0,0
371,0.0,0
372,2.0,2
373,1.0,1
374,2.0,0
375,2.0,2
376,1.0,0
377,1.0,1
378,0.0,2
379,0.0,0
380,0.0,2
381,2.0,2
382,2.0,2
383,0.0,2
384,1.0,1
385,2.0,2
386,2.0,2
387,2.0,2
388,0.0,0
389,1.0,1
390,2.0,2
391,1.0,1
392,0.0,0
393,0.0,0
394,2.0,0
395,1.0,1
396,2.0,2
397,1.0,1
398,1.0,1
399,1.0,1
400,0.0,0
401,2.0,2
402,0.0,0
403,2.0,2
404,1.0,1
405,2.0,2
406,2.0,0
407,1.0,1
408,0.0,0
409,1.0,1
410,1.0,1
411,0.0,1
412,0.0,0
413,1.0,1
414,2.0,2
415,2.0,1
416,0.0,0
417,0.0,0
418,1.0,1
419,1.0,1
420,0.0,2
421,0.0,0
422,2.0,2
423,0.0,0
424,2.0,2
425,0.0,0
426,1.0,0
427,0.0,0
428,0.0,0
429,2.0,2
430,2.0,2
431,2.0,2
432,2.0,2
433,2.0,0
434,2.0,2
435,1.0,1
436,0.0,0
437,2.0,2
438,0.0,0
439,2.0,2
440,0.0,2
441,0.0,0
442,0.0,2
443,0.0,0
444,2.0,2
445,1.0,1
446,0.0,0
447,0.0,0
448,0.0,0
449,2.0,2
450,1.0,1
451,0.0,0
452,2.0,2
453,2.0,2
454,1.0,1
455,2.0,2
456,2.0,2
457,2.0,0
458,1.0,0
459,1.0,1
460,2.0,2
461,1.0,1
462,0.0,0
463,1.0,1
464,0.0,1
465,2.0,2
466,1.0,1
467,0.0,2
468,1.0,1
469,2.0,2
470,0.0,2
471,1.0,1
472,0.0,0
473,1.0,1
474,0.0,0
475,0.0,1
476,0.0,0
477,1.0,0
478,1.0,1
479,2.0,2
480,0.0,0
481,2.0,2
482,0.0,0
483,1.0,1
484,1.0,1
485,0.0,0
486,0.0,0
487,2.0,2
488,0.0,2
489,0.0,0
490,0.0,0
491,0.0,0
492,1.0,1
493,0.0,0
494,2.0,2
495,0.0,0
496,2.0,2
497,1.0,1
498,0.0,0
499,1.0,0
500,1.0,1
501,1.0,1
502,1.0,1
503,0.0,0
504,1.0,1
505,0.0,1
506,1.0,1
507,2.0,2
508,0.0,0
509,1.0,1
510,2.0,2
511,2.0,2
512,0.0,0
513,0.0,0
514,1.0,1
515,0.0,0
516,0.0,0
517,2.0,2
518,2.0,2
519,1.0,1
520,0.0,0
521,1.0,1
522,0.0,0
523,1.0,1
524,2.0,2
525,0.0,0
526,2.0,0
527,2.0,2
528,2.0,2
529,2.0,2
530,0.0,2
531,2.0,2
532,0.0,0
533,1.0,1
534,2.0,2
535,1.0,1
536,0.0,0
537,2.0,2
538,2.0,2
539,2.0,0
540,2.0,2
541,0.0,0
542,1.0,1
543,0.0,0
544,0.0,2
545,1.0,1
546,0.0,0
547,1.0,1
548,0.0,0
549,0.0,2
550,2.0,2
551,0.0,0
552,2.0,2
553,1.0,1
554,2.0,2
555,0.0,0
556,2.0,2
557,2.0,2
558,2.0,2
559,0.0,0
560,1.0,1
561,0.0,2
562,2.0,2
563,1.0,1
564,2.0,2
565,1.0,1
566,0.0,0
567,2.0,2
568,2.0,2
569,1.0,1
570,2.0,0
571,2.0,2
572,0.0,0
573,1.0,1
574,2.0,2
575,1.0,1
576,2.0,0
577,0.0,0
578,2.0,2
579,0.0,0
580,2.0,0
581,0.0,2
582,0.0,0
583,0.0,0
584,2.0,2
585,0.0,0
586,2.0,2
587,0.0,0
588,0.0,0
589,2.0,2
590,0.0,0
591,1.0,1
592,1.0,1
593,0.0,0
594,1.0,1
595,2.0,2
596,1.0,0
597,0.0,0
598,1.0,0
599,2.0,0
600,1.0,1
601,2.0,2
602,0.0,2
603,1.0,1
604,2.0,2
605,0.0,0
606,2.0,2
607,2.0,2
608,0.0,0
609,1.0,1
610,1.0,1
611,1.0,1
612,0.0,0
613,0.0,0
614,1.0,1
615,0.0,0
616,2.0,2
617,2.0,2
618,0.0,0
619,1.0,1
620,0.0,0
621,0.0,0
622,1.0,1
623,0.0,0
624,1.0,1
625,0.0,0
626,1.0,1
627,2.0,2
628,2.0,2
629,1.0,1
630,0.0,0
631,0.0,0
632,1.0,1
633,1.0,1
634,2.0,2
635,2.0,0
636,0.0,1
637,1.0,1
638,2.0,2
639,1.0,1
640,0.0,2
641,2.0,0
642,2.0,2
643,1.0,1
644,2.0,2
645,1.0,1
646,0.0,0
647,0.0,0
648,1.0,1
649,0.0,2
650,1.0,1
651,2.0,2
652,1.0,1
653,1.0,1
654,1.0,1
655,2.0,0
656,2.0,0
657,1.0,1
658,0.0,0
659,1.0,1
660,2.0,2
661,2.0,2
662,1.0,1
663,1.0,1
664,1.0,1
665,1.0,1
666,0.0,0
667,0.0,0
668,1.0,1
669,2.0,2
670,1.0,1
671,1.0,1
672,2.0,2
673,2.0,2
674,1.0,1
675,1.0,0
676,0.0,0
677,0.0,1
678,0.0,0
679,1.0,1
680,0.0,0
681,2.0,2
682,0.0,0
683,2.0,2
684,0.0,0
685,2.0,2
686,1.0,1
687,0.0,0
688,2.0,0
689,1.0,1
690,0.0,0
691,2.0,2
692,0.0,2
693,1.0,1
694,0.0,0
695,2.0,2
696,1.0,1
697,0.0,0
698,2.0,2
699,1.0,1
700,0.0,1
701,0.0,1
702,1.0,1
703,0.0,0
704,0.0,0
705,0.0,0
706,0.0,0
707,1.0,1
708,1.0,0
709,1.0,1
710,1.0,1
711,2.0,0
712,0.0,0
713,0.0,0
714,1.0,1
715,1.0,1
716,2.0,2
717,1.0,1
718,1.0,1
719,1.0,1
720,2.0,2
721,0.0,0
722,2.0,2
723,1.0,1
724,1.0,1
725,0.0,0
726,1.0,1
727,0.0,0
728,0.0,0
729,0.0,2
730,0.0,0
731,1.0,0
732,2.0,1
733,1.0,1
734,0.0,0
735,1.0,1
736,0.0,0
737,2.0,2
738,2.0,0
739,0.0,0
740,2.0,2
741,1.0,1
742,1.0,1
743,1.0,0
744,2.0,0
745,0.0,1
746,1.0,1
747,2.0,2
748,1.0,1
749,2.0,2
750,0.0,0
751,2.0,2
752,2.0,2
753,2.0,0
754,2.0,0
755,0.0,0
756,0.0,0
757,2.0,0
758,0.0,0
759,1.0,1
760,2.0,0
761,1.0,1
762,2.0,0
763,0.0,0
764,0.0,1
765,1.0,2
766,2.0,2
767,1.0,1
768,2.0,2
769,0.0,0
770,0.0,0
771,2.0,2
772,1.0,0
773,1.0,0
774,0.0,0
775,2.0,2
776,0.0,0
777,0.0,0
778,0.0,0
779,0.0,2
780,1.0,1
781,2.0,2
782,2.0,2
783,0.0,0
784,1.0,0
785,2.0,2
786,1.0,1
787,0.0,0
788,1.0,1
789,0.0,0
790,0.0,0
791,2.0,2
792,1.0,0
793,2.0,2
794,1.0,1
795,2.0,2
796,0.0,0
797,2.0,2
798,2.0,2
799,0.0,0
800,0.0,0
801,2.0,0
802,0.0,0
803,1.0,1
804,0.0,0
805,1.0,1
806,0.0,0
807,1.0,1
808,1.0,1
809,2.0,0
810,0.0,0
811,0.0,2
812,0.0,0
813,1.0,1
814,2.0,2
815,0.0,0
816,2.0,2
817,1.0,0
818,0.0,0
819,0.0,0
820,0.0,0
821,0.0,1
822,0.0,0
823,0.0,0
824,2.0,0
825,2.0,2
826,2.0,0
827,1.0,1
828,0.0,0
829,0.0,2
830,1.0,1
831,2.0,2
832,2.0,2
833,0.0,2
834,2.0,2
835,0.0,0
836,0.0,0
837,0.0,2
838,0.0,0
839,2.0,2
840,2.0,2
841,0.0,0
842,2.0,2
843,0.0,0
844,1.0,1
845,2.0,2
846,0.0,0
847,0.0,0
848,2.0,2
849,0.0,0
850,2.0,2
851,1.0,1
852,2.0,2
853,2.0,0
854,0.0,2
855,0.0,0
856,2.0,2
857,1.0,1
858,2.0,2
859,0.0,1
860,0.0,0
861,2.0,2
862,2.0,2
863,1.0,1
864,1.0,1
865,0.0,0
866,1.0,1
867,0.0,0
868,2.0,2
869,2.0,2
870,2.0,2
871,0.0,0
872,1.0,0
873,0.0,0
874,2.0,2
875,2.0,2
876,0.0,0
877,1.0,1
878,0.0,0
879,2.0,0
880,2.0,0
881,0.0,0
882,0.0,0
883,1.0,1
884,1.0,1
885,0.0,0
886,0.0,0
887,2.0,2
888,0.0,0
889,0.0,0
890,0.0,0
891,1.0,1
892,2.0,2
893,2.0,2
894,0.0,0
895,1.0,1
896,0.0,1
897,0.0,0
898,2.0,2
899,0.0,2
900,1.0,1
901,0.0,0
902,0.0,0
903,0.0,0
904,1.0,1
905,0.0,0
906,0.0,0
907,2.0,0
908,2.0,2
909,0.0,0
910,2.0,2
911,2.0,2
912,0.0,0
913,0.0,0
914,0.0,0
915,2.0,2
916,1.0,1
917,0.0,0
918,1.0,1
919,0.0,0
920,2.0,2
921,0.0,2
922,0.0,0
923,0.0,0
924,2.0,2
925,2.0,0
926,2.0,0
927,0.0,0
928,1.0,1
929,2.0,2
930,0.0,0
931,2.0,2
932,0.0,0
933,2.0,2
934,2.0,0
935,1.0,1
936,0.0,1
937,0.0,0
938,1.0,1
939,0.0,0
940,0.0,0
941,2.0,2
942,0.0,1
943,0.0,0
944,0.0,0
945,0.0,0
946,0.0,0
947,1.0,1
948,0.0,0
949,1.0,1
950,0.0,0
951,2.0,0
952,2.0,2
953,0.0,0
954,2.0,2
955,0.0,0
956,0.0,0
957,1.0,1
958,1.0,1
959,1.0,1
960,1.0,1
961,0.0,0
962,0.0,0
963,2.0,2
964,0.0,0
965,0.0,0
966,2.0,2
967,0.0,0
968,0.0,0
969,1.0,1
970,1.0,1
971,1.0,1
972,0.0,1
973,0.0,0
974,0.0,0
975,0.0,0
976,0.0,0
977,0.0,0
978,0.0,0
979,1.0,1
980,0.0,0
981,0.0,0
982,0.0,0
983,2.0,2
984,2.0,2
985,2.0,2
986,0.0,0
987,0.0,0
988,0.0,0
989,0.0,0
990,2.0,2
991,0.0,0
992,1.0,1
993,0.0,0
994,1.0,1
995,2.0,2
996,0.0,2
997,0.0,0
998,0.0,0
999,1.0,0
1000,0.0,2
1001,0.0,0
1002,1.0,1
1003,1.0,1
1004,0.0,0
1005,2.0,2
1006,0.0,0
