,predictions,target
0,1.0,1
1,1.0,1
2,1.0,1
3,1.0,1
4,0.0,1
5,1.0,1
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,0
11,0.0,0
12,0.0,1
13,1.0,1
14,1.0,1
15,1.0,1
16,1.0,1
17,1.0,1
18,1.0,1
19,1.0,1
20,1.0,1
21,1.0,1
22,1.0,1
23,0.0,0
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,0.0,1
30,1.0,0
31,1.0,1
32,1.0,1
33,1.0,0
34,0.0,1
35,0.0,0
36,1.0,0
37,1.0,0
38,0.0,0
39,0.0,0
40,1.0,0
41,1.0,1
42,1.0,1
43,1.0,1
44,1.0,1
45,1.0,1
46,1.0,1
47,1.0,1
48,1.0,1
49,0.0,1
50,1.0,1
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,0
58,0.0,0
59,0.0,1
60,1.0,1
61,1.0,1
62,1.0,1
63,0.0,1
64,1.0,1
65,1.0,1
66,1.0,1
67,0.0,0
68,0.0,0
69,0.0,0
70,0.0,0
71,1.0,0
72,0.0,0
73,0.0,0
74,0.0,0
75,0.0,0
76,0.0,1
77,1.0,0
78,1.0,1
79,1.0,1
80,1.0,1
81,0.0,0
82,0.0,0
83,0.0,0
84,1.0,1
85,1.0,0
86,1.0,1
87,1.0,1
88,1.0,1
89,1.0,1
90,1.0,1
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,0.0,1
99,0.0,1
100,0.0,1
101,1.0,1
102,1.0,1
103,1.0,0
104,0.0,0
105,0.0,0
106,1.0,1
107,1.0,1
108,1.0,1
109,1.0,1
110,1.0,1
111,1.0,1
112,1.0,1
113,1.0,1
114,1.0,1
115,1.0,1
116,0.0,1
117,0.0,0
118,0.0,0
119,0.0,0
120,1.0,0
121,1.0,0
122,1.0,1
123,1.0,1
124,1.0,1
125,1.0,1
126,1.0,1
127,1.0,1
128,1.0,0
129,0.0,0
130,0.0,0
131,1.0,1
132,1.0,1
133,1.0,1
134,0.0,1
135,1.0,1
136,0.0,1
137,1.0,1
138,1.0,1
139,1.0,1
140,1.0,1
141,1.0,1
142,1.0,1
143,1.0,1
144,0.0,1
145,0.0,1
146,1.0,1
147,0.0,1
148,1.0,1
149,1.0,1
150,1.0,1
151,1.0,1
152,1.0,1
153,1.0,1
154,1.0,1
155,1.0,1
156,1.0,1
157,1.0,1
158,1.0,1
159,1.0,1
160,1.0,1
161,1.0,1
162,1.0,0
163,0.0,0
164,0.0,0
165,0.0,0
166,0.0,0
167,0.0,0
168,0.0,0
169,0.0,0
170,0.0,0
171,1.0,0
172,0.0,0
173,0.0,0
174,1.0,0
175,0.0,0
176,0.0,0
177,1.0,1
178,1.0,0
179,1.0,1
180,1.0,1
181,1.0,1
182,1.0,1
183,1.0,1
184,1.0,1
185,1.0,1
186,1.0,1
187,0.0,1
188,0.0,1
