,predictions,target
0,0.0,0
1,0.0,0
2,1.0,1
3,1.0,0
4,1.0,1
5,1.0,1
6,1.0,0
7,0.0,0
8,1.0,0
9,1.0,1
10,1.0,1
11,1.0,0
12,1.0,1
13,1.0,1
14,1.0,1
15,1.0,1
16,1.0,1
17,1.0,1
18,1.0,1
19,1.0,0
20,1.0,0
21,1.0,1
22,1.0,0
23,1.0,0
24,1.0,1
25,0.0,0
26,0.0,1
27,1.0,0
28,1.0,0
29,1.0,0
30,1.0,0
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,1
35,1.0,1
36,1.0,1
37,1.0,1
38,1.0,1
39,1.0,0
40,0.0,1
41,0.0,1
42,0.0,1
43,0.0,1
44,0.0,0
45,0.0,1
46,0.0,0
47,0.0,0
48,0.0,0
49,0.0,1
50,0.0,0
51,0.0,0
52,0.0,0
53,1.0,1
54,0.0,1
55,0.0,1
56,0.0,1
57,0.0,0
58,0.0,1
59,1.0,1
60,0.0,1
61,1.0,1
62,0.0,1
63,1.0,1
64,1.0,1
65,0.0,1
66,1.0,1
67,1.0,1
68,1.0,1
69,1.0,1
70,0.0,0
71,0.0,1
72,0.0,1
73,1.0,0
74,0.0,1
75,0.0,0
76,0.0,0
77,0.0,1
78,0.0,1
79,0.0,0
80,1.0,0
81,1.0,1
82,1.0,1
83,1.0,0
84,1.0,1
85,0.0,1
86,0.0,1
87,0.0,0
88,0.0,0
89,0.0,0
90,0.0,0
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,0.0,1
96,1.0,1
97,0.0,1
98,1.0,1
99,0.0,1
100,1.0,1
101,0.0,1
102,1.0,1
103,0.0,1
104,1.0,1
105,0.0,1
106,1.0,1
107,1.0,1
108,0.0,1
109,1.0,1
110,1.0,1
111,1.0,0
112,1.0,1
113,1.0,1
114,1.0,1
115,1.0,1
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,1
122,1.0,1
123,0.0,0
124,1.0,1
125,1.0,1
126,0.0,1
127,1.0,1
128,0.0,1
129,1.0,1
130,0.0,1
131,1.0,1
132,0.0,1
133,1.0,1
134,1.0,1
135,1.0,1
136,1.0,1
137,1.0,1
138,1.0,0
139,0.0,0
140,1.0,1
141,1.0,1
142,1.0,1
143,1.0,1
144,1.0,1
145,1.0,1
146,1.0,1
147,0.0,1
148,1.0,0
149,1.0,1
150,1.0,1
151,1.0,1
152,1.0,1
153,1.0,1
154,1.0,1
155,0.0,1
156,1.0,1
157,0.0,0
158,1.0,1
159,0.0,0
160,1.0,0
161,0.0,0
162,1.0,1
163,1.0,1
164,1.0,1
165,0.0,1
166,1.0,1
167,0.0,1
168,1.0,1
169,1.0,1
170,1.0,1
171,0.0,0
172,1.0,1
173,1.0,1
174,1.0,1
175,0.0,1
176,1.0,1
177,1.0,1
178,1.0,1
179,1.0,1
180,1.0,1
181,1.0,0
182,0.0,1
183,1.0,1
184,1.0,1
185,0.0,1
186,1.0,1
187,1.0,1
188,1.0,1
189,0.0,1
190,1.0,1
191,0.0,1
192,1.0,1
193,0.0,1
194,1.0,1
195,0.0,1
196,1.0,0
197,0.0,1
198,0.0,1
199,1.0,1
200,0.0,0
201,1.0,1
202,1.0,1
203,1.0,1
204,1.0,1
205,1.0,1
206,1.0,1
207,1.0,1
208,1.0,1
209,0.0,1
210,1.0,1
211,1.0,1
212,1.0,1
213,1.0,1
214,1.0,1
215,0.0,0
216,1.0,1
217,1.0,1
218,1.0,1
219,1.0,1
220,1.0,1
221,0.0,1
222,1.0,1
223,1.0,1
224,1.0,1
225,0.0,0
226,1.0,0
227,0.0,1
228,1.0,1
229,1.0,1
230,1.0,1
231,1.0,0
232,1.0,1
233,0.0,1
234,0.0,0
