,predictions,target
0,1.0,1
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,0
11,0.0,0
12,0.0,1
13,0.0,1
14,0.0,1
15,1.0,1
16,1.0,1
17,1.0,1
18,1.0,1
19,1.0,1
20,1.0,1
21,1.0,1
22,1.0,1
23,0.0,0
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,0.0,1
30,0.0,0
31,1.0,1
32,1.0,1
33,1.0,0
34,0.0,0
35,1.0,0
36,0.0,0
37,1.0,0
38,1.0,0
39,1.0,0
40,1.0,1
41,1.0,1
42,1.0,1
43,1.0,1
44,1.0,1
45,1.0,1
46,1.0,1
47,1.0,1
48,1.0,1
49,1.0,1
50,1.0,1
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,0
58,0.0,1
59,1.0,1
60,1.0,1
61,0.0,1
62,0.0,1
63,0.0,1
64,1.0,1
65,0.0,1
66,0.0,0
67,0.0,0
68,0.0,0
69,0.0,0
70,0.0,0
71,0.0,0
72,0.0,0
73,0.0,0
74,0.0,1
75,0.0,0
76,1.0,1
77,1.0,1
78,1.0,1
79,1.0,1
80,0.0,0
81,0.0,0
82,0.0,0
83,1.0,1
84,1.0,0
85,1.0,1
86,1.0,1
87,1.0,1
88,1.0,1
89,1.0,1
90,1.0,1
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,1.0,1
100,1.0,1
101,1.0,0
102,1.0,0
103,1.0,0
104,1.0,1
105,1.0,1
106,1.0,1
107,1.0,1
108,1.0,1
109,1.0,1
110,1.0,1
111,1.0,1
112,1.0,1
113,1.0,1
114,1.0,1
115,0.0,0
116,0.0,0
117,0.0,0
118,1.0,0
119,1.0,0
120,1.0,1
121,1.0,1
122,1.0,1
123,1.0,1
124,1.0,1
125,1.0,1
126,1.0,0
127,1.0,0
128,1.0,0
129,1.0,1
130,1.0,1
131,1.0,1
132,1.0,1
133,1.0,1
134,1.0,1
135,1.0,1
136,1.0,1
137,1.0,1
138,1.0,1
139,1.0,1
140,1.0,1
141,1.0,1
142,1.0,1
143,1.0,1
144,1.0,1
145,1.0,1
146,1.0,1
147,1.0,1
148,1.0,1
149,1.0,1
150,1.0,1
151,1.0,1
152,1.0,1
153,1.0,1
154,1.0,1
155,1.0,1
156,1.0,1
157,1.0,1
158,1.0,1
159,1.0,0
160,1.0,0
161,0.0,0
162,0.0,0
163,0.0,0
164,0.0,0
165,1.0,0
166,1.0,0
167,1.0,0
168,1.0,0
169,1.0,0
170,1.0,0
171,1.0,0
172,1.0,0
173,1.0,0
174,1.0,1
175,1.0,0
176,1.0,1
177,1.0,1
178,1.0,1
179,1.0,1
180,1.0,1
181,1.0,1
182,1.0,1
183,1.0,1
184,1.0,1
185,1.0,1
186,1.0,1
187,0.0,0
188,0.0,0
