,predictions,target
0,1.0,1
1,1.0,1
2,1.0,1
3,0.0,0
4,1.0,0
5,1.0,0
6,1.0,1
7,0.0,1
8,1.0,1
9,1.0,1
10,1.0,1
11,1.0,1
12,0.0,0
13,1.0,0
14,0.0,0
15,0.0,0
16,0.0,1
17,1.0,1
18,0.0,0
19,1.0,0
20,1.0,0
21,1.0,1
22,1.0,1
23,1.0,1
24,1.0,1
25,1.0,1
26,1.0,0
27,0.0,0
28,0.0,0
29,0.0,0
30,0.0,1
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,0
35,0.0,0
36,0.0,0
37,1.0,0
38,1.0,0
39,1.0,0
40,1.0,1
41,1.0,1
42,0.0,0
43,1.0,1
44,1.0,1
45,1.0,1
46,1.0,1
47,1.0,1
48,1.0,1
49,1.0,1
50,1.0,1
51,1.0,1
52,1.0,1
53,0.0,0
54,1.0,1
55,1.0,1
56,1.0,1
57,1.0,1
58,1.0,1
59,1.0,1
60,1.0,0
61,1.0,0
62,1.0,0
63,1.0,1
64,1.0,1
65,1.0,1
66,1.0,0
67,1.0,1
68,1.0,1
69,1.0,1
70,1.0,1
71,1.0,1
72,1.0,1
73,1.0,1
74,1.0,1
75,1.0,1
76,1.0,1
77,1.0,1
78,1.0,1
79,1.0,1
80,1.0,1
81,1.0,1
82,1.0,1
83,1.0,0
84,1.0,0
85,1.0,0
86,1.0,0
87,1.0,0
88,1.0,0
89,1.0,0
90,1.0,0
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,0
98,1.0,0
99,0.0,0
100,1.0,0
101,1.0,0
102,1.0,0
103,1.0,0
104,1.0,0
105,1.0,0
106,1.0,1
107,0.0,0
108,0.0,0
109,0.0,0
110,0.0,0
111,0.0,0
112,1.0,1
113,1.0,1
114,1.0,1
115,1.0,1
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,1
122,1.0,1
123,1.0,0
124,1.0,1
125,1.0,0
126,1.0,1
127,1.0,1
128,0.0,0
129,1.0,1
130,1.0,1
131,0.0,0
132,0.0,0
133,0.0,0
134,1.0,0
135,0.0,0
136,1.0,1
137,1.0,1
138,1.0,1
139,1.0,0
140,1.0,1
141,1.0,1
142,1.0,1
143,1.0,1
144,1.0,1
145,1.0,1
146,1.0,1
147,1.0,0
148,0.0,0
149,1.0,1
150,1.0,1
151,1.0,1
152,0.0,0
153,1.0,1
154,1.0,1
155,0.0,0
156,0.0,0
157,0.0,0
158,1.0,1
159,1.0,0
160,1.0,1
161,1.0,1
162,1.0,1
163,1.0,1
164,1.0,1
165,1.0,1
166,1.0,1
167,1.0,1
168,1.0,1
169,1.0,1
170,0.0,0
171,0.0,0
172,1.0,1
173,1.0,1
174,1.0,0
175,1.0,1
176,1.0,1
177,1.0,1
178,1.0,1
179,1.0,0
180,0.0,0
181,0.0,0
182,0.0,0
183,0.0,0
184,1.0,1
185,1.0,1
186,1.0,0
187,1.0,1
188,1.0,1
