,predictions,target
0,0.0,0
1,0.0,0
2,1.0,1
3,0.0,0
4,1.0,1
5,0.0,0
6,0.0,0
7,0.0,1
8,0.0,0
9,1.0,1
10,1.0,1
11,0.0,0
12,1.0,1
13,1.0,1
14,1.0,1
15,1.0,1
16,1.0,1
17,1.0,1
18,1.0,1
19,0.0,0
20,0.0,0
21,1.0,1
22,1.0,0
23,0.0,0
24,1.0,0
25,1.0,1
26,1.0,0
27,1.0,0
28,0.0,0
29,0.0,0
30,1.0,1
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,1
35,1.0,1
36,1.0,0
37,1.0,1
38,1.0,1
39,1.0,0
40,0.0,1
41,1.0,1
42,1.0,1
43,0.0,0
44,1.0,1
45,0.0,0
46,0.0,0
47,1.0,0
48,1.0,1
49,0.0,0
50,0.0,0
51,0.0,0
52,1.0,1
53,1.0,1
54,1.0,1
55,1.0,1
56,0.0,0
57,1.0,1
58,1.0,1
59,1.0,1
60,1.0,1
61,1.0,1
62,1.0,1
63,1.0,1
64,1.0,0
65,1.0,1
66,1.0,1
67,1.0,1
68,1.0,1
69,1.0,0
70,1.0,1
71,1.0,1
72,1.0,0
73,0.0,1
74,1.0,0
75,0.0,0
76,0.0,1
77,0.0,1
78,0.0,0
79,1.0,0
80,1.0,1
81,1.0,0
82,1.0,1
83,1.0,1
84,1.0,1
85,0.0,0
86,0.0,0
87,0.0,0
88,0.0,0
89,1.0,1
90,1.0,1
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,1.0,1
100,1.0,1
101,1.0,1
102,1.0,1
103,1.0,1
104,1.0,1
105,1.0,1
106,1.0,1
107,1.0,1
108,1.0,1
109,0.0,0
110,1.0,1
111,1.0,1
112,1.0,1
113,1.0,1
114,1.0,1
115,1.0,1
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,0
121,1.0,1
122,1.0,1
123,1.0,1
124,1.0,1
125,1.0,1
126,1.0,1
127,1.0,1
128,1.0,1
129,0.0,1
130,1.0,1
131,1.0,1
132,1.0,1
133,1.0,1
134,1.0,1
135,1.0,1
136,0.0,0
137,0.0,0
138,1.0,1
139,1.0,1
140,1.0,1
141,1.0,1
142,1.0,1
143,1.0,1
144,0.0,1
145,0.0,0
146,1.0,1
147,1.0,1
148,1.0,1
149,1.0,1
150,1.0,1
151,1.0,1
152,1.0,1
153,1.0,1
154,1.0,1
155,1.0,0
156,0.0,1
157,0.0,0
158,0.0,0
159,1.0,1
160,1.0,1
161,1.0,1
162,1.0,1
163,1.0,1
164,1.0,1
165,1.0,1
166,1.0,1
167,1.0,1
168,0.0,0
169,1.0,1
170,1.0,1
171,1.0,1
172,1.0,1
173,1.0,1
174,1.0,1
175,1.0,1
176,1.0,1
177,0.0,0
178,0.0,0
179,0.0,1
180,1.0,1
181,1.0,1
182,1.0,1
183,1.0,1
184,1.0,1
185,1.0,1
186,1.0,1
187,1.0,1
188,1.0,1
189,1.0,1
190,1.0,1
191,1.0,1
192,1.0,1
193,1.0,0
194,1.0,1
195,1.0,1
196,0.0,0
197,0.0,1
198,1.0,1
199,1.0,1
200,1.0,1
201,1.0,1
202,1.0,1
203,1.0,1
204,1.0,1
205,1.0,1
206,1.0,1
207,1.0,1
208,1.0,1
209,1.0,1
210,1.0,1
211,1.0,1
212,1.0,0
213,1.0,1
214,1.0,1
215,1.0,1
216,1.0,1
217,1.0,1
218,0.0,1
219,1.0,1
220,1.0,1
221,1.0,0
222,1.0,0
223,1.0,1
224,1.0,1
225,1.0,1
226,1.0,1
227,1.0,0
228,1.0,1
229,1.0,1
230,1.0,0
231,1.0,0
232,1.0,1
233,1.0,1
234,1.0,1
