,predictions,target
0,1.0,1
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,0
7,0.0,0
8,0.0,0
9,1.0,0
10,1.0,0
11,1.0,0
12,1.0,1
13,1.0,1
14,1.0,1
15,1.0,1
16,1.0,1
17,1.0,1
18,1.0,1
19,1.0,1
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,1.0,0
25,0.0,0
26,0.0,0
27,1.0,0
28,1.0,0
29,0.0,0
30,1.0,1
31,0.0,0
32,1.0,1
33,1.0,1
34,1.0,0
35,1.0,1
36,0.0,0
37,1.0,0
38,1.0,0
39,1.0,0
40,1.0,0
41,1.0,0
42,1.0,1
43,1.0,1
44,1.0,1
45,1.0,1
46,1.0,1
47,1.0,1
48,1.0,1
49,1.0,1
50,1.0,1
51,1.0,1
52,1.0,1
53,1.0,0
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,0
58,0.0,0
59,0.0,0
60,1.0,0
61,1.0,1
62,1.0,1
63,1.0,1
64,1.0,1
65,1.0,1
66,1.0,1
67,1.0,1
68,1.0,1
69,1.0,0
70,0.0,0
71,0.0,0
72,1.0,0
73,0.0,0
74,1.0,0
75,1.0,0
76,1.0,0
77,1.0,0
78,1.0,1
79,1.0,0
80,1.0,1
81,1.0,1
82,1.0,1
83,1.0,1
84,1.0,0
85,0.0,0
86,1.0,0
87,1.0,1
88,1.0,0
89,1.0,1
90,1.0,1
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,1.0,1
100,1.0,1
101,1.0,1
102,1.0,1
103,1.0,1
104,1.0,1
105,1.0,1
106,1.0,0
107,1.0,0
108,1.0,0
109,1.0,1
110,1.0,1
111,1.0,1
112,1.0,1
113,1.0,1
114,1.0,1
115,1.0,1
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,0
122,1.0,0
123,1.0,0
124,1.0,0
125,1.0,0
126,1.0,1
127,1.0,1
128,1.0,1
129,1.0,1
130,1.0,1
131,1.0,1
132,1.0,0
133,1.0,0
134,1.0,0
135,1.0,1
136,1.0,1
137,1.0,1
138,1.0,1
139,1.0,1
140,1.0,1
141,1.0,1
142,1.0,1
143,1.0,1
144,1.0,1
145,1.0,1
146,1.0,1
147,1.0,1
148,1.0,1
149,1.0,1
150,1.0,1
151,1.0,1
152,1.0,1
153,1.0,1
154,1.0,1
155,1.0,1
156,1.0,1
157,1.0,1
158,1.0,1
159,1.0,1
160,1.0,1
161,1.0,1
162,1.0,1
163,1.0,1
164,1.0,1
165,1.0,1
166,1.0,1
167,1.0,0
168,1.0,0
169,1.0,0
170,1.0,0
171,1.0,0
172,1.0,0
173,1.0,0
174,1.0,0
175,1.0,0
176,1.0,0
177,1.0,0
178,1.0,0
179,1.0,0
180,1.0,0
181,1.0,0
182,1.0,0
183,1.0,1
184,1.0,0
185,1.0,1
186,1.0,1
187,1.0,1
188,1.0,1
